Borough,Westminster
Major Category,Theft
LSOA,E01035716
Time,DataOriginal
01/04/2010,20308.95048
01/05/2010,21263.06224
01/06/2010,19945.47933
01/07/2010,23034.9841
01/08/2010,21808.26897
01/09/2010,21126.76056
01/10/2010,24261.69923
01/11/2010,23716.4925
01/12/2010,24170.83144
01/01/2011,24943.20763
01/02/2011,22035.43844
01/03/2011,23398.45525
01/04/2011,23398.45525
01/05/2011,24670.60427
01/06/2011,26169.92276
01/07/2011,26260.79055
01/08/2011,21035.89278
01/09/2011,19263.97092
01/10/2011,23171.28578
01/11/2011,24261.69923
01/12/2011,27760.10904
01/01/2012,22580.64516
01/02/2012,21944.57065
01/03/2012,26033.62108
01/04/2012,21899.13676
01/05/2012,20445.25216
01/06/2012,20672.42163
01/07/2012,23353.02135
01/08/2012,19082.23535
01/09/2012,18809.63199
01/10/2012,23125.85189
01/11/2012,25897.3194
01/12/2012,27578.37347
01/01/2013,24307.13312
01/02/2013,22853.24852
01/03/2013,21308.49614
01/04/2013,20626.98773
01/05/2013,18309.85915
01/06/2013,18037.25579
01/07/2013,19582.00818
01/08/2013,15810.995
01/09/2013,15402.08996
01/10/2013,18218.99137
01/11/2013,18218.99137
01/12/2013,20626.98773
01/01/2014,16492.50341
01/02/2014,15947.29668
01/03/2014,15220.35438
01/04/2014,13130.39527
01/05/2014,12812.35802
01/06/2014,11903.68015
01/07/2014,12857.79191
01/08/2014,11949.11404
01/09/2014,14493.41209
01/10/2014,17310.31349
01/11/2014,16492.50341
01/12/2014,22489.77737
01/01/2015,20990.45888
01/02/2015,14720.58155
01/03/2015,17401.18128
01/04/2015,16765.10677
01/05/2015,16174.46615
01/06/2015,13857.33757
01/07/2015,14720.58155
01/08/2015,15174.92049
01/09/2015,13539.30032
01/10/2015,18491.59473
01/11/2015,21899.13676
01/12/2015,21263.06224
01/01/2016,19672.87597
01/02/2016,18355.29305
01/03/2016,15038.61881
01/04/2016,15084.0527
01/05/2016,14220.80872
01/06/2016,13130.39527
01/07/2016,14175.37483
01/08/2016,15265.78828
01/09/2016,13039.52749
01/10/2016,16719.67288
01/11/2016,19672.87597
01/12/2016,22762.38074
01/01/2017,17810.08632
01/02/2017,17855.52022
01/03/2017,19036.80145
01/04/2017,19945.47933
01/05/2017,19945.47933
01/06/2017,16810.54066
01/07/2017,19082.23535
01/08/2017,17764.65243
01/09/2017,20172.6488
01/10/2017,23398.45525
01/11/2017,20445.25216
01/12/2017,24852.33985
01/01/2018,21081.32667
01/02/2018,20218.08269
01/03/2018,19945.47933
01/04/2018,19582.00818
01/05/2018,21399.36393
01/06/2018,23443.88914
01/07/2018,26397.09223
01/08/2018,24716.03816
01/09/2018,22035.43844
01/10/2018,24625.17038
01/11/2018,29940.93594
01/12/2018,33939.11858
01/01/2019,30895.04771
01/02/2019,28759.6547
01/03/2019,31985.46115
01/04/2019,32121.76284
01/05/2019,32348.9323
01/06/2019,30486.14266
01/07/2019,27896.41072
01/08/2019,24534.30259
01/09/2019,24897.77374
01/10/2019,32212.63062
01/11/2019,34893.23035
01/12/2019,40481.59927
01/01/2020,30122.67151
01/02/2020,35165.83371
01/03/2020,17764.65243
01/04/2020,908.6778737
01/05/2020,363.4711495
01/06/2020,3771.013176
01/07/2020,10995.00227
01/08/2020,12812.35802
01/09/2020,15720.12721
01/10/2020,17764.65243
01/11/2020,6315.311222
01/12/2020,15129.4866
01/01/2021,1453.884598
01/02/2021,999.5456611
01/03/2021,1453.884598
01/04/2021,9268.514312
01/05/2021,15674.69332
01/06/2021,17174.01181
01/07/2021,20354.38437
01/08/2021,14811.44934
01/09/2021,15402.08996
01/10/2021,30168.10541
01/11/2021,34620.62699
01/12/2021,37755.56565
01/01/2022,28623.35302
01/02/2022,33893.68469
01/03/2022,37074.05725
01/04/2022,35483.87097
01/05/2022,32848.70513
01/06/2022,32939.57292
01/07/2022,40345.29759
01/08/2022,28986.82417
01/09/2022,29486.597
01/10/2022,51431.16765
01/11/2022,64743.2985
01/12/2022,69059.5184
01/01/2023,50749.65925
01/02/2023,46933.21218
01/03/2023,42753.29396
01/04/2023,39845.52476
01/05/2023,39118.58246
01/06/2023,42707.86006
01/07/2023,43889.1413
01/08/2023,31485.68832
01/09/2023,32712.40345
01/10/2023,47069.51386
01/11/2023,75147.66015
01/12/2023,73557.47388
01/01/2024,53657.42844
01/02/2024,54975.01136
01/03/2024,54566.10632
01/04/2024,48705.13403
01/05/2024,38573.37574
