Borough,Westminster
Major Category,Arson and Criminal Damage
LSOA,E01004734
Time,DataOriginal
2010-04-01,470.865214832254
2010-05-01,382.577987051207
2010-06-01,412.007062978223
2010-07-01,470.865214832254
2010-08-01,412.007062978223
2010-09-01,294.290759270159
2010-10-01,206.003531489111
2010-11-01,470.865214832254
2010-12-01,647.43967039435
2011-01-01,441.436138905238
2011-02-01,412.007062978223
2011-03-01,735.726898175397
2011-04-01,529.723366686286
2011-05-01,353.148911124191
2011-06-01,353.148911124191
2011-07-01,382.577987051207
2011-08-01,529.723366686286
2011-09-01,323.719835197175
2011-10-01,264.861683343143
2011-11-01,500.29429075927
2011-12-01,559.152442613302
2012-01-01,441.436138905238
2012-02-01,382.577987051207
2012-03-01,294.290759270159
2012-04-01,412.007062978223
2012-05-01,323.719835197175
2012-06-01,470.865214832254
2012-07-01,412.007062978223
2012-08-01,353.148911124191
2012-09-01,441.436138905238
2012-10-01,382.577987051207
2012-11-01,353.148911124191
2012-12-01,441.436138905238
2013-01-01,441.436138905238
2013-02-01,294.290759270159
2013-03-01,382.577987051207
2013-04-01,294.290759270159
2013-05-01,676.868746321366
2013-06-01,382.577987051207
2013-07-01,529.723366686286
2013-08-01,264.861683343143
2013-09-01,206.003531489111
2013-10-01,323.719835197175
2013-11-01,441.436138905238
2013-12-01,618.010594467334
2014-01-01,382.577987051207
2014-02-01,294.290759270159
2014-03-01,353.148911124191
2014-04-01,706.297822248381
2014-05-01,382.577987051207
2014-06-01,412.007062978223
2014-07-01,441.436138905238
2014-08-01,264.861683343143
2014-09-01,294.290759270159
2014-10-01,500.29429075927
2014-11-01,353.148911124191
2014-12-01,529.723366686286
2015-01-01,323.719835197175
2015-02-01,294.290759270159
2015-03-01,618.010594467334
2015-04-01,441.436138905238
2015-05-01,235.432607416127
2015-06-01,235.432607416127
2015-07-01,500.29429075927
2015-08-01,500.29429075927
2015-09-01,323.719835197175
2015-10-01,323.719835197175
2015-11-01,470.865214832254
2015-12-01,559.152442613302
2016-01-01,412.007062978223
2016-02-01,206.003531489111
2016-03-01,264.861683343143
2016-04-01,294.290759270159
2016-05-01,441.436138905238
2016-06-01,382.577987051207
2016-07-01,323.719835197175
2016-08-01,618.010594467334
2016-09-01,382.577987051207
2016-10-01,294.290759270159
2016-11-01,735.726898175397
2016-12-01,323.719835197175
2017-01-01,470.865214832254
2017-02-01,441.436138905238
2017-03-01,323.719835197175
2017-04-01,588.581518540318
2017-05-01,559.152442613302
2017-06-01,559.152442613302
2017-07-01,294.290759270159
2017-08-01,588.581518540318
2017-09-01,353.148911124191
2017-10-01,470.865214832254
2017-11-01,500.29429075927
2017-12-01,559.152442613302
2018-01-01,382.577987051207
2018-02-01,294.290759270159
2018-03-01,500.29429075927
2018-04-01,294.290759270159
2018-05-01,382.577987051207
2018-06-01,323.719835197175
2018-07-01,353.148911124191
2018-08-01,500.29429075927
2018-09-01,264.861683343143
2018-10-01,412.007062978223
2018-11-01,294.290759270159
2018-12-01,647.43967039435
2019-01-01,353.148911124191
2019-02-01,264.861683343143
2019-03-01,470.865214832254
2019-04-01,264.861683343143
2019-05-01,559.152442613302
2019-06-01,294.290759270159
2019-07-01,412.007062978223
2019-08-01,412.007062978223
2019-09-01,441.436138905238
2019-10-01,588.581518540318
2019-11-01,235.432607416127
2019-12-01,559.152442613302
2020-01-01,29.4290759270159
2020-02-01,382.577987051207
2020-03-01,294.290759270159
2020-04-01,235.432607416127
2020-05-01,264.861683343143
2020-06-01,294.290759270159
2020-07-01,206.003531489111
2020-08-01,441.436138905238
2020-09-01,353.148911124191
2020-10-01,500.29429075927
2020-11-01,235.432607416127
2020-12-01,264.861683343143
2021-01-01,176.574455562095
2021-02-01,264.861683343143
2021-03-01,294.290759270159
2021-04-01,176.574455562095
2021-05-01,412.007062978223
2021-06-01,323.719835197175
2021-07-01,971.159505591524
2021-08-01,382.577987051207
2021-09-01,470.865214832254
2021-10-01,529.723366686286
2021-11-01,441.436138905238
2021-12-01,264.861683343143
2022-01-01,382.577987051207
2022-02-01,382.577987051207
2022-03-01,412.007062978223
2022-04-01,323.719835197175
2022-05-01,470.865214832254
2022-06-01,412.007062978223
2022-07-01,470.865214832254
2022-08-01,412.007062978223
2022-09-01,353.148911124191
2022-10-01,206.003531489111
2022-11-01,382.577987051207
2022-12-01,353.148911124191
2023-01-01,470.865214832254
2023-02-01,294.290759270159
2023-03-01,323.719835197175
2023-04-01,441.436138905238
2023-05-01,618.010594467334
2023-06-01,294.290759270159
2023-07-01,323.719835197175
2023-08-01,559.152442613302
2023-09-01,412.007062978223
2023-10-01,412.007062978223
2023-11-01,529.723366686286
2023-12-01,559.152442613302
2024-01-01,588.581518540318
2024-02-01,529.723366686286
2024-03-01,618.010594467334
2024-04-01,500.29429075927
2024-05-01,353.148911124191
