,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
2908,Barnet,E01000308,Violence Against the Person,4216,72.0,1.00073,3405.6
12829,Ealing,E01001325,Violence Against the Person,4004,63.2,1.00073,2862.96
39269,Southwark,E01003953,Violence Against the Person,3992,78.0,1.00073,3775.2
41962,Tower Hamlets,E01004230,Violence Against the Person,4476,80.4,1.00073,3931.56
19554,Haringey,E01001973,Violence Against the Person,5028,69.3,1.00073,3236.31
35366,Newham,E01003574,Violence Against the Person,5192,97.1,1.00073,5049.2
29452,Kingston upon Thames,E01002974,Violence Against the Person,4084,59.6,1.00073,2646.24
47180,Westminster,E01004722,Violence Against the Person,5448,73.7,1.00073,3500.75
35035,Newham,E01003540,Violence Against the Person,4108,87.5,1.00073,4410.0
45420,Wandsworth,E01004540,Violence Against the Person,4510,95.5,1.00072,4975.55
44483,Waltham Forest,E01004445,Violence Against the Person,4146,62.1,1.00072,2813.13
17037,Hackney,E01001730,Violence Against the Person,5576,108.1,1.00072,5859.02
47160,Westminster,E01004720,Violence Against the Person,4578,72.3,1.00072,3434.25
46623,Westminster,E01004654,Violence Against the Person,4950,71.5,1.00072,3389.1
2312,Barnet,E01000243,Violence Against the Person,4304,72.4,1.00072,3439.0
26209,Hounslow,E01002660,Violence Against the Person,4196,77.7,1.00072,3768.45
35123,Newham,E01003549,Violence Against the Person,4274,74.2,1.00072,3554.18
4911,Brent,E01000508,Violence Against the Person,5316,128.7,1.00072,7361.64
26417,Hounslow,E01002682,Violence Against the Person,4666,84.0,1.00072,4183.2
4603,Brent,E01000473,Violence Against the Person,5356,104.0,1.00071,5595.2
19230,Hammersmith and Fulham,E01001946,Violence Against the Person,3784,69.3,1.00071,3264.03
43977,Waltham Forest,E01004391,Violence Against the Person,4648,66.2,1.00071,3071.68
18645,Hammersmith and Fulham,E01001883,Violence Against the Person,3762,67.5,1.00071,3138.75
5391,Brent,E01000561,Violence Against the Person,3842,61.2,1.00071,2772.36
24012,Hillingdon,E01002433,Violence Against the Person,4978,62.4,1.00071,2832.96
34742,Newham,E01003509,Violence Against the Person,4144,66.6,1.00071,3096.9
35055,Newham,E01003542,Violence Against the Person,4448,82.4,1.00071,4095.28
34683,Newham,E01003501,Violence Against the Person,4738,86.4,1.00071,4363.2
11075,Croydon,E01001154,Violence Against the Person,5766,95.9,1.00071,5015.57
29921,Lambeth,E01003023,Violence Against the Person,5168,92.8,1.00071,4797.76
44268,Waltham Forest,E01004421,Violence Against the Person,4354,64.7,1.00071,2982.67
12695,Ealing,E01001311,Violence Against the Person,5024,67.8,1.0007,3179.82
30132,Lambeth,E01003045,Violence Against the Person,6060,74.1,1.0007,3579.03
31392,Lambeth,E01003176,Violence Against the Person,5826,74.7,1.0007,3615.48
39713,Southwark,E01004012,Violence Against the Person,4708,86.2,1.0007,4378.96
25932,Hounslow,E01002628,Violence Against the Person,4404,86.8,1.0007,4418.12
16288,Greenwich,E01001688,Violence Against the Person,5390,112.8,1.0007,6249.12
34995,Newham,E01003536,Violence Against the Person,4262,66.9,1.0007,3124.23
34565,Newham,E01003488,Violence Against the Person,4008,75.1,1.0007,3642.35
36862,Redbridge,E01003700,Violence Against the Person,5130,71.9,1.0007,3444.01
30866,Lambeth,E01003122,Violence Against the Person,3818,82.6,1.00069,4146.52
44327,Waltham Forest,E01004427,Violence Against the Person,3958,75.3,1.00069,3674.64
34976,Newham,E01003534,Violence Against the Person,4728,78.1,1.00069,3850.33
35064,Newham,E01003543,Violence Against the Person,4676,91.2,1.00069,4724.16
30594,Lambeth,E01003092,Violence Against the Person,4666,70.2,1.00069,3348.54
6981,Bromley,E01000718,Violence Against the Person,4130,64.8,1.00069,3006.72
16153,Greenwich,E01001674,Violence Against the Person,4484,79.1,1.00069,3915.45
42121,Tower Hamlets,E01004249,Violence Against the Person,4904,103.5,1.00069,5599.35
4641,Brent,E01000477,Violence Against the Person,4636,78.9,1.00069,3897.66
407,Barking and Dagenham,E01000052,Violence Against the Person,4734,75.8,1.00068,3721.78
32460,Lewisham,E01003282,Violence Against the Person,4764,85.7,1.00068,4387.84
24951,Hillingdon,E01002541,Violence Against the Person,3944,73.7,1.00068,3596.56
11724,Ealing,E01001205,Violence Against the Person,3512,62.8,1.00068,2901.36
36710,Redbridge,E01003683,Violence Against the Person,4370,68.8,1.00068,3268.0
34986,Newham,E01003535,Violence Against the Person,3736,91.5,1.00067,4812.9
13147,Ealing,E01001358,Violence Against the Person,3918,67.1,1.00067,3187.25
17440,Hackney,E01001777,Violence Against the Person,5314,122.1,1.00067,7032.96
44464,Waltham Forest,E01004443,Violence Against the Person,4472,85.1,1.00067,4357.12
25561,Hounslow,E01002589,Violence Against the Person,5012,119.0,1.00067,6818.7
42951,Tower Hamlets,E01035664,Violence Against the Person,5134,101.1,1.00067,5489.73
43729,Waltham Forest,E01004365,Violence Against the Person,4994,127.8,1.00067,7489.08
36475,Redbridge,E01003657,Violence Against the Person,4308,54.6,1.00067,2424.24
42621,Tower Hamlets,E01004319,Violence Against the Person,5080,73.3,1.00067,3584.37
39782,Southwark,E01004019,Violence Against the Person,4222,68.0,1.00066,3250.4
35250,Newham,E01003562,Violence Against the Person,4226,84.2,1.00066,4327.88
42876,Tower Hamlets,E01032787,Violence Against the Person,5032,88.6,1.00066,4616.06
43030,Tower Hamlets,E01035672,Violence Against the Person,6024,84.7,1.00066,4362.05
41127,Sutton,E01004138,Violence Against the Person,3588,70.2,1.00066,3390.66
1871,Barnet,E01000196,Violence Against the Person,6435,60.2,1.00065,2787.26
12790,Ealing,E01001321,Violence Against the Person,4566,66.2,1.00065,3164.36
37251,Redbridge,E01003742,Violence Against the Person,4796,69.5,1.00065,3377.7
5567,Brent,E01000580,Violence Against the Person,4180,85.0,1.00065,4411.5
29353,Kingston upon Thames,E01002964,Violence Against the Person,7530,135.9,1.00065,8194.77
7243,Bromley,E01000746,Violence Against the Person,4042,71.0,1.00065,3457.7
5702,Brent,E01000595,Violence Against the Person,5367,71.7,1.00065,3498.96
43556,Waltham Forest,E01004347,Violence Against the Person,4346,66.5,1.00064,3185.35
21926,Harrow,E01002226,Violence Against the Person,5312,84.8,1.00064,4418.08
10701,Croydon,E01001114,Violence Against the Person,4407,97.8,1.00064,5320.32
34870,Newham,E01003523,Violence Against the Person,4942,98.8,1.00064,5394.48
13166,Ealing,E01001360,Violence Against the Person,4510,78.1,1.00064,3951.86
25046,Hillingdon,E01002551,Violence Against the Person,4162,86.2,1.00064,4508.26
35221,Newham,E01003559,Violence Against the Person,4730,96.0,1.00064,5193.6
42251,Tower Hamlets,E01004270,Violence Against the Person,4804,104.2,1.00064,5783.1
33430,Merton,E01003370,Violence Against the Person,3988,66.4,1.00064,3180.56
13194,Ealing,E01001363,Violence Against the Person,4058,66.5,1.00064,3198.65
14978,Enfield,E01001545,Violence Against the Person,3782,91.9,1.00064,4907.46
25352,Hounslow,E01002565,Violence Against the Person,5080,91.8,1.00064,4902.12
25621,Hounslow,E01002595,Violence Against the Person,4548,90.9,1.00064,4826.79
39412,Southwark,E01003976,Violence Against the Person,4708,85.7,1.00064,4473.54
27095,Islington,E01002735,Violence Against the Person,5908,92.8,1.00064,4974.08
349,Barking and Dagenham,E01000044,Violence Against the Person,3928,78.8,1.00064,3995.16
35463,Newham,E01003584,Violence Against the Person,3864,63.9,1.00063,3041.64
21992,Harrow,E01002233,Violence Against the Person,4842,100.1,1.00063,5525.52
4505,Bexley,E01000468,Violence Against the Person,5882,85.9,1.00063,4509.75
4651,Brent,E01000478,Violence Against the Person,5000,63.8,1.00063,3043.26
41914,Tower Hamlets,E01004222,Violence Against the Person,5540,109.4,1.00063,6202.98
