,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
30145,Lambeth,E01003047,Drug Offences,3596,368.2,1.00005,70363.02
42983,Tower Hamlets,E01035668,Drug Offences,4142,161.6,1.00005,23335.04
29817,Lambeth,E01003013,Drug Offences,3868,99.5,1.00005,12477.3
40445,Southwark,E01033874,Drug Offences,2286,206.9,1.00004,37262.69
18156,Hackney,E01033708,Drug Offences,3766,265.7,1.00004,49765.61
11592,Croydon,E01034150,Drug Offences,2624,375.9,1.00003,92960.07
47695,Westminster,E01035718,Drug Offences,5318,268.1,1.00003,59223.29
36172,Newham,E01034220,Drug Offences,2376,257.0,1.00002,61500.1
8864,Camden,E01000919,Drug Offences,2918,276.6,1.00002,65443.56
42514,Tower Hamlets,E01004306,Drug Offences,3742,133.3,1.00002,27246.52
8345,Camden,E01000863,Drug Offences,2958,706.6,1.00001,319736.5
42524,Tower Hamlets,E01004307,Drug Offences,4770,173.0,1.00001,39703.5
47309,Westminster,E01004736,Drug Offences,3094,733.5,1.00001,324427.05
47675,Westminster,E01035716,Drug Offences,4402,650.0,1.00001,271700.0
47527,Westminster,E01004763,Drug Offences,4062,697.1,1.00001,311324.86
47289,Westminster,E01004734,Drug Offences,3398,1337.1,1.0,1104310.89
47723,Westminster,E01035721,Drug Offences,4672,279.8,1.0,108926.14
