,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
24966,Public Order Offences,E01001971,Haringey,38.4,42.0,0.91
27798,Public Order Offences,E01033936,Brent,38.2,32.1,1.19
23629,Public Order Offences,E01000548,Brent,38.1,29.7,1.28
24304,Public Order Offences,E01001261,Ealing,38.0,31.4,1.21
26133,Public Order Offences,E01003193,Lewisham,38.0,35.0,1.09
27804,Public Order Offences,E01033942,Brent,37.9,48.0,0.79
23649,Public Order Offences,E01000568,Brent,37.8,33.0,1.15
23991,Public Order Offences,E01000930,Camden,37.7,32.0,1.18
23785,Public Order Offences,E01000714,Bromley,37.7,27.5,1.37
24147,Public Order Offences,E01001097,Croydon,37.7,30.7,1.23
24829,Public Order Offences,E01001831,Hackney,37.6,33.0,1.14
24202,Public Order Offences,E01001155,Croydon,37.6,32.0,1.18
24809,Public Order Offences,E01001808,Hackney,37.6,38.4,0.98
