,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
20724,Possession of Weapons,E01001857,Hammersmith and Fulham,23.1,39.4,0.59
22361,Possession of Weapons,E01004259,Tower Hamlets,22.8,40.0,0.57
22790,Possession of Weapons,E01033455,Brent,22.7,51.7,0.44
21736,Possession of Weapons,E01003303,Lewisham,22.6,37.6,0.6
22739,Possession of Weapons,E01032582,Lambeth,22.4,32.8,0.68
21631,Possession of Weapons,E01003176,Lambeth,22.1,33.1,0.67
22575,Possession of Weapons,E01004551,Wandsworth,22.0,39.7,0.55
22818,Possession of Weapons,E01033604,Westminster,21.7,53.5,0.41
20213,Possession of Weapons,E01001155,Croydon,21.7,35.6,0.61
22329,Possession of Weapons,E01004208,Tower Hamlets,21.7,32.5,0.67
20870,Possession of Weapons,E01002069,Haringey,21.4,31.6,0.68
20472,Possession of Weapons,E01001513,Enfield,21.4,35.1,0.61
22642,Possession of Weapons,E01004658,Westminster,21.3,35.0,0.61
21523,Possession of Weapons,E01003048,Lambeth,21.3,36.8,0.58
21540,Possession of Weapons,E01003066,Lambeth,21.2,37.9,0.56
22722,Possession of Weapons,E01004765,Westminster,21.2,33.2,0.64
21327,Possession of Weapons,E01002770,Islington,21.1,37.0,0.57
22331,Possession of Weapons,E01004211,Tower Hamlets,21.1,39.9,0.53
21398,Possession of Weapons,E01002856,Kensington and Chelsea,20.7,45.1,0.46
22720,Possession of Weapons,E01004762,Westminster,20.5,34.9,0.59
20060,Possession of Weapons,E01000938,Camden,20.4,42.5,0.48
21465,Possession of Weapons,E01002964,Kingston upon Thames,20.4,28.8,0.71
21370,Possession of Weapons,E01002819,Kensington and Chelsea,20.2,49.9,0.4
21394,Possession of Weapons,E01002852,Kensington and Chelsea,20.2,49.2,0.41
21943,Possession of Weapons,E01003601,Newham,20.2,36.5,0.55
20003,Possession of Weapons,E01000858,Camden,20.1,30.1,0.67
22912,Possession of Weapons,E01034036,Hounslow,20.0,36.2,0.55
21953,Possession of Weapons,E01003619,Newham,20.0,26.1,0.77
22394,Possession of Weapons,E01004309,Tower Hamlets,19.9,26.5,0.75
22789,Possession of Weapons,E01033341,Lewisham,19.9,47.7,0.42
22679,Possession of Weapons,E01004714,Westminster,19.8,35.0,0.57
22403,Possession of Weapons,E01004322,Tower Hamlets,19.7,37.7,0.52
19799,Possession of Weapons,E01000524,Brent,19.7,32.6,0.6
20881,Possession of Weapons,E01002081,Haringey,19.3,33.5,0.58
21520,Possession of Weapons,E01003045,Lambeth,19.2,35.0,0.55
21527,Possession of Weapons,E01003052,Lambeth,19.1,28.1,0.68
22933,Possession of Weapons,E01034152,Croydon,19.1,36.5,0.52
21504,Possession of Weapons,E01003020,Lambeth,19.1,30.5,0.63
20700,Possession of Weapons,E01001830,Hackney,19.0,33.9,0.56
20113,Possession of Weapons,E01001011,Croydon,19.0,35.8,0.53
21415,Possession of Weapons,E01002878,Kensington and Chelsea,19.0,46.2,0.41
21350,Possession of Weapons,E01002795,Islington,19.0,32.0,0.59
22065,Possession of Weapons,E01003783,Redbridge,18.9,29.0,0.65
22799,Possession of Weapons,E01033491,Islington,18.9,32.8,0.58
20204,Possession of Weapons,E01001145,Croydon,18.9,38.7,0.49
22958,Possession of Weapons,E01034205,Newham,18.8,36.5,0.52
21510,Possession of Weapons,E01003032,Lambeth,18.6,37.3,0.5
20198,Possession of Weapons,E01001136,Croydon,18.6,32.2,0.58
22980,Possession of Weapons,E01034385,Bromley,18.4,43.8,0.42
22666,Possession of Weapons,E01004695,Westminster,18.4,45.3,0.41
20621,Possession of Weapons,E01001718,Hackney,18.3,35.6,0.51
21696,Possession of Weapons,E01003253,Lewisham,18.3,38.1,0.48
19847,Possession of Weapons,E01000601,Brent,18.2,37.5,0.49
21646,Possession of Weapons,E01003193,Lewisham,18.2,35.4,0.51
21570,Possession of Weapons,E01003099,Lambeth,18.2,36.0,0.51
21396,Possession of Weapons,E01002854,Kensington and Chelsea,18.1,44.8,0.4
22709,Possession of Weapons,E01004748,Westminster,18.1,42.1,0.43
22144,Possession of Weapons,E01003937,Southwark,18.0,34.5,0.52
19871,Possession of Weapons,E01000631,Brent,17.9,30.6,0.58
21642,Possession of Weapons,E01003188,Lambeth,17.7,42.1,0.42
20883,Possession of Weapons,E01002084,Haringey,17.7,31.0,0.57
20917,Possession of Weapons,E01002129,Harrow,17.7,27.2,0.65
22509,Possession of Weapons,E01004455,Waltham Forest,17.7,32.2,0.55
23000,Possession of Weapons,E01034484,Redbridge,17.6,34.9,0.5
23050,Possession of Weapons,E01035641,Hackney,17.6,37.0,0.48
21150,Possession of Weapons,E01002521,Hillingdon,17.5,29.3,0.6
20061,Possession of Weapons,E01000939,Camden,17.5,36.9,0.47
21860,Possession of Weapons,E01003486,Newham,17.5,41.4,0.42
22133,Possession of Weapons,E01003922,Southwark,17.3,29.1,0.59
20758,Possession of Weapons,E01001899,Hammersmith and Fulham,17.3,37.2,0.47
21885,Possession of Weapons,E01003521,Newham,17.2,29.0,0.59
19976,Possession of Weapons,E01000799,Bromley,17.2,31.9,0.54
20416,Possession of Weapons,E01001441,Enfield,17.2,35.2,0.49
22163,Possession of Weapons,E01003969,Southwark,17.2,30.1,0.57
21141,Possession of Weapons,E01002506,Hillingdon,17.2,29.7,0.58
21140,Possession of Weapons,E01002505,Hillingdon,17.2,31.3,0.55
20002,Possession of Weapons,E01000856,Camden,17.2,34.4,0.5
21275,Possession of Weapons,E01002704,Islington,17.1,32.0,0.53
20006,Possession of Weapons,E01000861,Camden,17.1,37.2,0.46
20185,Possession of Weapons,E01001118,Croydon,17.0,30.2,0.56
19696,Possession of Weapons,E01000360,Bexley,17.0,31.6,0.54
