,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
40207,Vehicle Offences,E01002572,Hounslow,78.9,52.7,1.5
40454,Vehicle Offences,E01002836,Kensington and Chelsea,78.6,49.8,1.58
42279,Vehicle Offences,E01032574,Enfield,78.4,51.5,1.52
40440,Vehicle Offences,E01002821,Kensington and Chelsea,76.7,55.6,1.38
37848,Vehicle Offences,E01000096,Barking and Dagenham,76.5,48.9,1.56
42202,Vehicle Offences,E01004695,Westminster,76.3,88.0,0.87
40210,Vehicle Offences,E01002575,Hounslow,76.3,45.0,1.7
39577,Vehicle Offences,E01001915,Hammersmith and Fulham,75.9,49.6,1.53
42603,Vehicle Offences,E01034476,Barking and Dagenham,75.5,44.9,1.68
42195,Vehicle Offences,E01004686,Westminster,75.0,54.9,1.37
40318,Vehicle Offences,E01002692,Hounslow,75.0,55.1,1.36
41099,Vehicle Offences,E01003500,Newham,74.5,49.9,1.49
42222,Vehicle Offences,E01004716,Westminster,74.4,54.9,1.36
39187,Vehicle Offences,E01001483,Enfield,73.5,55.8,1.32
39688,Vehicle Offences,E01002029,Haringey,73.3,52.3,1.4
42082,Vehicle Offences,E01004560,Wandsworth,73.2,44.8,1.63
42223,Vehicle Offences,E01004717,Westminster,73.1,51.5,1.42
39560,Vehicle Offences,E01001898,Hammersmith and Fulham,73.1,50.3,1.45
39117,Vehicle Offences,E01001412,Enfield,72.8,46.2,1.58
37911,Vehicle Offences,E01000164,Barnet,72.7,39.7,1.83
40488,Vehicle Offences,E01002871,Kensington and Chelsea,72.7,48.5,1.5
40044,Vehicle Offences,E01002396,Hillingdon,72.6,61.8,1.17
42502,Vehicle Offences,E01034042,Hounslow,72.0,59.1,1.22
39142,Vehicle Offences,E01001437,Enfield,72.0,43.8,1.64
41977,Vehicle Offences,E01004453,Waltham Forest,71.9,43.4,1.66
40477,Vehicle Offences,E01002860,Kensington and Chelsea,71.9,53.1,1.35
41264,Vehicle Offences,E01003677,Redbridge,71.9,46.8,1.54
42178,Vehicle Offences,E01004662,Westminster,71.6,86.9,0.82
42651,Vehicle Offences,E01035484,Hammersmith and Fulham,71.2,50.6,1.41
39603,Vehicle Offences,E01001943,Hammersmith and Fulham,71.2,38.8,1.84
42551,Vehicle Offences,E01034200,Newham,70.8,45.8,1.55
42190,Vehicle Offences,E01004680,Westminster,70.8,61.2,1.16
39054,Vehicle Offences,E01001348,Ealing,70.5,48.3,1.46
40205,Vehicle Offences,E01002570,Hounslow,70.3,56.9,1.24
39694,Vehicle Offences,E01002036,Haringey,70.0,54.6,1.28
41109,Vehicle Offences,E01003513,Newham,70.0,56.4,1.24
39353,Vehicle Offences,E01001666,Greenwich,69.9,45.2,1.55
42518,Vehicle Offences,E01034150,Croydon,69.8,58.7,1.19
41433,Vehicle Offences,E01003851,Richmond upon Thames,69.4,50.0,1.39
38661,Vehicle Offences,E01000942,Camden,69.2,59.8,1.16
41637,Vehicle Offences,E01004076,Sutton,69.0,42.9,1.61
42387,Vehicle Offences,E01033699,Hackney,69.0,49.1,1.41
41980,Vehicle Offences,E01004456,Waltham Forest,69.0,48.2,1.43
38983,Vehicle Offences,E01001277,Ealing,68.7,39.8,1.73
42600,Vehicle Offences,E01034473,Barking and Dagenham,68.5,50.3,1.36
41442,Vehicle Offences,E01003860,Richmond upon Thames,68.2,50.1,1.36
37847,Vehicle Offences,E01000095,Barking and Dagenham,68.2,33.6,2.03
41262,Vehicle Offences,E01003675,Redbridge,67.9,43.8,1.55
42641,Vehicle Offences,E01034608,Hillingdon,67.8,51.6,1.31
37952,Vehicle Offences,E01000205,Barnet,67.8,45.6,1.49
41846,Vehicle Offences,E01004316,Tower Hamlets,67.6,56.7,1.19
42123,Vehicle Offences,E01004606,Wandsworth,67.5,44.5,1.52
39593,Vehicle Offences,E01001931,Hammersmith and Fulham,67.3,57.8,1.16
42426,Vehicle Offences,E01033862,Lambeth,67.0,55.2,1.21
42398,Vehicle Offences,E01033712,Hackney,66.4,43.8,1.52
38882,Vehicle Offences,E01001172,Croydon,66.2,40.2,1.65
42448,Vehicle Offences,E01033884,Southwark,65.9,66.7,0.99
40208,Vehicle Offences,E01002573,Hounslow,65.6,44.2,1.48
