,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
54814,E01035718,Burglary,Westminster,2659,138.7,11401.14,0.124,8.064516129032258
47983,E01004609,Burglary,Wandsworth,2194,138.6,13277.88,0.144,6.944444444444445
49369,E01004749,Burglary,Westminster,2199,137.8,13504.4,0.152,6.578947368421053
19757,E01001898,Burglary,Hammersmith and Fulham,2100,137.5,13915.0,0.154,6.4935064935064934
32165,E01003074,Burglary,Lambeth,2339,134.3,13349.42,0.152,6.578947368421053
50425,E01033327,Burglary,Lewisham,2169,130.7,10652.05,0.126,7.936507936507937
54066,E01035650,Burglary,Hackney,2020,128.7,11402.82,0.137,7.2992700729927
44837,E01004309,Burglary,Tower Hamlets,2843,127.2,12071.28,0.146,6.849315068493151
49897,E01032764,Burglary,Tower Hamlets,2386,126.7,10820.18,0.131,7.633587786259541
14334,E01001361,Burglary,Ealing,2271,126.7,11631.06,0.14,7.142857142857142
50865,E01033700,Burglary,Hackney,2497,125.6,11391.92,0.14,7.142857142857142
21220,E01002034,Burglary,Haringey,2471,125.2,12144.4,0.148,6.756756756756757
31780,E01003039,Burglary,Lambeth,2027,125.1,12022.11,0.149,6.7114093959731544
24652,E01002356,Burglary,Havering,2107,125.1,12147.21,0.151,6.622516556291391
48071,E01004617,Burglary,Wandsworth,1915,124.7,11123.24,0.136,7.352941176470588
39623,E01003783,Burglary,Redbridge,2549,120.7,10042.24,0.129,7.751937984496124
19119,E01001839,Burglary,Hackney,2386,120.6,10902.24,0.139,7.194244604316546
10176,E01000973,Burglary,Camden,2617,120.5,10555.8,0.134,7.462686567164178
18470,E01001773,Burglary,Hackney,2500,118.8,11666.16,0.151,6.622516556291391
15159,E01001437,Burglary,Enfield,2324,117.7,9098.21,0.118,8.474576271186441
6084,E01000580,Burglary,Brent,2090,117.1,9286.03,0.122,8.19672131147541
54693,E01035707,Burglary,Camden,2463,116.3,10699.6,0.126,7.936507936507937
45750,E01004397,Burglary,Waltham Forest,2896,114.4,9746.88,0.119,8.403361344537815
36818,E01003515,Burglary,Newham,2127,114.2,9512.86,0.127,7.874015748031496
19229,E01001849,Burglary,Hackney,2451,114.2,9170.26,0.124,8.064516129032258
18074,E01001731,Burglary,Hackney,2665,108.4,8606.96,0.121,8.264462809917356
54726,E01035710,Burglary,Camden,2598,104.6,7374.3,0.107,9.345794392523365
54286,E01035670,Burglary,Tower Hamlets,4380,93.1,5632.55,0.093,10.75268817204301
22232,E01002130,Burglary,Harrow,2923,91.8,6022.08,0.101,9.900990099009901
28546,E01002735,Burglary,Islington,2954,88.0,5649.6,0.098,10.204081632653061
