,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
13801,Enfield,E01001419,Burglary,3954,50.3,38.0,1.32
42905,Tower Hamlets,E01035660,Burglary,2882,98.0,74.4,1.32
8293,Camden,E01000858,Burglary,3984,52.9,40.1,1.32
17442,Hackney,E01001780,Burglary,3632,57.5,43.7,1.32
2890,Barnet,E01000307,Burglary,3290,57.2,43.3,1.32
27077,Islington,E01002734,Burglary,4726,40.9,31.1,1.32
42513,Tower Hamlets,E01004306,Burglary,3742,58.9,45.0,1.31
30819,Lambeth,E01003118,Burglary,3756,48.9,37.2,1.31
42992,Tower Hamlets,E01035669,Burglary,2694,96.5,73.6,1.31
1400,Barnet,E01000144,Burglary,3312,70.9,54.3,1.31
30067,Lambeth,E01003039,Burglary,4054,62.5,47.6,1.31
21918,Harrow,E01002226,Burglary,5312,36.4,27.8,1.31
37782,Redbridge,E01033591,Burglary,5978,34.0,25.9,1.31
28009,Kensington and Chelsea,E01002819,Burglary,2212,113.3,86.8,1.31
17060,Hackney,E01001733,Burglary,3780,45.9,35.2,1.3
40263,Southwark,E01004074,Burglary,3502,60.1,46.4,1.3
15109,Enfield,E01001559,Burglary,4254,59.6,45.8,1.3
23254,Havering,E01002356,Burglary,4214,62.5,48.1,1.3
47074,Westminster,E01004712,Burglary,2988,99.4,76.2,1.3
34842,Newham,E01003521,Burglary,4374,61.7,47.4,1.3
20444,Haringey,E01002069,Burglary,4184,54.7,42.1,1.3
28914,Kensington and Chelsea,E01035714,Burglary,4206,48.5,37.4,1.3
47418,Westminster,E01004750,Burglary,3268,75.4,57.9,1.3
20113,Haringey,E01002034,Burglary,4942,62.6,48.0,1.3
31824,Lewisham,E01003215,Burglary,3786,67.1,51.6,1.3
2117,Barnet,E01000223,Burglary,4074,47.1,36.1,1.3
2494,Barnet,E01000264,Burglary,3638,65.6,50.5,1.3
28614,Kensington and Chelsea,E01002884,Burglary,2814,78.2,60.5,1.29
25146,Hillingdon,E01034608,Burglary,4792,46.4,35.9,1.29
10038,Croydon,E01001042,Burglary,4322,64.4,50.1,1.29
17432,Hackney,E01001777,Burglary,5314,55.5,43.3,1.28
44349,Waltham Forest,E01004430,Burglary,5342,44.9,35.1,1.28
5055,Brent,E01000524,Burglary,4768,49.5,38.7,1.28
