,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
45880,E01004408,Violence Against the Person,Waltham Forest,1716,143.3,12968.65,0.14,7.142857142857142
38752,E01003700,Violence Against the Person,Redbridge,2565,143.8,13617.86,0.14,7.142857142857142
7523,E01000718,Violence Against the Person,Bromley,2065,129.6,11884.32,0.141,7.092198581560284
461,E01000052,Violence Against the Person,Barking and Dagenham,2367,151.6,14720.36,0.141,7.092198581560284
37465,E01003573,Violence Against the Person,Newham,2332,125.1,11972.07,0.141,7.092198581560284
4927,E01000468,Violence Against the Person,Bexley,2941,171.8,17867.2,0.141,7.092198581560284
14728,E01001397,Violence Against the Person,Enfield,2140,151.5,16513.5,0.141,7.092198581560284
40248,E01003839,Violence Against the Person,Richmond upon Thames,2256,130.9,12946.01,0.141,7.092198581560284
37619,E01003587,Violence Against the Person,Newham,2494,161.3,15113.81,0.141,7.092198581560284
32207,E01003077,Violence Against the Person,Lambeth,1825,134.4,12230.4,0.141,7.092198581560284
18006,E01001724,Violence Against the Person,Hackney,2856,159.2,14980.72,0.141,7.092198581560284
27840,E01002663,Violence Against the Person,Hounslow,2189,137.3,12535.49,0.141,7.092198581560284
51908,E01033943,Violence Against the Person,Haringey,2523,149.9,16623.91,0.142,7.042253521126761
38400,E01003666,Violence Against the Person,Redbridge,2866,167.1,16108.44,0.142,7.042253521126761
20096,E01001928,Violence Against the Person,Hammersmith and Fulham,1815,137.4,12613.32,0.142,7.042253521126761
37201,E01003549,Violence Against the Person,Newham,2137,148.4,14053.48,0.142,7.042253521126761
39148,E01003738,Violence Against the Person,Redbridge,2381,125.5,12801.0,0.142,7.042253521126761
7776,E01000742,Violence Against the Person,Bromley,2096,144.5,13424.05,0.142,7.042253521126761
23319,E01002232,Violence Against the Person,Harrow,2175,164.2,15828.88,0.143,6.993006993006993
26421,E01002526,Violence Against the Person,Hillingdon,2951,180.6,18132.24,0.143,6.993006993006993
54317,E01035672,Violence Against the Person,Tower Hamlets,3012,169.3,17251.67,0.143,6.993006993006993
33395,E01003187,Violence Against the Person,Lambeth,2294,133.3,13330.0,0.143,6.993006993006993
49092,E01004720,Violence Against the Person,Westminster,2289,144.7,13601.8,0.143,6.993006993006993
3200,E01000308,Violence Against the Person,Barnet,2108,144.0,13478.4,0.143,6.993006993006993
45814,E01004402,Violence Against the Person,Waltham Forest,1859,143.3,13183.6,0.143,6.993006993006993
