,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
28152,E01003102,Lambeth,Drug Offences,3542,143.7,18221.16,0.175,5.714285714285714
7672,E01000855,Camden,Drug Offences,2654,119.5,13491.55,0.175,5.714285714285714
33577,E01003690,Redbridge,Drug Offences,4324,110.1,13002.81,0.177,5.649717514124294
21369,E01002356,Havering,Drug Offences,4214,232.3,27272.02,0.18,5.555555555555555
8516,E01000947,Camden,Drug Offences,3312,171.2,23916.64,0.186,5.376344086021505
7741,E01000862,Camden,Drug Offences,3424,146.7,20024.55,0.186,5.376344086021505
7682,E01000856,Camden,Drug Offences,3150,172.7,23331.77,0.187,5.347593582887701
27286,E01003013,Lambeth,Drug Offences,3868,99.5,12477.3,0.189,5.291005291005291
7700,E01000858,Camden,Drug Offences,3984,228.3,35295.18,0.189,5.291005291005291
45439,E01034145,Croydon,Drug Offences,2660,209.0,27211.8,0.198,5.05050505050505
42987,E01004761,Westminster,Drug Offences,2434,169.4,22564.08,0.198,5.05050505050505
44267,E01033706,Hackney,Drug Offences,2854,192.3,25652.82,0.204,4.901960784313726
45806,E01034200,Newham,Drug Offences,3146,211.1,28498.5,0.207,4.830917874396135
47216,E01035668,Tower Hamlets,Drug Offences,4142,161.6,23335.04,0.216,4.62962962962963
26883,E01002968,Kingston upon Thames,Drug Offences,5874,310.9,50427.98,0.247,4.048582995951417
44277,E01033708,Hackney,Drug Offences,3766,265.7,49765.61,0.271,3.6900369003690034
44703,E01033874,Southwark,Drug Offences,2286,206.9,37262.69,0.275,3.6363636363636362
27614,E01003047,Lambeth,Drug Offences,3596,368.2,70363.02,0.284,3.5211267605633805
38886,E01004306,Tower Hamlets,Drug Offences,3742,133.3,27246.52,0.286,3.4965034965034967
38896,E01004307,Tower Hamlets,Drug Offences,4770,173.0,39703.5,0.315,3.1746031746031744
45487,E01034150,Croydon,Drug Offences,2624,375.9,92960.07,0.33,3.0303030303030303
47695,E01035718,Westminster,Drug Offences,5318,268.1,59223.29,0.341,2.9325513196480935
46002,E01034220,Newham,Drug Offences,2376,257.0,61500.1,0.346,2.8901734104046244
8270,E01000919,Camden,Drug Offences,2918,276.6,65443.56,0.369,2.710027100271003
47723,E01035721,Westminster,Drug Offences,4672,279.8,108926.14,0.487,2.053388090349076
47675,E01035716,Westminster,Drug Offences,4402,650.0,271700.0,0.58,1.7241379310344829
7751,E01000863,Camden,Drug Offences,2958,706.6,319736.5,0.588,1.7006802721088436
42789,E01004736,Westminster,Drug Offences,3094,733.5,324427.05,0.628,1.5923566878980893
43007,E01004763,Westminster,Drug Offences,4062,697.1,311324.86,0.661,1.51285930408472
42769,E01004734,Westminster,Drug Offences,3398,1337.1,1104310.89,1.218,0.8210180623973727
