,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
43013,E01004763,Vehicle Offences,Westminster,6093,90.4,0.002,4529.04
34158,E01003752,Vehicle Offences,Redbridge,8343,34.0,0.002,836.4
43170,E01032575,Vehicle Offences,Haringey,6375,50.0,0.002,1855.0
43365,E01032764,Vehicle Offences,Tower Hamlets,9544,39.0,0.002,932.1
44066,E01033587,Vehicle Offences,Barking and Dagenham,9780,56.6,0.002,2094.2
31852,E01003499,Vehicle Offences,Newham,7326,60.0,0.002,2358.0
33649,E01003697,Vehicle Offences,Redbridge,5196,52.0,0.002,1970.8
31872,E01003501,Vehicle Offences,Newham,9476,33.3,0.002,819.18
31921,E01003508,Vehicle Offences,Newham,7542,42.0,0.002,1171.8
18179,E01002008,Vehicle Offences,Haringey,4158,88.7,0.002,4736.58
30706,E01003375,Vehicle Offences,Merton,7120,43.0,0.002,1414.7
30048,E01003304,Vehicle Offences,Lewisham,6660,54.4,0.002,2197.76
29212,E01003213,Vehicle Offences,Lewisham,5880,45.6,0.002,1573.2
29182,E01003210,Vehicle Offences,Lewisham,5265,55.3,0.002,2256.24
28998,E01003190,Vehicle Offences,Lewisham,6909,55.7,0.002,1994.06
32253,E01003543,Vehicle Offences,Newham,7014,45.1,0.002,1461.24
32390,E01003557,Vehicle Offences,Newham,7900,34.0,0.002,884.0
32410,E01003559,Vehicle Offences,Newham,7095,33.7,0.002,818.91
32709,E01003590,Vehicle Offences,Newham,6396,44.2,0.002,1352.52
32847,E01003604,Vehicle Offences,Newham,6858,53.3,0.002,1886.82
33182,E01003646,Vehicle Offences,Redbridge,5700,48.0,0.002,1776.0
31812,E01003495,Vehicle Offences,Newham,6270,44.8,0.002,1433.6
22580,E01002490,Vehicle Offences,Hillingdon,6405,60.7,0.002,2543.33
39022,E01004323,Vehicle Offences,Tower Hamlets,6604,50.2,0.002,2118.44
22649,E01002497,Vehicle Offences,Hillingdon,9900,51.0,0.002,1718.7
22717,E01002506,Vehicle Offences,Hillingdon,6162,54.0,0.002,1971.0
22986,E01002540,Vehicle Offences,Hillingdon,5484,62.0,0.002,2746.6
23220,E01002565,Vehicle Offences,Hounslow,7620,47.3,0.002,1627.12
23238,E01002569,Vehicle Offences,Hounslow,6315,44.9,0.002,1454.76
38502,E01004251,Vehicle Offences,Tower Hamlets,7758,34.3,0.002,967.26
33583,E01003690,Vehicle Offences,Redbridge,8648,32.6,0.002,815.0
23314,E01002577,Vehicle Offences,Hounslow,4986,60.5,0.002,2631.75
33451,E01003675,Vehicle Offences,Redbridge,6896,67.9,0.002,3041.92
34394,E01003778,Vehicle Offences,Redbridge,5832,54.2,0.002,1864.48
23674,E01002615,Vehicle Offences,Hounslow,6452,39.8,0.002,1162.16
44125,E01033594,Vehicle Offences,Westminster,6056,58.6,0.002,2297.12
44253,E01033704,Vehicle Offences,Hackney,7017,48.8,0.002,1522.56
44273,E01033706,Vehicle Offences,Hackney,4281,60.7,0.002,2464.42
35891,E01003945,Vehicle Offences,Southwark,5361,49.4,0.002,1733.94
25055,E01002770,Vehicle Offences,Islington,5682,54.1,0.002,2055.8
25204,E01002785,Vehicle Offences,Islington,7464,41.7,0.002,1180.11
25243,E01002789,Vehicle Offences,Islington,7448,36.3,0.002,925.65
31979,E01003515,Vehicle Offences,Newham,8508,82.8,0.002,3974.4
31949,E01003512,Vehicle Offences,Newham,5895,36.6,0.002,1010.16
27419,E01003026,Vehicle Offences,Lambeth,4608,52.5,0.002,2000.25
23459,E01002592,Vehicle Offences,Hounslow,6489,48.9,0.002,1696.83
41213,E01004555,Vehicle Offences,Wandsworth,6860,40.2,0.002,1089.42
11999,E01001322,Vehicle Offences,Ealing,6129,48.7,0.002,1558.4
47691,E01035717,Vehicle Offences,Westminster,5706,47.6,0.002,1599.36
1880,E01000211,Vehicle Offences,Barnet,6366,36.5,0.002,934.4
40475,E01004477,Vehicle Offences,Wandsworth,4953,62.0,0.002,2554.4
3640,E01000403,Vehicle Offences,Bexley,9528,41.6,0.002,1293.76
603,E01000072,Vehicle Offences,Barking and Dagenham,6426,35.1,0.002,884.52
