,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
20410,Haringey,E01002065,Robbery,1570,63.3,79.2,0.8
18284,Hackney,E01035645,Robbery,1325,44.0,79.0,0.56
6120,Brent,E01000643,Robbery,2200,67.9,79.0,0.86
18322,Hackney,E01035649,Robbery,1406,59.0,78.9,0.75
40517,Southwark,E01033881,Robbery,1901,68.1,78.8,0.86
35960,Newham,E01033586,Robbery,2098,52.7,78.6,0.67
29975,Lambeth,E01003029,Robbery,1845,40.8,78.4,0.52
20038,Haringey,E01002026,Robbery,3560,96.2,78.3,1.23
28384,Kensington and Chelsea,E01002860,Robbery,1119,47.3,77.9,0.61
31556,Lambeth,E01033864,Robbery,1041,39.0,77.8,0.5
30298,Lambeth,E01003062,Robbery,1781,55.2,77.6,0.71
27896,Islington,E01035652,Robbery,2542,99.7,77.5,1.29
18950,Hammersmith and Fulham,E01001915,Robbery,2882,31.4,76.7,0.41
30100,Lambeth,E01003042,Robbery,1095,37.6,76.7,0.49
46876,Westminster,E01004690,Robbery,1046,42.2,76.4,0.55
720,Barking and Dagenham,E01000084,Robbery,1411,68.4,76.3,0.9
45444,Wandsworth,E01004543,Robbery,1751,42.3,76.2,0.56
40334,Southwark,E01032640,Robbery,1005,39.2,76.0,0.52
47303,Westminster,E01004735,Robbery,4088,106.2,75.6,1.4
30367,Lambeth,E01003069,Robbery,1324,44.9,75.5,0.59
31565,Lambeth,E01033865,Robbery,1517,57.0,75.5,0.75
39584,Southwark,E01003998,Robbery,1393,58.7,74.8,0.78
15,Barking and Dagenham,E01000007,Robbery,2841,81.2,74.7,1.09
28599,Kensington and Chelsea,E01002882,Robbery,1068,33.6,74.5,0.45
30109,Lambeth,E01003043,Robbery,1649,38.5,74.5,0.52
32991,Lewisham,E01003341,Robbery,1397,35.8,74.4,0.48
14733,Enfield,E01001518,Robbery,1690,49.4,74.4,0.66
17085,Hackney,E01001735,Robbery,1595,59.0,74.3,0.79
36755,Redbridge,E01003689,Robbery,4460,103.5,74.1,1.4
11538,Croydon,E01034144,Robbery,1344,49.9,74.1,0.67
12950,Ealing,E01001338,Robbery,1883,46.9,73.9,0.63
47581,Westminster,E01033594,Robbery,3028,93.1,73.9,1.26
8739,Camden,E01000906,Robbery,1468,45.7,73.6,0.62
20569,Haringey,E01002082,Robbery,1434,49.2,73.4,0.67
35548,Newham,E01003593,Robbery,1555,65.8,73.4,0.9
13437,Ealing,E01032572,Robbery,1601,42.6,73.3,0.58
13408,Ealing,E01001387,Robbery,1516,44.2,73.1,0.6
30618,Lambeth,E01003095,Robbery,1634,37.4,73.0,0.51
17852,Hackney,E01001827,Robbery,1692,54.6,72.7,0.75
19070,Hammersmith and Fulham,E01001928,Robbery,1815,46.3,72.5,0.64
23523,Havering,E01002385,Robbery,1588,18.2,72.3,0.25
46925,Westminster,E01004695,Robbery,2112,71.3,72.2,0.99
25406,Hounslow,E01002573,Robbery,1564,42.9,72.2,0.59
1963,Barnet,E01000206,Robbery,1487,30.1,72.1,0.42
27452,Islington,E01002775,Robbery,1391,47.8,72.1,0.66
35517,Newham,E01003590,Robbery,1599,48.2,72.0,0.67
39100,Southwark,E01003935,Robbery,1291,54.2,71.9,0.75
28335,Kensington and Chelsea,E01002855,Robbery,1589,57.7,71.9,0.8
40467,Southwark,E01033876,Robbery,1200,39.7,71.5,0.56
10982,Croydon,E01001145,Robbery,1803,59.1,71.4,0.83
9402,Camden,E01035711,Robbery,4800,104.4,71.4,1.46
17408,Hackney,E01001774,Robbery,1978,66.6,71.2,0.94
36185,Newham,E01034221,Robbery,1784,55.4,70.8,0.78
9752,Croydon,E01001010,Robbery,3430,60.0,70.8,0.85
34847,Newham,E01003521,Robbery,4374,112.0,70.7,1.58
19907,Haringey,E01002011,Robbery,1743,39.5,70.4,0.56
28004,Kensington and Chelsea,E01002818,Robbery,2802,69.1,69.8,0.99
8319,Camden,E01000860,Robbery,1131,31.7,69.7,0.45
37120,Redbridge,E01003729,Robbery,1748,70.3,69.6,1.01
20788,Haringey,E01002104,Robbery,1447,42.3,69.4,0.61
