,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
20917,Possession of Weapons,E01002129,Harrow,17.7,27.2,0.65
20651,Possession of Weapons,E01001760,Hackney,28.7,44.1,0.65
22722,Possession of Weapons,E01004765,Westminster,21.2,33.2,0.64
22915,Possession of Weapons,E01034039,Hounslow,38.3,60.7,0.63
20234,Possession of Weapons,E01001178,Croydon,23.7,37.6,0.63
23102,Possession of Weapons,E01035711,Camden,15.2,24.3,0.63
21504,Possession of Weapons,E01003020,Lambeth,19.1,30.5,0.63
22925,Possession of Weapons,E01034143,Croydon,34.1,53.8,0.63
22457,Possession of Weapons,E01004392,Waltham Forest,14.9,23.9,0.62
20630,Possession of Weapons,E01001731,Hackney,13.0,20.9,0.62
22162,Possession of Weapons,E01003966,Southwark,14.9,23.9,0.62
20604,Possession of Weapons,E01001696,Greenwich,16.0,26.0,0.62
21269,Possession of Weapons,E01002695,Islington,26.2,42.3,0.62
21562,Possession of Weapons,E01003090,Lambeth,16.7,26.9,0.62
22948,Possession of Weapons,E01034188,Greenwich,30.7,49.7,0.62
21526,Possession of Weapons,E01003051,Lambeth,26.9,43.1,0.62
20472,Possession of Weapons,E01001513,Enfield,21.4,35.1,0.61
21640,Possession of Weapons,E01003186,Lambeth,16.0,26.3,0.61
22642,Possession of Weapons,E01004658,Westminster,21.3,35.0,0.61
22947,Possession of Weapons,E01034187,Greenwich,36.0,59.3,0.61
20832,Possession of Weapons,E01002026,Haringey,26.4,43.3,0.61
22171,Possession of Weapons,E01003981,Southwark,33.8,55.3,0.61
22837,Possession of Weapons,E01033737,Greenwich,23.3,38.1,0.61
20213,Possession of Weapons,E01001155,Croydon,21.7,35.6,0.61
22826,Possession of Weapons,E01033706,Hackney,43.3,71.1,0.61
19799,Possession of Weapons,E01000524,Brent,19.7,32.6,0.6
21736,Possession of Weapons,E01003303,Lewisham,22.6,37.6,0.6
21150,Possession of Weapons,E01002521,Hillingdon,17.5,29.3,0.6
22133,Possession of Weapons,E01003922,Southwark,17.3,29.1,0.59
20810,Possession of Weapons,E01001979,Haringey,15.8,27.0,0.59
22720,Possession of Weapons,E01004762,Westminster,20.5,34.9,0.59
20821,Possession of Weapons,E01002002,Haringey,26.0,44.4,0.59
20724,Possession of Weapons,E01001857,Hammersmith and Fulham,23.1,39.4,0.59
20423,Possession of Weapons,E01001450,Enfield,14.4,24.4,0.59
21350,Possession of Weapons,E01002795,Islington,19.0,32.0,0.59
21885,Possession of Weapons,E01003521,Newham,17.2,29.0,0.59
21536,Possession of Weapons,E01003061,Lambeth,29.7,50.1,0.59
21523,Possession of Weapons,E01003048,Lambeth,21.3,36.8,0.58
19871,Possession of Weapons,E01000631,Brent,17.9,30.6,0.58
22824,Possession of Weapons,E01033704,Hackney,13.3,22.9,0.58
21565,Possession of Weapons,E01003093,Lambeth,14.0,24.1,0.58
19569,Possession of Weapons,E01000141,Barnet,16.8,28.8,0.58
20255,Possession of Weapons,E01001202,Ealing,14.9,25.5,0.58
22799,Possession of Weapons,E01033491,Islington,18.9,32.8,0.58
20198,Possession of Weapons,E01001136,Croydon,18.6,32.2,0.58
22176,Possession of Weapons,E01003988,Southwark,14.6,25.3,0.58
20881,Possession of Weapons,E01002081,Haringey,19.3,33.5,0.58
21238,Possession of Weapons,E01002641,Hounslow,11.4,19.6,0.58
21141,Possession of Weapons,E01002506,Hillingdon,17.2,29.7,0.58
20414,Possession of Weapons,E01001439,Enfield,12.8,22.3,0.57
22679,Possession of Weapons,E01004714,Westminster,19.8,35.0,0.57
21593,Possession of Weapons,E01003127,Lambeth,15.0,26.4,0.57
22812,Possession of Weapons,E01033594,Westminster,25.3,44.3,0.57
20040,Possession of Weapons,E01000914,Camden,26.0,45.7,0.57
22163,Possession of Weapons,E01003969,Southwark,17.2,30.1,0.57
21327,Possession of Weapons,E01002770,Islington,21.1,37.0,0.57
22853,Possession of Weapons,E01033862,Lambeth,29.0,51.1,0.57
20883,Possession of Weapons,E01002084,Haringey,17.7,31.0,0.57
22498,Possession of Weapons,E01004444,Waltham Forest,11.4,20.1,0.57
20878,Possession of Weapons,E01002077,Haringey,16.4,28.8,0.57
19466,Possession of Weapons,E01000007,Barking and Dagenham,15.7,27.6,0.57
22361,Possession of Weapons,E01004259,Tower Hamlets,22.8,40.0,0.57
23058,Possession of Weapons,E01035652,Islington,35.2,61.7,0.57
22699,Possession of Weapons,E01004735,Westminster,16.1,29.0,0.56
22478,Possession of Weapons,E01004420,Waltham Forest,14.2,25.5,0.56
21727,Possession of Weapons,E01003291,Lewisham,26.8,47.9,0.56
21737,Possession of Weapons,E01003304,Lewisham,15.6,27.8,0.56
20837,Possession of Weapons,E01002031,Haringey,23.6,41.9,0.56
20961,Possession of Weapons,E01002219,Harrow,14.6,26.1,0.56
20185,Possession of Weapons,E01001118,Croydon,17.0,30.2,0.56
20700,Possession of Weapons,E01001830,Hackney,19.0,33.9,0.56
19881,Possession of Weapons,E01000643,Brent,14.7,26.4,0.56
21952,Possession of Weapons,E01003618,Newham,16.3,29.1,0.56
22886,Possession of Weapons,E01033927,Enfield,16.4,29.4,0.56
21540,Possession of Weapons,E01003066,Lambeth,21.2,37.9,0.56
21921,Possession of Weapons,E01003570,Newham,23.4,41.7,0.56
21549,Possession of Weapons,E01003076,Lambeth,11.5,20.5,0.56
21520,Possession of Weapons,E01003045,Lambeth,19.2,35.0,0.55
22986,Possession of Weapons,E01034394,Lewisham,27.8,51.0,0.55
22912,Possession of Weapons,E01034036,Hounslow,20.0,36.2,0.55
21966,Possession of Weapons,E01003636,Newham,15.0,27.1,0.55
22487,Possession of Weapons,E01004430,Waltham Forest,12.8,23.1,0.55
20642,Possession of Weapons,E01001747,Hackney,13.9,25.4,0.55
22821,Possession of Weapons,E01033700,Hackney,14.1,25.6,0.55
21943,Possession of Weapons,E01003601,Newham,20.2,36.5,0.55
20067,Possession of Weapons,E01000947,Camden,25.6,46.8,0.55
21843,Possession of Weapons,E01003456,Merton,15.7,28.7,0.55
21140,Possession of Weapons,E01002505,Hillingdon,17.2,31.3,0.55
22575,Possession of Weapons,E01004551,Wandsworth,22.0,39.7,0.55
20401,Possession of Weapons,E01001425,Enfield,14.7,26.9,0.55
20613,Possession of Weapons,E01001705,Greenwich,12.8,23.4,0.55
21300,Possession of Weapons,E01002734,Islington,16.9,30.7,0.55
22509,Possession of Weapons,E01004455,Waltham Forest,17.7,32.2,0.55
21623,Possession of Weapons,E01003166,Lambeth,13.6,25.3,0.54
21503,Possession of Weapons,E01003018,Lambeth,16.7,31.1,0.54
22324,Possession of Weapons,E01004203,Tower Hamlets,15.2,28.1,0.54
19976,Possession of Weapons,E01000799,Bromley,17.2,31.9,0.54
19696,Possession of Weapons,E01000360,Bexley,17.0,31.6,0.54
20843,Possession of Weapons,E01002038,Haringey,15.8,29.5,0.54
21513,Possession of Weapons,E01003035,Lambeth,26.0,47.8,0.54
20803,Possession of Weapons,E01001971,Haringey,15.9,29.4,0.54
22146,Possession of Weapons,E01003939,Southwark,16.2,30.1,0.54
19798,Possession of Weapons,E01000523,Brent,13.6,25.2,0.54
22719,Possession of Weapons,E01004761,Westminster,29.5,54.8,0.54
20294,Possession of Weapons,E01001261,Ealing,12.3,23.3,0.53
20633,Possession of Weapons,E01001734,Hackney,15.5,29.0,0.53
20286,Possession of Weapons,E01001247,Ealing,13.4,25.3,0.53
22807,Possession of Weapons,E01033587,Barking and Dagenham,12.5,23.6,0.53
19832,Possession of Weapons,E01000578,Brent,9.9,18.8,0.53
21275,Possession of Weapons,E01002704,Islington,17.1,32.0,0.53
22140,Possession of Weapons,E01003933,Southwark,11.6,22.0,0.53
22331,Possession of Weapons,E01004211,Tower Hamlets,21.1,39.9,0.53
20113,Possession of Weapons,E01001011,Croydon,19.0,35.8,0.53
22958,Possession of Weapons,E01034205,Newham,18.8,36.5,0.52
21573,Possession of Weapons,E01003102,Lambeth,25.6,49.5,0.52
19902,Possession of Weapons,E01000677,Bromley,14.6,28.1,0.52
22885,Possession of Weapons,E01033926,Enfield,14.4,27.9,0.52
19723,Possession of Weapons,E01000403,Bexley,14.3,27.4,0.52
22933,Possession of Weapons,E01034152,Croydon,19.1,36.5,0.52
20789,Possession of Weapons,E01001945,Hammersmith and Fulham,15.0,28.9,0.52
21280,Possession of Weapons,E01002711,Islington,12.3,23.7,0.52
21664,Possession of Weapons,E01003215,Lewisham,13.7,26.5,0.52
22144,Possession of Weapons,E01003937,Southwark,18.0,34.5,0.52
22403,Possession of Weapons,E01004322,Tower Hamlets,19.7,37.7,0.52
20822,Possession of Weapons,E01002003,Haringey,12.3,23.7,0.52
21881,Possession of Weapons,E01003517,Newham,12.9,25.3,0.51
22893,Possession of Weapons,E01033935,Brent,12.7,25.0,0.51
22952,Possession of Weapons,E01034198,Greenwich,12.1,23.9,0.51
20467,Possession of Weapons,E01001507,Enfield,15.0,29.2,0.51
21570,Possession of Weapons,E01003099,Lambeth,18.2,36.0,0.51
