,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
39728,Vehicle Offences,E01002070,Haringey,40.1,25.4,1.58
39725,Vehicle Offences,E01002067,Haringey,39.7,25.2,1.58
41093,Vehicle Offences,E01003494,Newham,35.8,22.6,1.58
40454,Vehicle Offences,E01002836,Kensington and Chelsea,78.6,49.8,1.58
41918,Vehicle Offences,E01004392,Waltham Forest,37.4,23.7,1.58
42372,Vehicle Offences,E01033587,Barking and Dagenham,56.6,36.0,1.57
39594,Vehicle Offences,E01001932,Hammersmith and Fulham,226.3,144.5,1.57
39212,Vehicle Offences,E01001511,Enfield,61.4,39.0,1.57
41098,Vehicle Offences,E01003499,Newham,60.0,38.3,1.57
42611,Vehicle Offences,E01034484,Redbridge,65.0,41.5,1.57
41555,Vehicle Offences,E01003988,Southwark,55.8,35.6,1.57
39028,Vehicle Offences,E01001322,Ealing,48.7,31.0,1.57
41105,Vehicle Offences,E01003508,Newham,42.0,26.9,1.56
41371,Vehicle Offences,E01003788,Redbridge,53.3,34.1,1.56
37848,Vehicle Offences,E01000096,Barking and Dagenham,76.5,48.9,1.56
38637,Vehicle Offences,E01000916,Camden,84.9,54.5,1.56
40143,Vehicle Offences,E01002497,Hillingdon,51.0,32.7,1.56
42210,Vehicle Offences,E01004703,Westminster,61.2,39.3,1.56
38081,Vehicle Offences,E01000335,Bexley,36.4,23.3,1.56
42277,Vehicle Offences,E01032572,Ealing,60.9,39.4,1.55
38725,Vehicle Offences,E01001010,Croydon,86.9,55.9,1.55
42551,Vehicle Offences,E01034200,Newham,70.8,45.8,1.55
41207,Vehicle Offences,E01003618,Newham,42.2,27.2,1.55
41592,Vehicle Offences,E01004031,Southwark,38.9,25.1,1.55
37785,Vehicle Offences,E01000030,Barking and Dagenham,34.3,22.2,1.55
41262,Vehicle Offences,E01003675,Redbridge,67.9,43.8,1.55
41360,Vehicle Offences,E01003777,Redbridge,58.9,38.1,1.55
38263,Vehicle Offences,E01000523,Brent,28.9,18.6,1.55
41357,Vehicle Offences,E01003774,Redbridge,39.3,25.4,1.55
40005,Vehicle Offences,E01002356,Havering,34.7,22.4,1.55
39353,Vehicle Offences,E01001666,Greenwich,69.9,45.2,1.55
41200,Vehicle Offences,E01003604,Newham,53.3,34.4,1.55
42077,Vehicle Offences,E01004555,Wandsworth,40.2,26.1,1.54
42000,Vehicle Offences,E01004477,Wandsworth,62.0,40.2,1.54
41796,Vehicle Offences,E01004249,Tower Hamlets,30.3,19.7,1.54
39693,Vehicle Offences,E01002034,Haringey,65.4,42.6,1.54
41201,Vehicle Offences,E01003605,Newham,23.5,15.3,1.54
42740,Vehicle Offences,E01035711,Camden,65.6,42.7,1.54
41264,Vehicle Offences,E01003677,Redbridge,71.9,46.8,1.54
38972,Vehicle Offences,E01001266,Ealing,57.3,37.5,1.53
42393,Vehicle Offences,E01033706,Hackney,60.7,39.6,1.53
39577,Vehicle Offences,E01001915,Hammersmith and Fulham,75.9,49.6,1.53
41104,Vehicle Offences,E01003507,Newham,35.4,23.1,1.53
40009,Vehicle Offences,E01002361,Havering,40.3,26.4,1.53
38939,Vehicle Offences,E01001231,Ealing,48.7,31.9,1.53
42378,Vehicle Offences,E01033594,Westminster,58.6,38.2,1.53
40406,Vehicle Offences,E01002785,Islington,41.7,27.3,1.53
39507,Vehicle Offences,E01001844,Hackney,47.0,30.7,1.53
39726,Vehicle Offences,E01002068,Haringey,63.7,41.7,1.53
41794,Vehicle Offences,E01004247,Tower Hamlets,37.2,24.5,1.52
41848,Vehicle Offences,E01004321,Tower Hamlets,44.0,29.0,1.52
39149,Vehicle Offences,E01001445,Enfield,54.9,36.1,1.52
39219,Vehicle Offences,E01001518,Enfield,46.9,30.9,1.52
40150,Vehicle Offences,E01002506,Hillingdon,54.0,35.5,1.52
38131,Vehicle Offences,E01000386,Bexley,45.2,29.7,1.52
41102,Vehicle Offences,E01003503,Newham,30.5,20.1,1.52
42398,Vehicle Offences,E01033712,Hackney,66.4,43.8,1.52
42279,Vehicle Offences,E01032574,Enfield,78.4,51.5,1.52
42123,Vehicle Offences,E01004606,Wandsworth,67.5,44.5,1.52
38652,Vehicle Offences,E01000931,Camden,43.2,28.7,1.51
42086,Vehicle Offences,E01004566,Wandsworth,59.7,39.6,1.51
40518,Vehicle Offences,E01002902,Kensington and Chelsea,64.3,42.7,1.51
41304,Vehicle Offences,E01003719,Redbridge,31.1,20.6,1.51
38575,Vehicle Offences,E01000850,Camden,82.8,54.7,1.51
39447,Vehicle Offences,E01001777,Hackney,28.3,18.8,1.51
40196,Vehicle Offences,E01002559,Hounslow,27.9,18.5,1.51
41233,Vehicle Offences,E01003645,Redbridge,35.3,23.4,1.51
38620,Vehicle Offences,E01000899,Camden,88.2,58.5,1.51
37800,Vehicle Offences,E01000045,Barking and Dagenham,50.7,33.5,1.51
42198,Vehicle Offences,E01004691,Westminster,143.0,94.5,1.51
42263,Vehicle Offences,E01004762,Westminster,193.0,127.9,1.51
38808,Vehicle Offences,E01001097,Croydon,54.1,35.9,1.51
38062,Vehicle Offences,E01000316,Barnet,50.4,33.3,1.51
41113,Vehicle Offences,E01003517,Newham,63.9,42.4,1.51
41773,Vehicle Offences,E01004219,Tower Hamlets,32.8,21.7,1.51
37823,Vehicle Offences,E01000070,Barking and Dagenham,38.7,25.7,1.51
38448,Vehicle Offences,E01000719,Bromley,49.7,33.2,1.5
39258,Vehicle Offences,E01001558,Enfield,57.6,38.5,1.5
40207,Vehicle Offences,E01002572,Hounslow,78.9,52.7,1.5
40527,Vehicle Offences,E01002911,Kensington and Chelsea,171.2,114.3,1.5
40445,Vehicle Offences,E01002827,Kensington and Chelsea,39.7,26.4,1.5
42742,Vehicle Offences,E01035713,Kensington and Chelsea,80.0,53.4,1.5
42213,Vehicle Offences,E01004707,Westminster,54.3,36.1,1.5
39623,Vehicle Offences,E01001963,Haringey,54.6,36.3,1.5
42408,Vehicle Offences,E01033738,Greenwich,59.2,39.5,1.5
40488,Vehicle Offences,E01002871,Kensington and Chelsea,72.7,48.5,1.5
41099,Vehicle Offences,E01003500,Newham,74.5,49.9,1.49
41628,Vehicle Offences,E01004067,Southwark,37.3,25.1,1.49
39189,Vehicle Offences,E01001485,Enfield,33.1,22.2,1.49
39428,Vehicle Offences,E01001756,Hackney,42.2,28.3,1.49
39053,Vehicle Offences,E01001347,Ealing,80.5,54.2,1.49
41260,Vehicle Offences,E01003673,Redbridge,45.1,30.3,1.49
38320,Vehicle Offences,E01000583,Brent,40.9,27.5,1.49
41186,Vehicle Offences,E01003590,Newham,44.2,29.6,1.49
37952,Vehicle Offences,E01000205,Barnet,67.8,45.6,1.49
40045,Vehicle Offences,E01002397,Hillingdon,42.9,28.7,1.49
42121,Vehicle Offences,E01004604,Wandsworth,65.4,43.8,1.49
38824,Vehicle Offences,E01001113,Croydon,28.7,19.2,1.49
40410,Vehicle Offences,E01002789,Islington,36.3,24.5,1.48
41889,Vehicle Offences,E01004363,Waltham Forest,83.9,56.7,1.48
42171,Vehicle Offences,E01004654,Westminster,40.2,27.2,1.48
40199,Vehicle Offences,E01002562,Hounslow,65.4,44.2,1.48
39608,Vehicle Offences,E01001948,Hammersmith and Fulham,35.4,23.9,1.48
37958,Vehicle Offences,E01000211,Barnet,36.5,24.6,1.48
40652,Vehicle Offences,E01003038,Lambeth,36.3,24.6,1.48
40136,Vehicle Offences,E01002490,Hillingdon,60.7,40.9,1.48
39050,Vehicle Offences,E01001344,Ealing,42.0,28.4,1.48
40208,Vehicle Offences,E01002573,Hounslow,65.6,44.2,1.48
40632,Vehicle Offences,E01003018,Lambeth,34.4,23.3,1.48
39076,Vehicle Offences,E01001370,Ealing,38.1,25.8,1.48
