,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
20199,Haringey,E01002043,Vehicle Offences,7292,34.2,1.00214,896.04
1935,Barnet,E01000203,Vehicle Offences,7364,36.3,1.00211,972.84
42490,Tower Hamlets,E01004303,Vehicle Offences,8745,34.5,1.00209,910.8
35726,Newham,E01003618,Vehicle Offences,6708,42.2,1.00209,1190.04
20830,Haringey,E01033943,Vehicle Offences,7569,35.5,1.00208,951.4
18071,Hackney,E01001849,Vehicle Offences,7353,51.1,1.00205,1543.22
27553,Islington,E01002785,Vehicle Offences,7464,41.7,1.00204,1180.11
979,Barking and Dagenham,E01000112,Vehicle Offences,7976,36.4,1.00202,990.08
46622,Westminster,E01004654,Vehicle Offences,7425,40.2,1.00201,1133.64
13936,Enfield,E01001432,Vehicle Offences,7516,35.0,1.00198,945.0
5595,Brent,E01000583,Vehicle Offences,6084,40.9,1.00196,1165.65
34759,Newham,E01003512,Vehicle Offences,5895,36.6,1.00195,1010.16
18694,Hammersmith and Fulham,E01001888,Vehicle Offences,6320,39.8,1.00193,1130.32
14499,Enfield,E01001492,Vehicle Offences,6102,40.9,1.0019,1177.92
46563,Westminster,E01004648,Vehicle Offences,6996,40.5,1.00188,1166.4
36579,Redbridge,E01003669,Vehicle Offences,6212,46.1,1.00188,1383.0
406,Barking and Dagenham,E01000052,Vehicle Offences,7101,35.5,1.00186,983.35
17252,Hackney,E01001756,Vehicle Offences,8176,42.2,1.00186,1236.46
37102,Redbridge,E01003726,Vehicle Offences,7518,37.3,1.00185,1051.86
13010,Ealing,E01001344,Vehicle Offences,6828,42.0,1.00183,1234.8
8988,Camden,E01000931,Vehicle Offences,6168,43.2,1.00183,1283.04
929,Barking and Dagenham,E01000106,Vehicle Offences,6702,37.3,1.00182,1059.32
42630,Tower Hamlets,E01004321,Vehicle Offences,8988,44.0,1.00181,1320.0
8978,Camden,E01000930,Vehicle Offences,8424,34.6,1.00181,961.88
20219,Haringey,E01002045,Vehicle Offences,8484,34.7,1.0018,964.66
821,Barking and Dagenham,E01000095,Vehicle Offences,8916,68.2,1.00179,2359.72
15983,Greenwich,E01001652,Vehicle Offences,6876,36.4,1.00178,1030.12
25805,Hounslow,E01002615,Vehicle Offences,6452,39.8,1.00178,1162.16
18132,Hackney,E01033704,Vehicle Offences,7017,48.8,1.00177,1522.56
23364,Havering,E01002368,Vehicle Offences,7536,50.5,1.00175,1600.85
17577,Hackney,E01001794,Vehicle Offences,5841,48.6,1.00174,1521.18
3769,Bexley,E01000386,Vehicle Offences,6040,45.2,1.00173,1387.64
2926,Barnet,E01000310,Vehicle Offences,6582,38.3,1.00172,1118.36
19796,Haringey,E01001999,Vehicle Offences,7269,37.8,1.00172,1096.2
42130,Tower Hamlets,E01004251,Vehicle Offences,7758,34.3,1.00171,967.26
35519,Newham,E01003590,Vehicle Offences,6396,44.2,1.00171,1352.52
37645,Redbridge,E01003785,Vehicle Offences,8220,33.6,1.00171,940.8
39361,Southwark,E01003969,Vehicle Offences,7164,35.8,1.00168,1027.46
2124,Barnet,E01000223,Vehicle Offences,8148,40.6,1.00167,1218.0
44416,Waltham Forest,E01004438,Vehicle Offences,6351,41.5,1.00167,1253.3
5566,Brent,E01000580,Vehicle Offences,8360,39.5,1.00165,1177.1
12799,Ealing,E01001322,Vehicle Offences,6129,48.7,1.00164,1558.4
46024,Wandsworth,E01004609,Vehicle Offences,6582,42.3,1.00164,1290.15
20422,Haringey,E01002066,Vehicle Offences,10396,31.2,1.00164,864.24
18021,Hackney,E01001844,Vehicle Offences,5838,47.0,1.00163,1489.9
14735,Enfield,E01001518,Vehicle Offences,6760,46.9,1.00159,1496.11
44034,Waltham Forest,E01004397,Vehicle Offences,8688,42.2,1.00158,1303.98
2330,Barnet,E01000245,Vehicle Offences,8260,32.6,1.00158,925.84
15076,Enfield,E01001555,Vehicle Offences,6687,51.1,1.00156,1686.3
3916,Bexley,E01000403,Vehicle Offences,9528,41.6,1.00153,1293.76
44356,Waltham Forest,E01004430,Vehicle Offences,10684,60.2,1.00153,2107.0
5233,Brent,E01000545,Vehicle Offences,5742,42.3,1.00152,1323.99
20561,Haringey,E01002081,Vehicle Offences,7908,37.6,1.00151,1135.52
34622,Newham,E01003495,Vehicle Offences,6270,44.8,1.00151,1433.6
5313,Brent,E01000553,Vehicle Offences,6114,41.3,1.00151,1288.56
11955,Ealing,E01001231,Vehicle Offences,6252,48.7,1.0015,1602.23
43527,Waltham Forest,E01004344,Vehicle Offences,5727,55.1,1.00149,1889.93
19612,Haringey,E01001979,Vehicle Offences,6795,46.0,1.00149,1485.8
4833,Brent,E01000499,Vehicle Offences,7516,38.3,1.00148,1171.98
10907,Croydon,E01001137,Vehicle Offences,6489,46.1,1.00148,1498.25
42080,Tower Hamlets,E01004244,Vehicle Offences,6312,45.2,1.00148,1459.96
7636,Bromley,E01000790,Vehicle Offences,6870,34.2,1.00148,1008.9
1090,Barking and Dagenham,E01034475,Vehicle Offences,5496,58.1,1.00148,2033.5
4311,Bexley,E01000447,Vehicle Offences,7816,46.1,1.00147,1498.25
37578,Redbridge,E01003778,Vehicle Offences,5832,54.2,1.00146,1864.48
17223,Hackney,E01001751,Vehicle Offences,4533,46.3,1.00146,1509.38
35063,Newham,E01003543,Vehicle Offences,7014,45.1,1.00146,1461.24
24603,Hillingdon,E01002497,Vehicle Offences,9900,51.0,1.00146,1718.7
25369,Hounslow,E01002569,Vehicle Offences,6315,44.9,1.00145,1454.76
17322,Hackney,E01001763,Vehicle Offences,5340,39.9,1.00144,1248.87
20005,Haringey,E01002022,Vehicle Offences,6534,46.2,1.00143,1519.98
9116,Camden,E01000947,Vehicle Offences,6624,44.6,1.00142,1449.5
46194,Wandsworth,E01004627,Vehicle Offences,6336,44.2,1.00141,1436.5
45841,Wandsworth,E01004587,Vehicle Offences,5520,45.7,1.00139,1508.1
23144,Havering,E01002344,Vehicle Offences,7904,86.3,1.00138,3512.41
47691,Westminster,E01035717,Vehicle Offences,5706,47.6,1.00137,1599.36
2984,Barnet,E01000316,Vehicle Offences,9120,50.4,1.00136,1728.72
22261,Havering,E01002248,Vehicle Offences,5304,54.6,1.00136,1927.38
42346,Tower Hamlets,E01004286,Vehicle Offences,7647,41.0,1.00135,1320.2
6990,Bromley,E01000719,Vehicle Offences,6339,49.7,1.00135,1699.74
358,Barking and Dagenham,E01000045,Vehicle Offences,5187,50.7,1.00135,1749.15
13509,Ealing,E01034030,Vehicle Offences,5502,60.4,1.00134,2210.64
37673,Redbridge,E01003788,Vehicle Offences,5562,53.3,1.00134,1870.83
33477,Merton,E01003375,Vehicle Offences,7120,43.0,1.00133,1414.7
31596,Lewisham,E01003190,Vehicle Offences,6909,55.7,1.00132,1994.06
20700,Haringey,E01002095,Vehicle Offences,6264,46.4,1.00132,1568.32
35657,Newham,E01003604,Vehicle Offences,6858,53.3,1.00131,1886.82
17558,Hackney,E01001792,Vehicle Offences,6012,45.4,1.0013,1529.98
20481,Haringey,E01002072,Vehicle Offences,7612,45.8,1.00129,1548.04
17067,Hackney,E01001733,Vehicle Offences,5670,46.4,1.00129,1577.6
43846,Waltham Forest,E01004377,Vehicle Offences,7488,47.8,1.00128,1644.32
11303,Croydon,E01001177,Vehicle Offences,6500,40.9,1.00127,1341.52
25351,Hounslow,E01002565,Vehicle Offences,7620,47.3,1.00127,1627.12
25590,Hounslow,E01002592,Vehicle Offences,6489,48.9,1.00127,1696.83
24495,Hillingdon,E01002486,Vehicle Offences,8844,39.6,1.00126,1290.96
2001,Barnet,E01000210,Vehicle Offences,4635,49.9,1.00126,1751.49
45851,Wandsworth,E01004588,Vehicle Offences,6090,46.7,1.00126,1601.81
39191,Southwark,E01003945,Vehicle Offences,5361,49.4,1.00125,1733.94
25979,Hounslow,E01002633,Vehicle Offences,6618,59.0,1.00125,2194.8
