,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
18633,Miscellaneous Crimes Against Society,E01004309,Tower Hamlets,19.7,27.8,0.71
17206,Miscellaneous Crimes Against Society,E01002641,Hounslow,21.8,30.8,0.71
19076,Miscellaneous Crimes Against Society,E01033083,Hounslow,32.4,45.4,0.71
14921,Miscellaneous Crimes Against Society,E01000007,Barking and Dagenham,15.9,22.3,0.71
17252,Miscellaneous Crimes Against Society,E01002695,Islington,38.9,55.7,0.7
16764,Miscellaneous Crimes Against Society,E01002129,Harrow,21.9,31.5,0.7
16290,Miscellaneous Crimes Against Society,E01001559,Enfield,23.2,33.2,0.7
19215,Miscellaneous Crimes Against Society,E01033938,Brent,40.5,57.9,0.7
15716,Miscellaneous Crimes Against Society,E01000922,Camden,25.0,35.8,0.7
18821,Miscellaneous Crimes Against Society,E01004525,Wandsworth,35.9,51.3,0.7
16337,Miscellaneous Crimes Against Society,E01001615,Greenwich,25.3,36.9,0.69
15002,Miscellaneous Crimes Against Society,E01000095,Barking and Dagenham,23.0,33.2,0.69
19291,Miscellaneous Crimes Against Society,E01034205,Newham,30.8,44.6,0.69
17342,Miscellaneous Crimes Against Society,E01002794,Islington,25.8,37.2,0.69
17986,Miscellaneous Crimes Against Society,E01003521,Newham,27.2,39.3,0.69
15186,Miscellaneous Crimes Against Society,E01000307,Barnet,33.3,48.2,0.69
16995,Miscellaneous Crimes Against Society,E01002397,Hillingdon,22.6,32.9,0.69
19247,Miscellaneous Crimes Against Society,E01034143,Croydon,35.4,51.2,0.69
15708,Miscellaneous Crimes Against Society,E01000914,Camden,71.3,104.1,0.68
15795,Miscellaneous Crimes Against Society,E01001013,Croydon,28.3,41.7,0.68
18444,Miscellaneous Crimes Against Society,E01004067,Southwark,23.1,33.8,0.68
16176,Miscellaneous Crimes Against Society,E01001429,Enfield,35.4,51.9,0.68
15712,Miscellaneous Crimes Against Society,E01000918,Camden,33.6,49.1,0.68
19040,Miscellaneous Crimes Against Society,E01032639,Southwark,21.9,32.1,0.68
19124,Miscellaneous Crimes Against Society,E01033594,Westminster,34.6,51.4,0.67
18793,Miscellaneous Crimes Against Society,E01004493,Wandsworth,62.6,93.6,0.67
19119,Miscellaneous Crimes Against Society,E01033589,Redbridge,29.0,43.6,0.67
19132,Miscellaneous Crimes Against Society,E01033699,Hackney,38.8,57.8,0.67
19233,Miscellaneous Crimes Against Society,E01034036,Hounslow,26.2,39.3,0.67
17318,Miscellaneous Crimes Against Society,E01002770,Islington,23.6,35.9,0.66
19151,Miscellaneous Crimes Against Society,E01033737,Greenwich,27.0,40.7,0.66
16008,Miscellaneous Crimes Against Society,E01001247,Ealing,27.3,41.5,0.66
17093,Miscellaneous Crimes Against Society,E01002514,Hillingdon,28.7,43.2,0.66
17267,Miscellaneous Crimes Against Society,E01002711,Islington,20.1,30.3,0.66
17569,Miscellaneous Crimes Against Society,E01003055,Lambeth,28.4,43.1,0.66
16010,Miscellaneous Crimes Against Society,E01001249,Ealing,17.1,26.2,0.65
16289,Miscellaneous Crimes Against Society,E01001558,Enfield,30.5,46.7,0.65
17343,Miscellaneous Crimes Against Society,E01002795,Islington,23.3,35.8,0.65
17253,Miscellaneous Crimes Against Society,E01002696,Islington,26.6,40.9,0.65
19149,Miscellaneous Crimes Against Society,E01033735,Greenwich,49.1,75.6,0.65
19421,Miscellaneous Crimes Against Society,E01035670,Tower Hamlets,10.1,15.9,0.64
17289,Miscellaneous Crimes Against Society,E01002734,Islington,16.9,26.6,0.64
19462,Miscellaneous Crimes Against Society,E01035718,Westminster,21.2,33.0,0.64
15114,Miscellaneous Crimes Against Society,E01000221,Barnet,31.3,48.7,0.64
16426,Miscellaneous Crimes Against Society,E01001731,Hackney,15.2,23.6,0.64
16384,Miscellaneous Crimes Against Society,E01001677,Greenwich,19.5,30.3,0.64
15651,Miscellaneous Crimes Against Society,E01000850,Camden,29.6,46.0,0.64
15724,Miscellaneous Crimes Against Society,E01000930,Camden,19.3,30.3,0.64
19106,Miscellaneous Crimes Against Society,E01033491,Islington,22.3,34.8,0.64
17611,Miscellaneous Crimes Against Society,E01003102,Lambeth,23.9,37.2,0.64
15530,Miscellaneous Crimes Against Society,E01000714,Bromley,17.0,26.7,0.64
16503,Miscellaneous Crimes Against Society,E01001830,Hackney,24.9,39.0,0.64
19284,Miscellaneous Crimes Against Society,E01034198,Greenwich,19.4,30.6,0.63
19387,Miscellaneous Crimes Against Society,E01035493,Wandsworth,29.5,47.1,0.63
18035,Miscellaneous Crimes Against Society,E01003570,Newham,23.4,37.3,0.63
