,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
4621,Arson and Criminal Damage,E01033699,Hackney,190.0,137.4,1.38
2135,Arson and Criminal Damage,E01002248,Havering,63.0,45.8,1.38
2557,Arson and Criminal Damage,E01002696,Islington,122.4,88.8,1.38
1275,Arson and Criminal Damage,E01001333,Ealing,41.5,30.0,1.38
3972,Arson and Criminal Damage,E01004178,Sutton,92.9,68.0,1.37
4751,Arson and Criminal Damage,E01034149,Croydon,69.2,50.5,1.37
115,Arson and Criminal Damage,E01000129,Barnet,130.3,95.3,1.37
4180,Arson and Criminal Damage,E01004420,Waltham Forest,98.3,71.6,1.37
4368,Arson and Criminal Damage,E01004617,Wandsworth,64.7,47.1,1.37
685,Arson and Criminal Damage,E01000720,Bromley,74.1,53.9,1.37
4622,Arson and Criminal Damage,E01033700,Hackney,39.2,28.7,1.37
3333,Arson and Criminal Damage,E01003499,Newham,51.9,38.1,1.36
2593,Arson and Criminal Damage,E01002734,Islington,94.1,69.3,1.36
1960,Arson and Criminal Damage,E01002066,Haringey,39.5,29.0,1.36
1,Arson and Criminal Damage,E01000007,Barking and Dagenham,43.1,31.6,1.36
4487,Arson and Criminal Damage,E01004750,Westminster,132.5,97.6,1.36
2757,Arson and Criminal Damage,E01002906,Kensington and Chelsea,68.7,50.6,1.36
541,Arson and Criminal Damage,E01000568,Brent,60.3,44.4,1.36
910,Arson and Criminal Damage,E01000958,Camden,47.0,34.6,1.36
1559,Arson and Criminal Damage,E01001631,Greenwich,40.5,29.7,1.36
3995,Arson and Criminal Damage,E01004203,Tower Hamlets,54.3,39.9,1.36
1118,Arson and Criminal Damage,E01001172,Croydon,52.0,38.4,1.35
762,Arson and Criminal Damage,E01000799,Bromley,71.4,53.0,1.35
83,Arson and Criminal Damage,E01000095,Barking and Dagenham,52.9,39.3,1.35
4377,Arson and Criminal Damage,E01004626,Wandsworth,66.9,49.6,1.35
497,Arson and Criminal Damage,E01000521,Brent,44.0,32.5,1.35
2481,Arson and Criminal Damage,E01002612,Hounslow,52.8,39.2,1.35
3918,Arson and Criminal Damage,E01004123,Sutton,53.4,39.6,1.35
4969,Arson and Criminal Damage,E01035707,Camden,45.9,33.9,1.35
1279,Arson and Criminal Damage,E01001337,Ealing,49.0,36.2,1.35
1062,Arson and Criminal Damage,E01001115,Croydon,62.9,46.5,1.35
132,Arson and Criminal Damage,E01000146,Barnet,63.4,46.9,1.35
93,Arson and Criminal Damage,E01000105,Barking and Dagenham,48.7,36.2,1.35
627,Arson and Criminal Damage,E01000661,Bromley,41.8,30.9,1.35
344,Arson and Criminal Damage,E01000362,Bexley,120.2,89.0,1.35
1788,Arson and Criminal Damage,E01001890,Hammersmith and Fulham,68.5,50.9,1.35
317,Arson and Criminal Damage,E01000335,Bexley,35.4,26.4,1.34
2167,Arson and Criminal Damage,E01002282,Havering,62.8,47.0,1.34
4213,Arson and Criminal Damage,E01004455,Waltham Forest,109.2,81.6,1.34
3389,Arson and Criminal Damage,E01003558,Newham,52.1,38.8,1.34
3979,Arson and Criminal Damage,E01004185,Sutton,42.8,32.0,1.34
4893,Arson and Criminal Damage,E01035493,Wandsworth,166.4,123.9,1.34
2884,Arson and Criminal Damage,E01003035,Lambeth,63.5,47.3,1.34
2814,Arson and Criminal Damage,E01002964,Kingston upon Thames,73.6,55.0,1.34
4934,Arson and Criminal Damage,E01035672,Tower Hamlets,26.8,20.1,1.33
1353,Arson and Criminal Damage,E01001412,Enfield,53.3,40.2,1.33
599,Arson and Criminal Damage,E01000631,Brent,53.2,39.9,1.33
1124,Arson and Criminal Damage,E01001178,Croydon,80.8,60.8,1.33
3588,Arson and Criminal Damage,E01003770,Redbridge,73.4,55.1,1.33
2967,Arson and Criminal Damage,E01003120,Lambeth,97.0,72.8,1.33
4686,Arson and Criminal Damage,E01033913,Barnet,64.8,48.9,1.33
176,Arson and Criminal Damage,E01000193,Barnet,40.0,30.0,1.33
2431,Arson and Criminal Damage,E01002559,Hounslow,40.0,30.1,1.33
686,Arson and Criminal Damage,E01000721,Bromley,159.7,120.1,1.33
2069,Arson and Criminal Damage,E01002179,Harrow,76.0,57.0,1.33
3139,Arson and Criminal Damage,E01003299,Lewisham,51.9,39.2,1.32
4805,Arson and Criminal Damage,E01034220,Newham,103.0,78.2,1.32
3753,Arson and Criminal Damage,E01003939,Southwark,113.3,85.7,1.32
