,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
8824,Camden,E01000915,Miscellaneous Crimes Against Society,1496,26.3,45.0,0.58
4558,Bexley,E01033791,Miscellaneous Crimes Against Society,1386,23.3,44.8,0.52
9749,Croydon,E01001010,Miscellaneous Crimes Against Society,1715,20.9,44.7,0.47
36026,Newham,E01034205,Miscellaneous Crimes Against Society,1565,30.8,44.6,0.69
28616,Kensington and Chelsea,E01002884,Miscellaneous Crimes Against Society,1407,26.8,44.4,0.6
9399,Camden,E01035711,Miscellaneous Crimes Against Society,2400,35.3,44.4,0.8
13227,Ealing,E01001367,Miscellaneous Crimes Against Society,2700,15.9,44.3,0.36
25198,Hillingdon,E01034613,Miscellaneous Crimes Against Society,988,13.7,44.0,0.31
42635,Tower Hamlets,E01004322,Miscellaneous Crimes Against Society,1376,24.4,44.0,0.55
41810,Tower Hamlets,E01004208,Miscellaneous Crimes Against Society,1977,32.4,43.9,0.74
31355,Lambeth,E01003173,Miscellaneous Crimes Against Society,1655,12.1,43.9,0.28
18157,Hackney,E01033708,Miscellaneous Crimes Against Society,1883,35.9,43.8,0.82
30285,Lambeth,E01003061,Miscellaneous Crimes Against Society,1327,18.2,43.8,0.42
13737,Enfield,E01001412,Miscellaneous Crimes Against Society,1781,19.8,43.8,0.45
37764,Redbridge,E01033589,Miscellaneous Crimes Against Society,1930,29.0,43.6,0.67
9071,Camden,E01000942,Miscellaneous Crimes Against Society,997,18.9,43.6,0.43
10979,Croydon,E01001145,Miscellaneous Crimes Against Society,1803,16.6,43.4,0.38
1210,Barnet,E01000123,Miscellaneous Crimes Against Society,1757,8.7,43.3,0.2
39117,Southwark,E01003937,Miscellaneous Crimes Against Society,1503,24.7,43.3,0.57
28147,Kensington and Chelsea,E01002835,Miscellaneous Crimes Against Society,1404,22.2,43.3,0.51
24734,Hillingdon,E01002514,Miscellaneous Crimes Against Society,1965,28.7,43.2,0.66
16008,Greenwich,E01001655,Miscellaneous Crimes Against Society,1563,20.3,43.1,0.47
