,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
22666,Possession of Weapons,E01004695,Westminster,18.4,45.3,0.41
21398,Possession of Weapons,E01002856,Kensington and Chelsea,20.7,45.1,0.46
22808,Possession of Weapons,E01033589,Redbridge,30.5,44.9,0.68
21396,Possession of Weapons,E01002854,Kensington and Chelsea,18.1,44.8,0.4
20821,Possession of Weapons,E01002002,Haringey,26.0,44.4,0.59
22812,Possession of Weapons,E01033594,Westminster,25.3,44.3,0.57
22865,Possession of Weapons,E01033878,Southwark,16.3,44.3,0.37
19901,Possession of Weapons,E01000676,Bromley,38.8,44.1,0.88
20651,Possession of Weapons,E01001760,Hackney,28.7,44.1,0.65
22980,Possession of Weapons,E01034385,Bromley,18.4,43.8,0.42
20832,Possession of Weapons,E01002026,Haringey,26.4,43.3,0.61
21526,Possession of Weapons,E01003051,Lambeth,26.9,43.1,0.62
21469,Possession of Weapons,E01002968,Kingston upon Thames,46.1,42.8,1.08
21651,Possession of Weapons,E01003199,Lewisham,29.6,42.7,0.69
22788,Possession of Weapons,E01033327,Lewisham,34.4,42.6,0.81
20060,Possession of Weapons,E01000938,Camden,20.4,42.5,0.48
21269,Possession of Weapons,E01002695,Islington,26.2,42.3,0.62
22662,Possession of Weapons,E01004690,Westminster,12.4,42.3,0.29
20405,Possession of Weapons,E01001429,Enfield,36.9,42.2,0.87
21642,Possession of Weapons,E01003188,Lambeth,17.7,42.1,0.42
22709,Possession of Weapons,E01004748,Westminster,18.1,42.1,0.43
20837,Possession of Weapons,E01002031,Haringey,23.6,41.9,0.56
21921,Possession of Weapons,E01003570,Newham,23.4,41.7,0.56
21376,Possession of Weapons,E01002829,Kensington and Chelsea,12.9,41.7,0.31
21860,Possession of Weapons,E01003486,Newham,17.5,41.4,0.42
22907,Possession of Weapons,E01034030,Ealing,27.6,41.2,0.67
22132,Possession of Weapons,E01003921,Southwark,27.0,41.0,0.66
22556,Possession of Weapons,E01004525,Wandsworth,28.9,41.0,0.7
20757,Possession of Weapons,E01001898,Hammersmith and Fulham,34.7,41.0,0.85
22655,Possession of Weapons,E01004679,Westminster,15.0,40.9,0.37
22795,Possession of Weapons,E01033486,Islington,16.1,40.8,0.39
20715,Possession of Weapons,E01001846,Hackney,15.0,40.7,0.37
22743,Possession of Weapons,E01032639,Southwark,27.7,40.7,0.68
20133,Possession of Weapons,E01001042,Croydon,26.1,40.2,0.65
22695,Possession of Weapons,E01004731,Westminster,26.8,40.1,0.67
22237,Possession of Weapons,E01004067,Southwark,29.3,40.1,0.73
22361,Possession of Weapons,E01004259,Tower Hamlets,22.8,40.0,0.57
22331,Possession of Weapons,E01004211,Tower Hamlets,21.1,39.9,0.53
22575,Possession of Weapons,E01004551,Wandsworth,22.0,39.7,0.55
22491,Possession of Weapons,E01004436,Waltham Forest,14.0,39.5,0.35
20724,Possession of Weapons,E01001857,Hammersmith and Fulham,23.1,39.4,0.59
22896,Possession of Weapons,E01033938,Brent,16.6,39.2,0.42
22978,Possession of Weapons,E01034383,Bromley,14.3,38.7,0.37
21594,Possession of Weapons,E01003128,Lambeth,16.8,38.7,0.43
21638,Possession of Weapons,E01003184,Lambeth,16.6,38.7,0.43
20204,Possession of Weapons,E01001145,Croydon,18.9,38.7,0.49
22774,Possession of Weapons,E01033083,Hounslow,25.9,38.7,0.67
22930,Possession of Weapons,E01034149,Croydon,26.2,38.6,0.68
20835,Possession of Weapons,E01002029,Haringey,27.5,38.3,0.72
22837,Possession of Weapons,E01033737,Greenwich,23.3,38.1,0.61
21696,Possession of Weapons,E01003253,Lewisham,18.3,38.1,0.48
20403,Possession of Weapons,E01001427,Enfield,13.9,38.0,0.37
21540,Possession of Weapons,E01003066,Lambeth,21.2,37.9,0.56
22000,Possession of Weapons,E01003689,Redbridge,28.0,37.8,0.74
22403,Possession of Weapons,E01004322,Tower Hamlets,19.7,37.7,0.52
21501,Possession of Weapons,E01003016,Lambeth,12.1,37.7,0.32
21754,Possession of Weapons,E01003324,Lewisham,25.6,37.7,0.68
20432,Possession of Weapons,E01001465,Enfield,16.3,37.6,0.43
20234,Possession of Weapons,E01001178,Croydon,23.7,37.6,0.63
21736,Possession of Weapons,E01003303,Lewisham,22.6,37.6,0.6
19847,Possession of Weapons,E01000601,Brent,18.2,37.5,0.49
21510,Possession of Weapons,E01003032,Lambeth,18.6,37.3,0.5
20758,Possession of Weapons,E01001899,Hammersmith and Fulham,17.3,37.2,0.47
20006,Possession of Weapons,E01000861,Camden,17.1,37.2,0.46
23042,Possession of Weapons,E01035495,Wandsworth,15.0,37.1,0.4
21327,Possession of Weapons,E01002770,Islington,21.1,37.0,0.57
23050,Possession of Weapons,E01035641,Hackney,17.6,37.0,0.48
21521,Possession of Weapons,E01003046,Lambeth,16.8,36.9,0.46
20061,Possession of Weapons,E01000939,Camden,17.5,36.9,0.47
21523,Possession of Weapons,E01003048,Lambeth,21.3,36.8,0.58
22831,Possession of Weapons,E01033713,Hackney,15.2,36.7,0.41
20506,Possession of Weapons,E01001558,Enfield,24.3,36.5,0.67
22933,Possession of Weapons,E01034152,Croydon,19.1,36.5,0.52
21943,Possession of Weapons,E01003601,Newham,20.2,36.5,0.55
22958,Possession of Weapons,E01034205,Newham,18.8,36.5,0.52
20352,Possession of Weapons,E01001351,Ealing,24.2,36.3,0.67
22912,Possession of Weapons,E01034036,Hounslow,20.0,36.2,0.55
23014,Possession of Weapons,E01034598,Harrow,12.0,36.2,0.33
22924,Possession of Weapons,E01034142,Croydon,13.0,36.0,0.36
21570,Possession of Weapons,E01003099,Lambeth,18.2,36.0,0.51
21050,Possession of Weapons,E01002353,Havering,26.3,35.9,0.73
20113,Possession of Weapons,E01001011,Croydon,19.0,35.8,0.53
22889,Possession of Weapons,E01033931,Brent,14.2,35.8,0.4
23110,Possession of Weapons,E01035721,Westminster,23.4,35.8,0.65
22749,Possession of Weapons,E01032744,Ealing,15.4,35.7,0.43
20213,Possession of Weapons,E01001155,Croydon,21.7,35.6,0.61
20621,Possession of Weapons,E01001718,Hackney,18.3,35.6,0.51
22517,Possession of Weapons,E01004464,Waltham Forest,14.2,35.4,0.4
21646,Possession of Weapons,E01003193,Lewisham,18.2,35.4,0.51
19792,Possession of Weapons,E01000510,Brent,23.9,35.3,0.68
22663,Possession of Weapons,E01004691,Westminster,14.6,35.3,0.41
20416,Possession of Weapons,E01001441,Enfield,17.2,35.2,0.49
22854,Possession of Weapons,E01033863,Lambeth,13.7,35.2,0.39
21733,Possession of Weapons,E01003300,Lewisham,13.9,35.2,0.39
20472,Possession of Weapons,E01001513,Enfield,21.4,35.1,0.61
22642,Possession of Weapons,E01004658,Westminster,21.3,35.0,0.61
22679,Possession of Weapons,E01004714,Westminster,19.8,35.0,0.57
21520,Possession of Weapons,E01003045,Lambeth,19.2,35.0,0.55
22720,Possession of Weapons,E01004762,Westminster,20.5,34.9,0.59
23000,Possession of Weapons,E01034484,Redbridge,17.6,34.9,0.5
22139,Possession of Weapons,E01003932,Southwark,15.0,34.8,0.43
22830,Possession of Weapons,E01033712,Hackney,15.3,34.8,0.44
23071,Possession of Weapons,E01035669,Tower Hamlets,14.8,34.8,0.43
21525,Possession of Weapons,E01003050,Lambeth,16.1,34.6,0.47
22144,Possession of Weapons,E01003937,Southwark,18.0,34.5,0.52
22724,Possession of Weapons,E01032513,Westminster,7.3,34.5,0.21
20002,Possession of Weapons,E01000856,Camden,17.2,34.4,0.5
21572,Possession of Weapons,E01003101,Lambeth,16.5,34.3,0.48
19796,Possession of Weapons,E01000521,Brent,23.9,34.3,0.7
21369,Possession of Weapons,E01002818,Kensington and Chelsea,13.9,34.1,0.41
19562,Possession of Weapons,E01000129,Barnet,14.1,34.1,0.41
21298,Possession of Weapons,E01002730,Islington,15.0,34.0,0.44
21858,Possession of Weapons,E01003481,Newham,15.6,34.0,0.46
21912,Possession of Weapons,E01003558,Newham,16.9,33.9,0.5
20700,Possession of Weapons,E01001830,Hackney,19.0,33.9,0.56
21724,Possession of Weapons,E01003286,Lewisham,16.6,33.9,0.49
23039,Possession of Weapons,E01035491,Wandsworth,12.6,33.6,0.38
20881,Possession of Weapons,E01002081,Haringey,19.3,33.5,0.58
20738,Possession of Weapons,E01001877,Hammersmith and Fulham,11.4,33.4,0.34
22926,Possession of Weapons,E01034144,Croydon,12.7,33.4,0.38
20447,Possession of Weapons,E01001483,Enfield,10.4,33.4,0.31
20753,Possession of Weapons,E01001894,Hammersmith and Fulham,15.3,33.2,0.46
22722,Possession of Weapons,E01004765,Westminster,21.2,33.2,0.64
21631,Possession of Weapons,E01003176,Lambeth,22.1,33.1,0.67
22894,Possession of Weapons,E01033936,Brent,15.6,33.1,0.47
22270,Possession of Weapons,E01004128,Sutton,9.7,33.0,0.29
21385,Possession of Weapons,E01002840,Kensington and Chelsea,10.1,33.0,0.31
22165,Possession of Weapons,E01003972,Southwark,16.3,33.0,0.49
20868,Possession of Weapons,E01002067,Haringey,12.9,33.0,0.39
20359,Possession of Weapons,E01001361,Ealing,24.1,32.9,0.73
21294,Possession of Weapons,E01002725,Islington,8.3,32.9,0.25
23018,Possession of Weapons,E01034602,Hillingdon,15.2,32.9,0.46
22739,Possession of Weapons,E01032582,Lambeth,22.4,32.8,0.68
22856,Possession of Weapons,E01033866,Lambeth,11.1,32.8,0.34
22799,Possession of Weapons,E01033491,Islington,18.9,32.8,0.58
