,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
6628,Burglary,E01001733,Hackney,45.9,35.2,1.3
9962,Burglary,E01035714,Kensington and Chelsea,48.5,37.4,1.3
6912,Burglary,E01002034,Haringey,62.6,48.0,1.3
7224,Burglary,E01002356,Havering,62.5,48.1,1.3
9472,Burglary,E01004750,Westminster,75.4,57.9,1.3
6946,Burglary,E01002069,Haringey,54.7,42.1,1.3
8336,Burglary,E01003521,Newham,61.7,47.4,1.3
5231,Burglary,E01000264,Barnet,65.6,50.5,1.3
6479,Burglary,E01001559,Enfield,59.6,45.8,1.3
5191,Burglary,E01000223,Barnet,47.1,36.1,1.3
8045,Burglary,E01003215,Lewisham,67.1,51.6,1.3
9860,Burglary,E01034608,Hillingdon,46.4,35.9,1.29
5976,Burglary,E01001042,Croydon,64.4,50.1,1.29
7720,Burglary,E01002884,Kensington and Chelsea,78.2,60.5,1.29
6666,Burglary,E01001777,Hackney,55.5,43.3,1.28
7644,Burglary,E01002805,Islington,77.2,60.2,1.28
5845,Burglary,E01000904,Camden,53.7,41.9,1.28
5485,Burglary,E01000524,Brent,49.5,38.7,1.28
7659,Burglary,E01002821,Kensington and Chelsea,103.7,81.2,1.28
9175,Burglary,E01004430,Waltham Forest,44.9,35.1,1.28
6374,Burglary,E01001450,Enfield,41.5,32.3,1.28
9955,Burglary,E01035707,Camden,58.2,45.5,1.28
5813,Burglary,E01000872,Camden,72.7,56.6,1.28
5878,Burglary,E01000938,Camden,93.4,73.1,1.28
9419,Burglary,E01004693,Westminster,95.1,74.3,1.28
5802,Burglary,E01000859,Camden,74.8,58.4,1.28
7744,Burglary,E01002909,Kensington and Chelsea,41.4,32.3,1.28
7722,Burglary,E01002886,Kensington and Chelsea,90.0,70.7,1.27
9736,Burglary,E01034149,Croydon,47.1,37.1,1.27
7880,Burglary,E01003047,Lambeth,88.5,69.6,1.27
6909,Burglary,E01002031,Haringey,56.5,44.6,1.27
8789,Burglary,E01004004,Southwark,35.2,27.8,1.27
5595,Burglary,E01000643,Brent,40.2,31.6,1.27
8315,Burglary,E01003497,Newham,55.0,43.3,1.27
5368,Burglary,E01000403,Bexley,46.4,36.5,1.27
5290,Burglary,E01000323,Barnet,42.4,33.3,1.27
5471,Burglary,E01000510,Brent,58.0,45.7,1.27
6619,Burglary,E01001724,Hackney,29.3,23.3,1.26
6647,Burglary,E01001756,Hackney,63.0,50.1,1.26
7868,Burglary,E01003035,Lambeth,78.0,61.8,1.26
6424,Burglary,E01001501,Enfield,49.6,39.4,1.26
7663,Burglary,E01002826,Kensington and Chelsea,67.7,53.6,1.26
5162,Burglary,E01000194,Barnet,57.9,46.1,1.26
5277,Burglary,E01000310,Barnet,54.8,43.5,1.26
7253,Burglary,E01002386,Havering,46.2,36.7,1.26
