,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
33566,E01003689,Burglary,Redbridge,4460,71.9,0.0,4429.04
35275,E01003876,Burglary,Richmond upon Thames,3754,98.4,0.0,8127.84
42564,E01004713,Burglary,Westminster,2614,126.9,0.0,11154.51
42788,E01004736,Burglary,Westminster,3094,263.5,0.0,38866.25
43006,E01004763,Burglary,Westminster,4062,333.1,0.0,49198.87
44118,E01033594,Burglary,Westminster,3028,205.9,0.0,22319.56
42768,E01004734,Burglary,Westminster,3398,320.4,0.0,47419.2
42986,E01004761,Burglary,Westminster,2434,329.6,0.0,57844.8
42738,E01004731,Burglary,Westminster,3992,105.1,0.0,8029.64
45212,E01034030,Burglary,Ealing,3668,86.3,0.0,6446.61
45084,E01033938,Burglary,Brent,2554,133.8,0.0,13460.28
44315,E01033712,Burglary,Hackney,3078,88.5,0.0,6478.2
47674,E01035716,Burglary,Westminster,4402,550.0,0.0,130130.0
