,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
35323,Newham,E01003570,Possession of Weapons,1936,23.4,41.7,0.56
47725,Westminster,E01035721,Possession of Weapons,2336,23.4,35.8,0.65
16548,Greenwich,E01033737,Possession of Weapons,1893,23.3,38.1,0.61
18398,Hammersmith and Fulham,E01001857,Possession of Weapons,1551,23.1,39.4,0.59
42176,Tower Hamlets,E01004259,Possession of Weapons,1752,22.8,40.0,0.57
6138,Brent,E01033455,Possession of Weapons,1114,22.7,51.7,0.44
32632,Lewisham,E01003303,Possession of Weapons,1743,22.6,37.6,0.6
31515,Lambeth,E01032582,Possession of Weapons,2281,22.4,32.8,0.68
31387,Lambeth,E01003176,Possession of Weapons,1942,22.1,33.1,0.67
45518,Wandsworth,E01004551,Possession of Weapons,1551,22.0,39.7,0.55
41811,Tower Hamlets,E01004208,Possession of Weapons,1977,21.7,32.5,0.67
47647,Westminster,E01033604,Possession of Weapons,1192,21.7,53.5,0.41
11080,Croydon,E01001155,Possession of Weapons,1787,21.7,35.6,0.61
20447,Haringey,E01002069,Possession of Weapons,2092,21.4,31.6,0.68
14682,Enfield,E01001513,Possession of Weapons,1980,21.4,35.1,0.61
46648,Westminster,E01004658,Possession of Weapons,1548,21.3,35.0,0.61
30157,Lambeth,E01003048,Possession of Weapons,1881,21.3,36.8,0.58
47539,Westminster,E01004765,Possession of Weapons,1862,21.2,33.2,0.64
30335,Lambeth,E01003066,Possession of Weapons,1889,21.2,37.9,0.56
27400,Islington,E01002770,Possession of Weapons,1894,21.1,37.0,0.57
41831,Tower Hamlets,E01004211,Possession of Weapons,1615,21.1,39.9,0.53
28343,Kensington and Chelsea,E01002856,Possession of Weapons,1420,20.7,45.1,0.46
47519,Westminster,E01004762,Possession of Weapons,1579,20.5,34.9,0.59
9042,Camden,E01000938,Possession of Weapons,1383,20.4,42.5,0.48
29348,Kingston upon Thames,E01002964,Possession of Weapons,2510,20.4,28.8,0.71
35623,Newham,E01003601,Possession of Weapons,2212,20.2,36.5,0.55
28012,Kensington and Chelsea,E01002819,Possession of Weapons,1106,20.2,49.9,0.4
28304,Kensington and Chelsea,E01002852,Possession of Weapons,2244,20.2,49.2,0.41
8297,Camden,E01000858,Possession of Weapons,1992,20.1,30.1,0.67
35733,Newham,E01003619,Possession of Weapons,2473,20.0,26.1,0.77
26597,Hounslow,E01034036,Possession of Weapons,1820,20.0,36.2,0.55
33201,Lewisham,E01033341,Possession of Weapons,1270,19.9,47.7,0.42
42546,Tower Hamlets,E01004309,Possession of Weapons,2843,19.9,26.5,0.75
47097,Westminster,E01004714,Possession of Weapons,1667,19.8,35.0,0.57
42636,Tower Hamlets,E01004322,Possession of Weapons,1376,19.7,37.7,0.52
5058,Brent,E01000524,Possession of Weapons,2384,19.7,32.6,0.6
20557,Haringey,E01002081,Possession of Weapons,1977,19.3,33.5,0.58
30127,Lambeth,E01003045,Possession of Weapons,2020,19.2,35.0,0.55
30197,Lambeth,E01003052,Possession of Weapons,2216,19.1,28.1,0.68
11614,Croydon,E01034152,Possession of Weapons,1572,19.1,36.5,0.52
29887,Lambeth,E01003020,Possession of Weapons,1787,19.1,30.5,0.63
27648,Islington,E01002795,Possession of Weapons,1946,19.0,32.0,0.59
17880,Hackney,E01001830,Possession of Weapons,1917,19.0,33.9,0.56
9760,Croydon,E01001011,Possession of Weapons,2289,19.0,35.8,0.53
28557,Kensington and Chelsea,E01002878,Possession of Weapons,1453,19.0,46.2,0.41
37621,Redbridge,E01003783,Possession of Weapons,2549,18.9,29.0,0.65
27855,Islington,E01033491,Possession of Weapons,1925,18.9,32.8,0.58
10980,Croydon,E01001145,Possession of Weapons,1803,18.9,38.7,0.49
36027,Newham,E01034205,Possession of Weapons,1565,18.8,36.5,0.52
30001,Lambeth,E01003032,Possession of Weapons,1711,18.6,37.3,0.5
10893,Croydon,E01001136,Possession of Weapons,2057,18.6,32.2,0.58
46923,Westminster,E01004695,Possession of Weapons,1056,18.4,45.3,0.41
8142,Bromley,E01034385,Possession of Weapons,1439,18.4,43.8,0.42
16925,Hackney,E01001718,Possession of Weapons,1740,18.3,35.6,0.51
32172,Lewisham,E01003253,Possession of Weapons,1444,18.3,38.1,0.48
31621,Lewisham,E01003193,Possession of Weapons,1782,18.2,35.4,0.51
30655,Lambeth,E01003099,Possession of Weapons,1683,18.2,36.0,0.51
5727,Brent,E01000601,Possession of Weapons,1392,18.2,37.5,0.49
28323,Kensington and Chelsea,E01002854,Possession of Weapons,1102,18.1,44.8,0.4
47401,Westminster,E01004748,Possession of Weapons,1234,18.1,42.1,0.43
39118,Southwark,E01003937,Possession of Weapons,1503,18.0,34.5,0.52
6009,Brent,E01000631,Possession of Weapons,2066,17.9,30.6,0.58
20586,Haringey,E01002084,Possession of Weapons,1765,17.7,31.0,0.57
44578,Waltham Forest,E01004455,Possession of Weapons,1799,17.7,32.2,0.55
31505,Lambeth,E01003188,Possession of Weapons,1294,17.7,42.1,0.42
21063,Harrow,E01002129,Possession of Weapons,2691,17.7,27.2,0.65
37842,Redbridge,E01034484,Possession of Weapons,1701,17.6,34.9,0.5
18245,Hackney,E01035641,Possession of Weapons,1403,17.6,37.0,0.48
24784,Hillingdon,E01002521,Possession of Weapons,2055,17.5,29.3,0.6
9052,Camden,E01000939,Possession of Weapons,1446,17.5,36.9,0.47
34541,Newham,E01003486,Possession of Weapons,1210,17.5,41.4,0.42
18798,Hammersmith and Fulham,E01001899,Possession of Weapons,1636,17.3,37.2,0.47
39001,Southwark,E01003922,Possession of Weapons,2248,17.3,29.1,0.59
8278,Camden,E01000856,Possession of Weapons,1575,17.2,34.4,0.5
24667,Hillingdon,E01002506,Possession of Weapons,2054,17.2,29.7,0.58
14021,Enfield,E01001441,Possession of Weapons,1644,17.2,35.2,0.49
34845,Newham,E01003521,Possession of Weapons,2187,17.2,29.0,0.59
7716,Bromley,E01000799,Possession of Weapons,1813,17.2,31.9,0.54
24657,Hillingdon,E01002505,Possession of Weapons,1775,17.2,31.3,0.55
39357,Southwark,E01003969,Possession of Weapons,2388,17.2,30.1,0.57
8327,Camden,E01000861,Possession of Weapons,1380,17.1,37.2,0.46
26802,Islington,E01002704,Possession of Weapons,2341,17.1,32.0,0.53
3529,Bexley,E01000360,Possession of Weapons,1902,17.0,31.6,0.54
10726,Croydon,E01001118,Possession of Weapons,2149,17.0,30.2,0.56
27080,Islington,E01002734,Possession of Weapons,2363,16.9,30.7,0.55
35206,Newham,E01003558,Possession of Weapons,1710,16.9,33.9,0.5
28607,Kensington and Chelsea,E01002883,Possession of Weapons,1494,16.9,51.0,0.33
30137,Lambeth,E01003046,Possession of Weapons,1609,16.8,36.9,0.46
30920,Lambeth,E01003128,Possession of Weapons,1608,16.8,38.7,0.43
1374,Barnet,E01000141,Possession of Weapons,1861,16.8,28.8,0.58
30569,Lambeth,E01003090,Possession of Weapons,2366,16.7,26.9,0.62
29868,Lambeth,E01003018,Possession of Weapons,2006,16.7,31.1,0.54
6278,Brent,E01033938,Possession of Weapons,1277,16.6,39.2,0.42
32494,Lewisham,E01003286,Possession of Weapons,1740,16.6,33.9,0.49
31466,Lambeth,E01003184,Possession of Weapons,1415,16.6,38.7,0.43
30675,Lambeth,E01003101,Possession of Weapons,1428,16.5,34.3,0.48
35157,Newham,E01003553,Possession of Weapons,2014,16.4,31.9,0.51
20527,Haringey,E01002077,Possession of Weapons,2262,16.4,28.8,0.57
15274,Enfield,E01033927,Possession of Weapons,1647,16.4,29.4,0.56
39377,Southwark,E01003972,Possession of Weapons,1446,16.3,33.0,0.49
40485,Southwark,E01033878,Possession of Weapons,1080,16.3,44.3,0.37
35722,Newham,E01003618,Possession of Weapons,2236,16.3,29.1,0.56
14241,Enfield,E01001465,Possession of Weapons,1591,16.3,37.6,0.43
39138,Southwark,E01003939,Possession of Weapons,1962,16.2,30.1,0.54
30177,Lambeth,E01003050,Possession of Weapons,1573,16.1,34.6,0.47
27808,Islington,E01033486,Possession of Weapons,1023,16.1,40.8,0.39
47301,Westminster,E01004735,Possession of Weapons,2044,16.1,29.0,0.56
31485,Lambeth,E01003186,Possession of Weapons,2457,16.0,26.3,0.61
16343,Greenwich,E01001696,Possession of Weapons,2569,16.0,26.0,0.62
19529,Haringey,E01001971,Possession of Weapons,1882,15.9,29.4,0.54
20146,Haringey,E01002038,Possession of Weapons,1826,15.8,29.5,0.54
19608,Haringey,E01001979,Possession of Weapons,2265,15.8,27.0,0.59
