,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
8268,E01000919,Camden,Arson and Criminal Damage,2918,121.4,8024.54,0.102,9.803921568627452
18330,E01002026,Haringey,Arson and Criminal Damage,3560,103.4,7124.26,0.102,9.803921568627452
12163,E01001340,Ealing,Arson and Criminal Damage,3126,84.1,5592.65,0.103,9.708737864077671
42757,E01004733,Westminster,Arson and Criminal Damage,4232,83.0,5660.6,0.104,9.615384615384615
8217,E01000914,Camden,Arson and Criminal Damage,2804,124.8,8536.32,0.105,9.523809523809524
45804,E01034200,Newham,Arson and Criminal Damage,3146,112.6,8129.72,0.111,9.00900900900901
12270,E01001351,Ealing,Arson and Criminal Damage,3986,113.6,8542.72,0.112,8.928571428571429
5398,E01000601,Brent,Arson and Criminal Damage,2784,107.8,8106.56,0.114,8.771929824561402
14211,E01001558,Enfield,Arson and Criminal Damage,2006,122.9,9364.98,0.118,8.474576271186441
6929,E01000769,Bromley,Arson and Criminal Damage,2760,118.5,9385.2,0.121,8.264462809917356
45437,E01034145,Croydon,Arson and Criminal Damage,2660,126.1,10075.39,0.123,8.130081300813009
45083,E01033938,Brent,Arson and Criminal Damage,2554,128.5,10434.2,0.126,7.936507936507937
43005,E01004763,Westminster,Arson and Criminal Damage,4062,201.3,16566.99,0.127,7.874015748031496
7749,E01000863,Camden,Arson and Criminal Damage,2958,151.3,12860.5,0.131,7.633587786259541
9122,E01001013,Croydon,Arson and Criminal Damage,2185,154.5,13518.75,0.135,7.4074074074074066
46140,E01034386,Bromley,Arson and Criminal Damage,2448,126.9,11509.83,0.138,7.246376811594202
36895,E01004067,Southwark,Arson and Criminal Damage,2212,154.2,14155.56,0.141,7.092198581560284
44068,E01033589,Redbridge,Arson and Criminal Damage,1930,161.2,15571.92,0.148,6.756756756756757
45544,E01034156,Sutton,Arson and Criminal Damage,2706,179.3,17338.31,0.15,6.666666666666667
27612,E01003047,Lambeth,Arson and Criminal Damage,3596,199.4,19481.38,0.151,6.622516556291391
45485,E01034150,Croydon,Arson and Criminal Damage,2624,196.8,20034.24,0.155,6.451612903225807
42985,E01004761,Westminster,Arson and Criminal Damage,2434,194.5,20519.75,0.163,6.134969325153374
18380,E01002031,Haringey,Arson and Criminal Damage,1873,159.5,18167.05,0.164,6.097560975609756
35746,E01003929,Southwark,Arson and Criminal Damage,1981,131.2,14418.88,0.17,5.88235294117647
47673,E01035716,Westminster,Arson and Criminal Damage,4402,277.0,31439.5,0.173,5.780346820809249
24361,E01002695,Islington,Arson and Criminal Damage,1483,179.3,20476.06,0.176,5.6818181818181825
43015,E01004765,Westminster,Arson and Criminal Damage,1862,196.2,23131.98,0.183,5.46448087431694
6488,E01000721,Bromley,Arson and Criminal Damage,1602,159.7,19339.67,0.188,5.319148936170213
46858,E01035493,Wandsworth,Arson and Criminal Damage,1654,166.4,20783.36,0.194,5.154639175257731
42767,E01004734,Westminster,Arson and Criminal Damage,3398,405.6,52890.24,0.203,4.926108374384236
44117,E01033594,Westminster,Arson and Criminal Damage,1514,206.7,27573.78,0.204,4.901960784313726
47060,E01035652,Islington,Arson and Criminal Damage,1271,195.8,26276.36,0.207,4.830917874396135
44275,E01033708,Hackney,Arson and Criminal Damage,1883,267.7,36942.6,0.211,4.739336492890995
44205,E01033699,Hackney,Arson and Criminal Damage,1409,190.0,26296.0,0.215,4.651162790697675
45211,E01034030,Ealing,Arson and Criminal Damage,1834,227.7,32515.56,0.222,4.504504504504505
42787,E01004736,Westminster,Arson and Criminal Damage,3094,290.7,48837.6,0.261,3.8314176245210727
46275,E01034473,Barking and Dagenham,Arson and Criminal Damage,1294,269.1,45020.43,0.261,3.8314176245210727
