,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
16176,Miscellaneous Crimes Against Society,E01001429,Enfield,35.4,51.9,0.68
19053,Miscellaneous Crimes Against Society,E01032771,Tower Hamlets,40.1,51.5,0.78
19124,Miscellaneous Crimes Against Society,E01033594,Westminster,34.6,51.4,0.67
18821,Miscellaneous Crimes Against Society,E01004525,Wandsworth,35.9,51.3,0.7
19420,Miscellaneous Crimes Against Society,E01035669,Tower Hamlets,29.3,51.3,0.57
19247,Miscellaneous Crimes Against Society,E01034143,Croydon,35.4,51.2,0.69
16485,Miscellaneous Crimes Against Society,E01001808,Hackney,20.6,50.8,0.41
16567,Miscellaneous Crimes Against Society,E01001900,Hammersmith and Fulham,23.4,50.8,0.46
17932,Miscellaneous Crimes Against Society,E01003456,Merton,28.9,50.6,0.57
16682,Miscellaneous Crimes Against Society,E01002034,Haringey,29.0,50.4,0.58
19275,Miscellaneous Crimes Against Society,E01034188,Greenwich,31.1,50.3,0.62
17421,Miscellaneous Crimes Against Society,E01002883,Kensington and Chelsea,26.8,50.1,0.53
18563,Miscellaneous Crimes Against Society,E01004211,Tower Hamlets,28.0,50.0,0.56
16679,Miscellaneous Crimes Against Society,E01002031,Haringey,28.3,50.0,0.57
16566,Miscellaneous Crimes Against Society,E01001899,Hammersmith and Fulham,39.6,49.5,0.8
15712,Miscellaneous Crimes Against Society,E01000918,Camden,33.6,49.1,0.68
16565,Miscellaneous Crimes Against Society,E01001898,Hammersmith and Fulham,44.0,48.9,0.9
15114,Miscellaneous Crimes Against Society,E01000221,Barnet,31.3,48.7,0.64
18933,Miscellaneous Crimes Against Society,E01004658,Westminster,39.9,48.7,0.82
19181,Miscellaneous Crimes Against Society,E01033878,Southwark,16.3,48.7,0.33
16674,Miscellaneous Crimes Against Society,E01002026,Haringey,39.0,48.5,0.8
18597,Miscellaneous Crimes Against Society,E01004259,Tower Hamlets,35.9,48.4,0.74
19195,Miscellaneous Crimes Against Society,E01033917,Barnet,27.7,48.3,0.57
16592,Miscellaneous Crimes Against Society,E01001932,Hammersmith and Fulham,29.4,48.3,0.61
15186,Miscellaneous Crimes Against Society,E01000307,Barnet,33.3,48.2,0.69
17530,Miscellaneous Crimes Against Society,E01003013,Lambeth,37.4,48.1,0.78
18845,Miscellaneous Crimes Against Society,E01004551,Wandsworth,36.4,48.0,0.76
19317,Miscellaneous Crimes Against Society,E01034385,Bromley,23.7,47.9,0.49
19219,Miscellaneous Crimes Against Society,E01033942,Brent,22.4,47.9,0.47
19360,Miscellaneous Crimes Against Society,E01034598,Harrow,18.7,47.8,0.39
15501,Miscellaneous Crimes Against Society,E01000676,Bromley,40.5,47.6,0.85
18139,Miscellaneous Crimes Against Society,E01003689,Redbridge,37.2,47.1,0.79
19387,Miscellaneous Crimes Against Society,E01035493,Wandsworth,29.5,47.1,0.63
17437,Miscellaneous Crimes Against Society,E01002902,Kensington and Chelsea,25.7,47.0,0.55
18440,Miscellaneous Crimes Against Society,E01004062,Southwark,21.6,46.9,0.46
17367,Miscellaneous Crimes Against Society,E01002821,Kensington and Chelsea,26.5,46.9,0.57
18023,Miscellaneous Crimes Against Society,E01003558,Newham,23.4,46.9,0.5
19012,Miscellaneous Crimes Against Society,E01004762,Westminster,34.3,46.8,0.73
16482,Miscellaneous Crimes Against Society,E01001803,Hackney,12.1,46.7,0.26
16289,Miscellaneous Crimes Against Society,E01001558,Enfield,30.5,46.7,0.65
