,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
32760,Lewisham,E01003318,Possession of Weapons,2076,44.2,53.8,0.82
47647,Westminster,E01033604,Possession of Weapons,1192,21.7,53.5,0.41
28597,Kensington and Chelsea,E01002882,Possession of Weapons,1068,12.1,52.5,0.23
34407,Merton,E01003474,Possession of Weapons,1343,9.6,52.2,0.18
18158,Hackney,E01033708,Possession of Weapons,1883,34.7,52.1,0.67
6138,Brent,E01033455,Possession of Weapons,1114,22.7,51.7,0.44
31535,Lambeth,E01033862,Possession of Weapons,1422,29.0,51.1,0.57
33277,Lewisham,E01034394,Possession of Weapons,1248,27.8,51.0,0.55
28607,Kensington and Chelsea,E01002883,Possession of Weapons,1494,16.9,51.0,0.33
19195,Hammersmith and Fulham,E01001943,Possession of Weapons,2225,50.8,50.7,1.0
30286,Lambeth,E01003061,Possession of Weapons,1327,29.7,50.1,0.59
39688,Southwark,E01004010,Possession of Weapons,1491,34.7,50.1,0.69
28012,Kensington and Chelsea,E01002819,Possession of Weapons,1106,20.2,49.9,0.4
19175,Hammersmith and Fulham,E01001941,Possession of Weapons,1546,33.5,49.9,0.67
16793,Greenwich,E01034188,Possession of Weapons,1418,30.7,49.7,0.62
30685,Lambeth,E01003102,Possession of Weapons,1771,25.6,49.5,0.52
15062,Enfield,E01001554,Possession of Weapons,1778,24.2,49.3,0.49
28304,Kensington and Chelsea,E01002852,Possession of Weapons,2244,20.2,49.2,0.41
32533,Lewisham,E01003291,Possession of Weapons,1535,26.8,47.9,0.56
30031,Lambeth,E01003035,Possession of Weapons,1671,26.0,47.8,0.54
33201,Lewisham,E01033341,Possession of Weapons,1270,19.9,47.7,0.42
28517,Kensington and Chelsea,E01002874,Possession of Weapons,1088,11.9,47.5,0.25
47421,Westminster,E01004750,Possession of Weapons,1634,33.5,47.1,0.71
9112,Camden,E01000947,Possession of Weapons,1656,25.6,46.8,0.55
8866,Camden,E01000919,Possession of Weapons,1459,30.6,46.6,0.66
28557,Kensington and Chelsea,E01002878,Possession of Weapons,1453,19.0,46.2,0.41
28617,Kensington and Chelsea,E01002884,Possession of Weapons,1407,15.1,45.9,0.33
8815,Camden,E01000914,Possession of Weapons,1402,26.0,45.7,0.57
9780,Croydon,E01001013,Possession of Weapons,2185,35.3,45.4,0.78
46923,Westminster,E01004695,Possession of Weapons,1056,18.4,45.3,0.41
28343,Kensington and Chelsea,E01002856,Possession of Weapons,1420,20.7,45.1,0.46
37765,Redbridge,E01033589,Possession of Weapons,1930,30.5,44.9,0.68
28323,Kensington and Chelsea,E01002854,Possession of Weapons,1102,18.1,44.8,0.4
19821,Haringey,E01002002,Possession of Weapons,1677,26.0,44.4,0.59
47579,Westminster,E01033594,Possession of Weapons,1514,25.3,44.3,0.57
40485,Southwark,E01033878,Possession of Weapons,1080,16.3,44.3,0.37
17288,Hackney,E01001760,Possession of Weapons,1925,28.7,44.1,0.65
6595,Bromley,E01000676,Possession of Weapons,2046,38.8,44.1,0.88
8142,Bromley,E01034385,Possession of Weapons,1439,18.4,43.8,0.42
20036,Haringey,E01002026,Possession of Weapons,1780,26.4,43.3,0.61
30187,Lambeth,E01003051,Possession of Weapons,2079,26.9,43.1,0.62
29388,Kingston upon Thames,E01002968,Possession of Weapons,2937,46.1,42.8,1.08
31680,Lewisham,E01003199,Possession of Weapons,1966,29.6,42.7,0.69
33191,Lewisham,E01033327,Possession of Weapons,2169,34.4,42.6,0.81
9042,Camden,E01000938,Possession of Weapons,1383,20.4,42.5,0.48
26714,Islington,E01002695,Possession of Weapons,1483,26.2,42.3,0.62
46874,Westminster,E01004690,Possession of Weapons,1046,12.4,42.3,0.29
13902,Enfield,E01001429,Possession of Weapons,2294,36.9,42.2,0.87
47401,Westminster,E01004748,Possession of Weapons,1234,18.1,42.1,0.43
31505,Lambeth,E01003188,Possession of Weapons,1294,17.7,42.1,0.42
20086,Haringey,E01002031,Possession of Weapons,1873,23.6,41.9,0.56
28089,Kensington and Chelsea,E01002829,Possession of Weapons,1365,12.9,41.7,0.31
35323,Newham,E01003570,Possession of Weapons,1936,23.4,41.7,0.56
34541,Newham,E01003486,Possession of Weapons,1210,17.5,41.4,0.42
13505,Ealing,E01034030,Possession of Weapons,1834,27.6,41.2,0.67
38991,Southwark,E01003921,Possession of Weapons,1897,27.0,41.0,0.66
18788,Hammersmith and Fulham,E01001898,Possession of Weapons,2100,34.7,41.0,0.85
45267,Wandsworth,E01004525,Possession of Weapons,1933,28.9,41.0,0.7
46796,Westminster,E01004679,Possession of Weapons,1966,15.0,40.9,0.37
27808,Islington,E01033486,Possession of Weapons,1023,16.1,40.8,0.39
18037,Hackney,E01001846,Possession of Weapons,1253,15.0,40.7,0.37
40322,Southwark,E01032639,Possession of Weapons,1910,27.7,40.7,0.68
10041,Croydon,E01001042,Possession of Weapons,2161,26.1,40.2,0.65
40199,Southwark,E01004067,Possession of Weapons,2212,29.3,40.1,0.73
47261,Westminster,E01004731,Possession of Weapons,1996,26.8,40.1,0.67
42176,Tower Hamlets,E01004259,Possession of Weapons,1752,22.8,40.0,0.57
41831,Tower Hamlets,E01004211,Possession of Weapons,1615,21.1,39.9,0.53
45518,Wandsworth,E01004551,Possession of Weapons,1551,22.0,39.7,0.55
44392,Waltham Forest,E01004436,Possession of Weapons,1514,14.0,39.5,0.35
18398,Hammersmith and Fulham,E01001857,Possession of Weapons,1551,23.1,39.4,0.59
6278,Brent,E01033938,Possession of Weapons,1277,16.6,39.2,0.42
10980,Croydon,E01001145,Possession of Weapons,1803,18.9,38.7,0.49
8122,Bromley,E01034383,Possession of Weapons,1277,14.3,38.7,0.37
31466,Lambeth,E01003184,Possession of Weapons,1415,16.6,38.7,0.43
26537,Hounslow,E01033083,Possession of Weapons,2178,25.9,38.7,0.67
30920,Lambeth,E01003128,Possession of Weapons,1608,16.8,38.7,0.43
11584,Croydon,E01034149,Possession of Weapons,2111,26.2,38.6,0.68
20066,Haringey,E01002029,Possession of Weapons,2138,27.5,38.3,0.72
16548,Greenwich,E01033737,Possession of Weapons,1893,23.3,38.1,0.61
32172,Lewisham,E01003253,Possession of Weapons,1444,18.3,38.1,0.48
13882,Enfield,E01001427,Possession of Weapons,1730,13.9,38.0,0.37
30335,Lambeth,E01003066,Possession of Weapons,1889,21.2,37.9,0.56
36753,Redbridge,E01003689,Possession of Weapons,2230,28.0,37.8,0.74
42636,Tower Hamlets,E01004322,Possession of Weapons,1376,19.7,37.7,0.52
29848,Lambeth,E01003016,Possession of Weapons,1214,12.1,37.7,0.32
32821,Lewisham,E01003324,Possession of Weapons,1653,25.6,37.7,0.68
32632,Lewisham,E01003303,Possession of Weapons,1743,22.6,37.6,0.6
14241,Enfield,E01001465,Possession of Weapons,1591,16.3,37.6,0.43
11309,Croydon,E01001178,Possession of Weapons,1613,23.7,37.6,0.63
5727,Brent,E01000601,Possession of Weapons,1392,18.2,37.5,0.49
30001,Lambeth,E01003032,Possession of Weapons,1711,18.6,37.3,0.5
18798,Hammersmith and Fulham,E01001899,Possession of Weapons,1636,17.3,37.2,0.47
8327,Camden,E01000861,Possession of Weapons,1380,17.1,37.2,0.46
46493,Wandsworth,E01035495,Possession of Weapons,1332,15.0,37.1,0.4
18245,Hackney,E01035641,Possession of Weapons,1403,17.6,37.0,0.48
27400,Islington,E01002770,Possession of Weapons,1894,21.1,37.0,0.57
9052,Camden,E01000939,Possession of Weapons,1446,17.5,36.9,0.47
30137,Lambeth,E01003046,Possession of Weapons,1609,16.8,36.9,0.46
30157,Lambeth,E01003048,Possession of Weapons,1881,21.3,36.8,0.58
18207,Hackney,E01033713,Possession of Weapons,1313,15.2,36.7,0.41
36027,Newham,E01034205,Possession of Weapons,1565,18.8,36.5,0.52
35623,Newham,E01003601,Possession of Weapons,2212,20.2,36.5,0.55
15102,Enfield,E01001558,Possession of Weapons,2006,24.3,36.5,0.67
11614,Croydon,E01034152,Possession of Weapons,1572,19.1,36.5,0.52
13074,Ealing,E01001351,Possession of Weapons,1993,24.2,36.3,0.67
22178,Harrow,E01034598,Possession of Weapons,1227,12.0,36.2,0.33
26597,Hounslow,E01034036,Possession of Weapons,1820,20.0,36.2,0.55
30655,Lambeth,E01003099,Possession of Weapons,1683,18.2,36.0,0.51
11516,Croydon,E01034142,Possession of Weapons,1449,13.0,36.0,0.36
23228,Havering,E01002353,Possession of Weapons,2060,26.3,35.9,0.73
47725,Westminster,E01035721,Possession of Weapons,2336,23.4,35.8,0.65
9760,Croydon,E01001011,Possession of Weapons,2289,19.0,35.8,0.53
6208,Brent,E01033931,Possession of Weapons,1369,14.2,35.8,0.4
13454,Ealing,E01032744,Possession of Weapons,1606,15.4,35.7,0.43
11080,Croydon,E01001155,Possession of Weapons,1787,21.7,35.6,0.61
16925,Hackney,E01001718,Possession of Weapons,1740,18.3,35.6,0.51
44658,Waltham Forest,E01004464,Possession of Weapons,1734,14.2,35.4,0.4
31621,Lewisham,E01003193,Possession of Weapons,1782,18.2,35.4,0.51
4926,Brent,E01000510,Possession of Weapons,1700,23.9,35.3,0.68
46884,Westminster,E01004691,Possession of Weapons,1207,14.6,35.3,0.41
31544,Lambeth,E01033863,Possession of Weapons,1335,13.7,35.2,0.39
32602,Lewisham,E01003300,Possession of Weapons,1477,13.9,35.2,0.39
14021,Enfield,E01001441,Possession of Weapons,1644,17.2,35.2,0.49
14682,Enfield,E01001513,Possession of Weapons,1980,21.4,35.1,0.61
47097,Westminster,E01004714,Possession of Weapons,1667,19.8,35.0,0.57
30127,Lambeth,E01003045,Possession of Weapons,2020,19.2,35.0,0.55
