,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
13504,Ealing,E01034030,Miscellaneous Crimes Against Society,1834,51.3,58.9,0.87
33190,Lewisham,E01033327,Miscellaneous Crimes Against Society,2169,35.8,41.3,0.87
47300,Westminster,E01004735,Miscellaneous Crimes Against Society,2044,45.8,53.5,0.86
35977,Newham,E01034200,Miscellaneous Crimes Against Society,1573,59.5,69.2,0.86
26626,Hounslow,E01034039,Miscellaneous Crimes Against Society,1719,202.2,237.1,0.85
6594,Bromley,E01000676,Miscellaneous Crimes Against Society,2046,40.5,47.6,0.85
13170,Ealing,E01001361,Miscellaneous Crimes Against Society,2271,33.7,40.2,0.84
11545,Croydon,E01034145,Miscellaneous Crimes Against Society,1330,58.8,70.1,0.84
26870,Islington,E01002712,Miscellaneous Crimes Against Society,1370,223.7,265.9,0.84
40544,Southwark,E01033884,Miscellaneous Crimes Against Society,1083,66.8,80.4,0.83
41700,Sutton,E01034156,Miscellaneous Crimes Against Society,1353,61.3,74.1,0.83
11583,Croydon,E01034149,Miscellaneous Crimes Against Society,2111,35.4,42.8,0.83
11593,Croydon,E01034150,Miscellaneous Crimes Against Society,1312,67.3,81.6,0.82
47538,Westminster,E01004765,Miscellaneous Crimes Against Society,1862,48.7,59.1,0.82
27893,Islington,E01035652,Miscellaneous Crimes Against Society,1271,51.4,62.5,0.82
18157,Hackney,E01033708,Miscellaneous Crimes Against Society,1883,35.9,43.8,0.82
46647,Westminster,E01004658,Miscellaneous Crimes Against Society,1548,39.9,48.7,0.82
12995,Ealing,E01001343,Miscellaneous Crimes Against Society,1431,67.8,82.7,0.82
8865,Camden,E01000919,Miscellaneous Crimes Against Society,1459,43.9,54.1,0.81
38558,Richmond upon Thames,E01003876,Miscellaneous Crimes Against Society,1877,44.8,55.1,0.81
19174,Hammersmith and Fulham,E01001941,Miscellaneous Crimes Against Society,1546,54.4,67.3,0.81
23256,Havering,E01002356,Miscellaneous Crimes Against Society,2107,32.7,40.4,0.81
1065,Barking and Dagenham,E01034473,Miscellaneous Crimes Against Society,1294,50.9,63.0,0.81
28001,Kensington and Chelsea,E01002818,Miscellaneous Crimes Against Society,1401,50.8,63.8,0.8
44029,Waltham Forest,E01004397,Miscellaneous Crimes Against Society,2896,26.6,33.4,0.8
18797,Hammersmith and Fulham,E01001899,Miscellaneous Crimes Against Society,1636,39.6,49.5,0.8
20035,Haringey,E01002026,Miscellaneous Crimes Against Society,1780,39.0,48.5,0.8
9399,Camden,E01035711,Miscellaneous Crimes Against Society,2400,35.3,44.4,0.8
36752,Redbridge,E01003689,Miscellaneous Crimes Against Society,2230,37.2,47.1,0.79
25625,Hounslow,E01002596,Miscellaneous Crimes Against Society,2128,61.1,77.0,0.79
25555,Hounslow,E01002589,Miscellaneous Crimes Against Society,2506,71.4,90.0,0.79
32759,Lewisham,E01003318,Miscellaneous Crimes Against Society,2076,35.4,45.5,0.78
29818,Lambeth,E01003013,Miscellaneous Crimes Against Society,1934,37.4,48.1,0.78
46143,Wandsworth,E01004622,Miscellaneous Crimes Against Society,1860,71.2,91.1,0.78
42735,Tower Hamlets,E01032771,Miscellaneous Crimes Against Society,1540,40.1,51.5,0.78
3548,Bexley,E01000362,Miscellaneous Crimes Against Society,1904,28.4,37.1,0.77
45517,Wandsworth,E01004551,Miscellaneous Crimes Against Society,1551,36.4,48.0,0.76
23227,Havering,E01002353,Miscellaneous Crimes Against Society,2060,30.6,40.2,0.76
24783,Hillingdon,E01002521,Miscellaneous Crimes Against Society,2055,34.3,45.4,0.76
