,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
3641,Bexley,E01000372,Miscellaneous Crimes Against Society,1705,48.6,301.3,0.16
1392,Barnet,E01000143,Miscellaneous Crimes Against Society,1675,47.8,310.9,0.15
47300,Westminster,E01004735,Miscellaneous Crimes Against Society,2044,45.8,53.5,0.86
38558,Richmond upon Thames,E01003876,Miscellaneous Crimes Against Society,1877,44.8,55.1,0.81
18787,Hammersmith and Fulham,E01001898,Miscellaneous Crimes Against Society,2100,44.0,48.9,0.9
8865,Camden,E01000919,Miscellaneous Crimes Against Society,1459,43.9,54.1,0.81
8267,Camden,E01000855,Miscellaneous Crimes Against Society,1327,41.2,57.4,0.72
23580,Havering,E01032741,Miscellaneous Crimes Against Society,1484,41.2,70.0,0.59
6594,Bromley,E01000676,Miscellaneous Crimes Against Society,2046,40.5,47.6,0.85
6277,Brent,E01033938,Miscellaneous Crimes Against Society,1277,40.5,57.9,0.7
42735,Tower Hamlets,E01032771,Miscellaneous Crimes Against Society,1540,40.1,51.5,0.78
46647,Westminster,E01004658,Miscellaneous Crimes Against Society,1548,39.9,48.7,0.82
18797,Hammersmith and Fulham,E01001899,Miscellaneous Crimes Against Society,1636,39.6,49.5,0.8
31679,Lewisham,E01003199,Miscellaneous Crimes Against Society,1966,39.5,107.0,0.37
20035,Haringey,E01002026,Miscellaneous Crimes Against Society,1780,39.0,48.5,0.8
26713,Islington,E01002695,Miscellaneous Crimes Against Society,1483,38.9,55.7,0.7
18087,Hackney,E01033699,Miscellaneous Crimes Against Society,1409,38.8,57.8,0.67
29818,Lambeth,E01003013,Miscellaneous Crimes Against Society,1934,37.4,48.1,0.78
36752,Redbridge,E01003689,Miscellaneous Crimes Against Society,2230,37.2,47.1,0.79
45517,Wandsworth,E01004551,Miscellaneous Crimes Against Society,1551,36.4,48.0,0.76
18157,Hackney,E01033708,Miscellaneous Crimes Against Society,1883,35.9,43.8,0.82
42175,Tower Hamlets,E01004259,Miscellaneous Crimes Against Society,1752,35.9,48.4,0.74
45266,Wandsworth,E01004525,Miscellaneous Crimes Against Society,1933,35.9,51.3,0.7
33190,Lewisham,E01033327,Miscellaneous Crimes Against Society,2169,35.8,41.3,0.87
46019,Wandsworth,E01004609,Miscellaneous Crimes Against Society,2194,35.7,59.8,0.6
13901,Enfield,E01001429,Miscellaneous Crimes Against Society,2294,35.4,51.9,0.68
11583,Croydon,E01034149,Miscellaneous Crimes Against Society,2111,35.4,42.8,0.83
11525,Croydon,E01034143,Miscellaneous Crimes Against Society,1311,35.4,51.2,0.69
32759,Lewisham,E01003318,Miscellaneous Crimes Against Society,2076,35.4,45.5,0.78
9399,Camden,E01035711,Miscellaneous Crimes Against Society,2400,35.3,44.4,0.8
46922,Westminster,E01004695,Miscellaneous Crimes Against Society,1056,35.1,62.5,0.56
47578,Westminster,E01033594,Miscellaneous Crimes Against Society,1514,34.6,51.4,0.67
47518,Westminster,E01004762,Miscellaneous Crimes Against Society,1579,34.3,46.8,0.73
24783,Hillingdon,E01002521,Miscellaneous Crimes Against Society,2055,34.3,45.4,0.76
37117,Redbridge,E01003729,Miscellaneous Crimes Against Society,1748,34.0,96.7,0.35
13170,Ealing,E01001361,Miscellaneous Crimes Against Society,2271,33.7,40.2,0.84
8855,Camden,E01000918,Miscellaneous Crimes Against Society,1805,33.6,49.1,0.68
47646,Westminster,E01033604,Miscellaneous Crimes Against Society,1192,33.6,56.6,0.59
2892,Barnet,E01000307,Miscellaneous Crimes Against Society,1645,33.3,48.2,0.69
28283,Kensington and Chelsea,E01002850,Miscellaneous Crimes Against Society,1451,32.8,57.2,0.57
23256,Havering,E01002356,Miscellaneous Crimes Against Society,2107,32.7,40.4,0.81
26536,Hounslow,E01033083,Miscellaneous Crimes Against Society,2178,32.4,45.4,0.71
41810,Tower Hamlets,E01004208,Miscellaneous Crimes Against Society,1977,32.4,43.9,0.74
5726,Brent,E01000601,Miscellaneous Crimes Against Society,1392,32.1,52.4,0.61
47400,Westminster,E01004748,Miscellaneous Crimes Against Society,1234,31.9,62.5,0.51
2099,Barnet,E01000221,Miscellaneous Crimes Against Society,1392,31.3,48.7,0.64
16792,Greenwich,E01034188,Miscellaneous Crimes Against Society,1418,31.1,50.3,0.62
13073,Ealing,E01001351,Miscellaneous Crimes Against Society,1993,31.0,42.3,0.73
37841,Redbridge,E01034484,Miscellaneous Crimes Against Society,1701,30.8,65.3,0.47
36026,Newham,E01034205,Miscellaneous Crimes Against Society,1565,30.8,44.6,0.69
31534,Lambeth,E01033862,Miscellaneous Crimes Against Society,1422,30.6,52.4,0.58
23227,Havering,E01002353,Miscellaneous Crimes Against Society,2060,30.6,40.2,0.76
15101,Enfield,E01001558,Miscellaneous Crimes Against Society,2006,30.5,46.7,0.65
8237,Camden,E01000850,Miscellaneous Crimes Against Society,1411,29.6,46.0,0.64
46472,Wandsworth,E01035493,Miscellaneous Crimes Against Society,1654,29.5,47.1,0.63
19105,Hammersmith and Fulham,E01001932,Miscellaneous Crimes Against Society,1563,29.4,48.3,0.61
42994,Tower Hamlets,E01035669,Miscellaneous Crimes Against Society,1347,29.3,51.3,0.57
37764,Redbridge,E01033589,Miscellaneous Crimes Against Society,1930,29.0,43.6,0.67
20115,Haringey,E01002034,Miscellaneous Crimes Against Society,2471,29.0,50.4,0.58
34241,Merton,E01003456,Miscellaneous Crimes Against Society,1610,28.9,50.6,0.57
33276,Lewisham,E01034394,Miscellaneous Crimes Against Society,1248,28.8,58.8,0.49
