,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
39653,Southwark,E01004005,Violence Against the Person,4646,138.6,66.2,2.09
5140,Brent,E01000533,Violence Against the Person,4328,192.2,92.6,2.08
26552,Hounslow,E01033084,Violence Against the Person,3918,194.6,93.6,2.08
47652,Westminster,E01033604,Violence Against the Person,2384,300.3,144.3,2.08
39006,Southwark,E01003922,Violence Against the Person,4496,137.5,66.1,2.08
37847,Redbridge,E01034484,Violence Against the Person,3402,188.5,90.8,2.08
20151,Haringey,E01002038,Violence Against the Person,3652,188.1,90.6,2.08
42081,Tower Hamlets,E01004244,Violence Against the Person,4208,130.4,62.9,2.07
42101,Tower Hamlets,E01004247,Violence Against the Person,5384,144.0,69.5,2.07
1131,Barking and Dagenham,E01034479,Violence Against the Person,4410,131.4,63.5,2.07
39441,Southwark,E01003980,Violence Against the Person,4026,132.1,63.9,2.07
16288,Greenwich,E01001688,Violence Against the Person,5390,112.8,54.4,2.07
18578,Hammersmith and Fulham,E01001876,Violence Against the Person,4718,197.2,95.3,2.07
12132,Ealing,E01001250,Violence Against the Person,4336,125.6,60.8,2.07
17195,Hackney,E01001747,Violence Against the Person,4656,135.4,65.3,2.07
40510,Southwark,E01033880,Violence Against the Person,4220,151.2,73.5,2.06
930,Barking and Dagenham,E01000106,Violence Against the Person,4468,139.7,67.8,2.06
17078,Hackney,E01001734,Violence Against the Person,3710,166.3,80.8,2.06
31540,Lambeth,E01033862,Violence Against the Person,2844,272.6,132.8,2.05
40451,Southwark,E01033874,Violence Against the Person,2286,345.8,168.5,2.05
42521,Tower Hamlets,E01004306,Violence Against the Person,3742,167.9,82.1,2.05
38,Barking and Dagenham,E01000009,Violence Against the Person,3590,177.9,86.6,2.05
6183,Brent,E01033485,Violence Against the Person,3294,194.1,94.5,2.05
35727,Newham,E01003618,Violence Against the Person,4472,142.5,69.6,2.05
31685,Lewisham,E01003199,Violence Against the Person,3932,194.5,95.1,2.05
47416,Westminster,E01004749,Violence Against the Person,4398,156.8,76.6,2.05
10898,Croydon,E01001136,Violence Against the Person,4114,171.0,83.9,2.04
26219,Hounslow,E01002661,Violence Against the Person,4704,115.8,56.8,2.04
15107,Enfield,E01001558,Violence Against the Person,4012,205.3,100.7,2.04
920,Barking and Dagenham,E01000105,Violence Against the Person,4606,155.6,76.4,2.04
7090,Bromley,E01000729,Violence Against the Person,3894,166.6,81.6,2.04
