,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
26191,Public Order Offences,E01003255,Lewisham,29.3,23.1,1.27
23717,Public Order Offences,E01000642,Brent,35.7,28.2,1.27
24891,Public Order Offences,E01001894,Hammersmith and Fulham,56.8,44.8,1.27
26692,Public Order Offences,E01003783,Redbridge,39.8,31.4,1.27
24643,Public Order Offences,E01001609,Greenwich,46.3,36.6,1.27
23924,Public Order Offences,E01000861,Camden,47.7,37.5,1.27
23980,Public Order Offences,E01000919,Camden,84.4,66.8,1.26
24648,Public Order Offences,E01001615,Greenwich,35.5,28.1,1.26
27654,Public Order Offences,E01033084,Hounslow,31.6,25.1,1.26
26867,Public Order Offences,E01003969,Southwark,30.3,24.2,1.25
26044,Public Order Offences,E01003102,Lambeth,50.9,40.6,1.25
27320,Public Order Offences,E01004474,Wandsworth,36.2,28.9,1.25
26844,Public Order Offences,E01003939,Southwark,40.9,32.7,1.25
25756,Public Order Offences,E01002805,Islington,41.5,33.2,1.25
24974,Public Order Offences,E01001979,Haringey,24.7,19.8,1.25
26237,Public Order Offences,E01003304,Lewisham,38.4,30.7,1.25
27457,Public Order Offences,E01004617,Wandsworth,53.6,42.9,1.25
25997,Public Order Offences,E01003055,Lambeth,61.0,49.0,1.24
25070,Public Order Offences,E01002077,Haringey,35.1,28.4,1.24
27711,Public Order Offences,E01033700,Hackney,27.5,22.2,1.24
27090,Public Order Offences,E01004211,Tower Hamlets,48.8,39.4,1.24
27125,Public Order Offences,E01004259,Tower Hamlets,60.7,48.8,1.24
28045,Public Order Offences,E01035694,Tower Hamlets,33.6,27.1,1.24
25231,Public Order Offences,E01002248,Havering,38.4,31.0,1.24
24718,Public Order Offences,E01001701,Greenwich,44.9,36.4,1.23
23915,Public Order Offences,E01000850,Camden,62.7,51.0,1.23
27862,Public Order Offences,E01034187,Greenwich,78.6,63.9,1.23
24147,Public Order Offences,E01001097,Croydon,37.7,30.7,1.23
26385,Public Order Offences,E01003456,Merton,51.2,41.7,1.23
26887,Public Order Offences,E01003994,Southwark,37.1,30.4,1.22
24713,Public Order Offences,E01001696,Greenwich,34.9,28.6,1.22
25798,Public Order Offences,E01002850,Kensington and Chelsea,54.2,44.7,1.21
24917,Public Order Offences,E01001920,Hammersmith and Fulham,43.7,36.2,1.21
24304,Public Order Offences,E01001261,Ealing,38.0,31.4,1.21
25062,Public Order Offences,E01002069,Haringey,49.8,41.2,1.21
23592,Public Order Offences,E01000508,Brent,23.0,19.0,1.21
24837,Public Order Offences,E01001839,Hackney,41.7,34.5,1.21
24012,Public Order Offences,E01000956,Camden,44.0,36.5,1.21
27574,Public Order Offences,E01004748,Westminster,74.0,61.9,1.2
23921,Public Order Offences,E01000858,Camden,36.2,30.2,1.2
28020,Public Order Offences,E01035669,Tower Hamlets,44.3,37.0,1.2
27575,Public Order Offences,E01004749,Westminster,45.1,37.5,1.2
27916,Public Order Offences,E01034394,Lewisham,55.9,46.4,1.2
27083,Public Order Offences,E01004203,Tower Hamlets,36.5,30.5,1.2
