,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
40318,Vehicle Offences,E01002692,Hounslow,75.0,55.1,1.36
42385,Vehicle Offences,E01033604,Westminster,56.4,55.0,1.03
40135,Vehicle Offences,E01002489,Hillingdon,64.7,55.0,1.18
42222,Vehicle Offences,E01004716,Westminster,74.4,54.9,1.36
42195,Vehicle Offences,E01004686,Westminster,75.0,54.9,1.37
38575,Vehicle Offences,E01000850,Camden,82.8,54.7,1.51
39694,Vehicle Offences,E01002036,Haringey,70.0,54.6,1.28
38637,Vehicle Offences,E01000916,Camden,84.9,54.5,1.56
39053,Vehicle Offences,E01001347,Ealing,80.5,54.2,1.49
40417,Vehicle Offences,E01002796,Islington,51.0,53.8,0.95
42417,Vehicle Offences,E01033784,Havering,95.8,53.6,1.79
42694,Vehicle Offences,E01035665,Tower Hamlets,63.4,53.6,1.18
41382,Vehicle Offences,E01003799,Richmond upon Thames,90.1,53.5,1.68
42742,Vehicle Offences,E01035713,Kensington and Chelsea,80.0,53.4,1.5
40477,Vehicle Offences,E01002860,Kensington and Chelsea,71.9,53.1,1.35
38658,Vehicle Offences,E01000938,Camden,58.0,53.1,1.09
42476,Vehicle Offences,E01033937,Brent,42.6,53.0,0.8
39733,Vehicle Offences,E01002075,Haringey,61.7,52.9,1.17
40207,Vehicle Offences,E01002572,Hounslow,78.9,52.7,1.5
42468,Vehicle Offences,E01033929,Brent,48.5,52.7,0.92
42355,Vehicle Offences,E01033486,Islington,49.5,52.6,0.94
39668,Vehicle Offences,E01002008,Haringey,88.7,52.4,1.69
39688,Vehicle Offences,E01002029,Haringey,73.3,52.3,1.4
38672,Vehicle Offences,E01000956,Camden,58.8,52.2,1.13
40308,Vehicle Offences,E01002678,Hounslow,88.2,52.2,1.69
37960,Vehicle Offences,E01000213,Barnet,57.4,51.7,1.11
42641,Vehicle Offences,E01034608,Hillingdon,67.8,51.6,1.31
38457,Vehicle Offences,E01000728,Bromley,60.1,51.5,1.17
42223,Vehicle Offences,E01004717,Westminster,73.1,51.5,1.42
42279,Vehicle Offences,E01032574,Enfield,78.4,51.5,1.52
40455,Vehicle Offences,E01002837,Kensington and Chelsea,57.9,51.4,1.13
38615,Vehicle Offences,E01000894,Camden,64.5,51.0,1.26
37840,Vehicle Offences,E01000087,Barking and Dagenham,64.5,50.9,1.27
41275,Vehicle Offences,E01003689,Redbridge,82.4,50.8,1.62
42651,Vehicle Offences,E01035484,Hammersmith and Fulham,71.2,50.6,1.41
39595,Vehicle Offences,E01001933,Hammersmith and Fulham,81.1,50.6,1.6
39560,Vehicle Offences,E01001898,Hammersmith and Fulham,73.1,50.3,1.45
42600,Vehicle Offences,E01034473,Barking and Dagenham,68.5,50.3,1.36
41550,Vehicle Offences,E01003981,Southwark,64.0,50.1,1.28
41442,Vehicle Offences,E01003860,Richmond upon Thames,68.2,50.1,1.36
41433,Vehicle Offences,E01003851,Richmond upon Thames,69.4,50.0,1.39
42125,Vehicle Offences,E01004608,Wandsworth,80.9,49.9,1.62
41099,Vehicle Offences,E01003500,Newham,74.5,49.9,1.49
38567,Vehicle Offences,E01000842,Camden,59.2,49.9,1.19
42662,Vehicle Offences,E01035495,Wandsworth,44.8,49.8,0.9
40454,Vehicle Offences,E01002836,Kensington and Chelsea,78.6,49.8,1.58
39577,Vehicle Offences,E01001915,Hammersmith and Fulham,75.9,49.6,1.53
40149,Vehicle Offences,E01002505,Hillingdon,84.6,49.2,1.72
39197,Vehicle Offences,E01001494,Enfield,44.2,49.2,0.9
42387,Vehicle Offences,E01033699,Hackney,69.0,49.1,1.41
42264,Vehicle Offences,E01004763,Westminster,90.4,49.1,1.84
39584,Vehicle Offences,E01001922,Hammersmith and Fulham,81.6,49.0,1.67
37848,Vehicle Offences,E01000096,Barking and Dagenham,76.5,48.9,1.56
39509,Vehicle Offences,E01001846,Hackney,60.9,48.9,1.25
40093,Vehicle Offences,E01002447,Hillingdon,58.6,48.6,1.21
38945,Vehicle Offences,E01001237,Ealing,62.8,48.6,1.29
42136,Vehicle Offences,E01004619,Wandsworth,54.8,48.6,1.13
42621,Vehicle Offences,E01034581,Merton,53.4,48.5,1.1
40488,Vehicle Offences,E01002871,Kensington and Chelsea,72.7,48.5,1.5
42394,Vehicle Offences,E01033708,Hackney,107.9,48.3,2.23
38631,Vehicle Offences,E01000910,Camden,62.0,48.3,1.28
39054,Vehicle Offences,E01001348,Ealing,70.5,48.3,1.46
41980,Vehicle Offences,E01004456,Waltham Forest,69.0,48.2,1.43
40716,Vehicle Offences,E01003102,Lambeth,51.6,48.1,1.07
40434,Vehicle Offences,E01002814,Kensington and Chelsea,53.2,48.1,1.11
42092,Vehicle Offences,E01004572,Wandsworth,52.9,48.0,1.1
39086,Vehicle Offences,E01001381,Ealing,82.0,47.8,1.72
40080,Vehicle Offences,E01002434,Hillingdon,47.8,47.7,1.0
38586,Vehicle Offences,E01000863,Camden,56.5,47.7,1.18
41080,Vehicle Offences,E01003479,Newham,45.0,47.6,0.95
39331,Vehicle Offences,E01001641,Greenwich,52.6,47.4,1.11
38051,Vehicle Offences,E01000305,Barnet,50.2,47.3,1.06
39735,Vehicle Offences,E01002077,Haringey,53.8,47.3,1.14
39103,Vehicle Offences,E01001398,Enfield,50.0,47.2,1.06
42466,Vehicle Offences,E01033927,Enfield,48.5,47.2,1.03
38953,Vehicle Offences,E01001246,Ealing,81.7,47.2,1.73
39200,Vehicle Offences,E01001497,Enfield,49.0,47.1,1.04
40845,Vehicle Offences,E01003235,Lewisham,50.3,47.1,1.07
38271,Vehicle Offences,E01000532,Brent,45.4,47.0,0.97
37809,Vehicle Offences,E01000056,Barking and Dagenham,61.2,47.0,1.3
40425,Vehicle Offences,E01002805,Islington,49.5,47.0,1.05
39761,Vehicle Offences,E01002104,Haringey,41.1,47.0,0.87
42687,Vehicle Offences,E01035658,Tower Hamlets,55.8,47.0,1.19
41111,Vehicle Offences,E01003515,Newham,82.8,47.0,1.76
40631,Vehicle Offences,E01003017,Lambeth,41.8,46.9,0.89
41264,Vehicle Offences,E01003677,Redbridge,71.9,46.8,1.54
42424,Vehicle Offences,E01033791,Bexley,53.3,46.8,1.14
41375,Vehicle Offences,E01003792,Redbridge,57.4,46.7,1.23
39562,Vehicle Offences,E01001900,Hammersmith and Fulham,54.0,46.7,1.16
42637,Vehicle Offences,E01034604,Hillingdon,47.1,46.7,1.01
42572,Vehicle Offences,E01034221,Newham,61.9,46.6,1.33
40526,Vehicle Offences,E01002910,Kensington and Chelsea,50.4,46.5,1.08
37898,Vehicle Offences,E01000150,Barnet,54.6,46.3,1.18
40182,Vehicle Offences,E01002544,Hillingdon,62.4,46.2,1.35
42200,Vehicle Offences,E01004693,Westminster,62.1,46.2,1.34
40476,Vehicle Offences,E01002859,Kensington and Chelsea,86.5,46.2,1.87
39117,Vehicle Offences,E01001412,Enfield,72.8,46.2,1.58
42328,Vehicle Offences,E01033081,Hounslow,49.2,46.2,1.06
42194,Vehicle Offences,E01004684,Westminster,49.2,46.1,1.07
40861,Vehicle Offences,E01003253,Lewisham,47.1,45.9,1.03
42551,Vehicle Offences,E01034200,Newham,70.8,45.8,1.55
39092,Vehicle Offences,E01001387,Ealing,61.0,45.7,1.33
39729,Vehicle Offences,E01002071,Haringey,47.5,45.7,1.04
37952,Vehicle Offences,E01000205,Barnet,67.8,45.6,1.49
