,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
12344,Drug Offences,Havering,E01002356,4214,232.3,27272.02,4e-05
14309,Drug Offences,Tower Hamlets,E01004307,4770,173.0,39703.5,3e-05
14099,Drug Offences,Southwark,E01033874,2286,206.9,37262.69,3e-05
10815,Drug Offences,Camden,E01000858,3984,228.3,35295.18,3e-05
10872,Drug Offences,Camden,E01000919,2918,276.6,65443.56,2e-05
14841,Drug Offences,Westminster,E01035718,5318,268.1,59223.29,2e-05
13661,Drug Offences,Newham,E01034220,2376,257.0,61500.1,2e-05
11818,Drug Offences,Hackney,E01033708,3766,265.7,49765.61,2e-05
12969,Drug Offences,Kingston upon Thames,E01002968,5874,310.9,50427.98,2e-05
13048,Drug Offences,Lambeth,E01003047,3596,368.2,70363.02,1e-05
11147,Drug Offences,Croydon,E01034150,2624,375.9,92960.07,1e-05
14844,Drug Offences,Westminster,E01035721,4672,279.8,108926.14,1e-05
10820,Drug Offences,Camden,E01000863,2958,706.6,319736.5,0.0
14802,Drug Offences,Westminster,E01004736,3094,733.5,324427.05,0.0
14800,Drug Offences,Westminster,E01004734,3398,1337.1,1104310.89,0.0
14839,Drug Offences,Westminster,E01035716,4402,650.0,271700.0,0.0
14824,Drug Offences,Westminster,E01004763,4062,697.1,311324.86,0.0
