,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
45552,Violence Against the Person,Islington,E01002698,4016,65.8,3211.04,0.00031
43061,Violence Against the Person,Barnet,E01000314,4340,65.5,3216.05,0.00031
44133,Violence Against the Person,Ealing,E01001358,3918,67.1,3187.25,0.00031
46641,Violence Against the Person,Redbridge,E01003742,4796,69.5,3377.7,0.0003
42817,Violence Against the Person,Barking and Dagenham,E01000076,4350,67.5,3381.75,0.0003
45953,Violence Against the Person,Lambeth,E01003092,4666,70.2,3348.54,0.0003
47663,Violence Against the Person,Westminster,E01004702,8493,79.2,3326.4,0.0003
45970,Violence Against the Person,Lambeth,E01003111,4000,67.9,3320.31,0.0003
47417,Violence Against the Person,Waltham Forest,E01004462,4732,76.3,3380.09,0.0003
46046,Violence Against the Person,Lambeth,E01003187,4588,66.7,3368.35,0.0003
44020,Violence Against the Person,Ealing,E01001244,5630,71.0,3294.4,0.0003
44861,Violence Against the Person,Haringey,E01002041,5607,72.9,3346.11,0.0003
46419,Violence Against the Person,Newham,E01003547,3970,66.7,3328.33,0.0003
47625,Violence Against the Person,Westminster,E01004654,4950,71.5,3389.1,0.0003
45475,Violence Against the Person,Hounslow,E01002635,4040,65.1,3326.61,0.0003
47360,Violence Against the Person,Waltham Forest,E01004402,3718,71.7,3334.05,0.0003
42765,Violence Against the Person,Barking and Dagenham,E01000020,4366,67.1,3422.1,0.00029
45462,Violence Against the Person,Hounslow,E01002622,3814,69.6,3466.08,0.00029
46091,Violence Against the Person,Lewisham,E01003226,3670,68.9,3507.01,0.00029
43055,Violence Against the Person,Barnet,E01000308,4216,72.0,3405.6,0.00029
44380,Violence Against the Person,Greenwich,E01001595,4462,68.3,3496.96,0.00029
42937,Violence Against the Person,Barnet,E01000189,4878,66.6,3436.56,0.00029
46506,Violence Against the Person,Newham,E01033584,3430,66.7,3468.4,0.00029
42991,Violence Against the Person,Barnet,E01000243,4304,72.4,3439.0,0.00029
46601,Violence Against the Person,Redbridge,E01003700,5130,71.9,3444.01,0.00029
43352,Violence Against the Person,Brent,E01000595,5367,71.7,3498.96,0.00029
43264,Violence Against the Person,Brent,E01000503,4224,68.5,3466.1,0.00029
43510,Violence Against the Person,Bromley,E01000742,4192,72.3,3390.87,0.00029
43385,Violence Against the Person,Brent,E01000632,4998,80.0,3504.0,0.00029
47680,Violence Against the Person,Westminster,E01004720,4578,72.3,3434.25,0.00029
47054,Violence Against the Person,Sutton,E01004138,3588,70.2,3390.66,0.00029
47269,Violence Against the Person,Tower Hamlets,E01035691,3802,67.9,3490.06,0.00029
43514,Violence Against the Person,Bromley,E01000746,4042,71.0,3457.7,0.00029
47682,Violence Against the Person,Westminster,E01004722,5448,73.7,3500.75,0.00029
47535,Violence Against the Person,Wandsworth,E01004580,4284,68.2,3464.56,0.00029
44140,Violence Against the Person,Ealing,E01001365,5176,73.5,3417.75,0.00029
44021,Violence Against the Person,Ealing,E01001245,4250,68.5,3493.5,0.00029
44291,Violence Against the Person,Enfield,E01001512,4578,69.9,3474.03,0.00029
46035,Violence Against the Person,Lambeth,E01003176,5826,74.7,3615.48,0.00028
45830,Violence Against the Person,Kingston upon Thames,E01002971,3606,69.7,3624.4,0.00028
46078,Violence Against the Person,Lewisham,E01003213,3920,71.3,3557.87,0.00028
44796,Violence Against the Person,Haringey,E01001974,4408,71.3,3593.52,0.00028
46587,Violence Against the Person,Redbridge,E01003685,3844,70.1,3568.09,0.00028
46421,Violence Against the Person,Newham,E01003549,4274,74.2,3554.18,0.00028
42877,Violence Against the Person,Barnet,E01000126,4478,66.5,3551.1,0.00028
45906,Violence Against the Person,Lambeth,E01003045,6060,74.1,3579.03,0.00028
46287,Violence Against the Person,Merton,E01003413,4166,70.9,3566.27,0.00028
46252,Violence Against the Person,Merton,E01003378,4498,69.8,3545.84,0.00028
45367,Violence Against the Person,Hillingdon,E01002541,3944,73.7,3596.56,0.00028
46134,Violence Against the Person,Lewisham,E01003272,4016,67.8,3525.6,0.00028
43951,Violence Against the Person,Croydon,E01001187,3944,70.4,3562.24,0.00028
46656,Violence Against the Person,Redbridge,E01003757,4338,66.3,3586.83,0.00028
