,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
27992,Public Order Offences,E01035641,Hackney,48.2,44.1,1.09
26069,Public Order Offences,E01003129,Lambeth,28.9,43.9,0.66
24855,Public Order Offences,E01001857,Hammersmith and Fulham,55.5,43.8,1.27
26773,Public Order Offences,E01003865,Richmond upon Thames,20.7,43.7,0.47
27504,Public Order Offences,E01004668,Westminster,18.4,43.7,0.42
27839,Public Order Offences,E01034148,Croydon,50.8,43.6,1.17
27683,Public Order Offences,E01033491,Islington,56.1,43.5,1.29
27615,Public Order Offences,E01032639,Southwark,51.8,43.5,1.19
27586,Public Order Offences,E01004762,Westminster,57.6,43.5,1.32
23940,Public Order Offences,E01000879,Camden,21.3,43.4,0.49
27629,Public Order Offences,E01032771,Tower Hamlets,43.5,43.3,1.0
26747,Public Order Offences,E01003838,Richmond upon Thames,19.6,43.1,0.45
25979,Public Order Offences,E01003037,Lambeth,43.8,43.1,1.02
27457,Public Order Offences,E01004617,Wandsworth,53.6,42.9,1.25
25780,Public Order Offences,E01002831,Kensington and Chelsea,59.7,42.8,1.39
26302,Public Order Offences,E01003372,Merton,24.5,42.8,0.57
23749,Public Order Offences,E01000676,Bromley,80.1,42.8,1.87
25602,Public Order Offences,E01002637,Hounslow,42.8,42.7,1.0
26390,Public Order Offences,E01003461,Merton,21.9,42.7,0.51
26413,Public Order Offences,E01003486,Newham,44.1,42.6,1.04
24933,Public Order Offences,E01001937,Hammersmith and Fulham,27.0,42.6,0.63
23818,Public Order Offences,E01000748,Bromley,17.3,42.5,0.41
25581,Public Order Offences,E01002616,Hounslow,23.1,42.3,0.55
26601,Public Order Offences,E01003689,Redbridge,66.0,42.3,1.56
26249,Public Order Offences,E01003318,Lewisham,75.3,42.3,1.78
25724,Public Order Offences,E01002772,Islington,46.5,42.3,1.1
24403,Public Order Offences,E01001361,Ealing,73.2,42.2,1.73
24470,Public Order Offences,E01001429,Enfield,61.6,42.2,1.46
27562,Public Order Offences,E01004733,Westminster,49.8,42.1,1.18
24966,Public Order Offences,E01001971,Haringey,38.4,42.0,0.91
26784,Public Order Offences,E01003876,Richmond upon Thames,62.6,41.8,1.5
26385,Public Order Offences,E01003456,Merton,51.2,41.7,1.23
27529,Public Order Offences,E01004699,Westminster,49.3,41.5,1.19
23999,Public Order Offences,E01000939,Camden,56.0,41.5,1.35
25062,Public Order Offences,E01002069,Haringey,49.8,41.2,1.21
27673,Public Order Offences,E01033455,Brent,48.8,41.2,1.18
27840,Public Order Offences,E01034149,Croydon,70.0,41.0,1.71
23872,Public Order Offences,E01000804,Bromley,17.7,41.0,0.43
24956,Public Order Offences,E01001961,Hammersmith and Fulham,32.5,40.8,0.8
24379,Public Order Offences,E01001337,Ealing,38.7,40.7,0.95
24970,Public Order Offences,E01001975,Haringey,22.6,40.7,0.56
26044,Public Order Offences,E01003102,Lambeth,50.9,40.6,1.25
26003,Public Order Offences,E01003061,Lambeth,53.2,40.5,1.31
25992,Public Order Offences,E01003050,Lambeth,25.7,40.4,0.64
23243,Public Order Offences,E01000146,Barnet,44.0,40.2,1.09
24001,Public Order Offences,E01000942,Camden,35.4,40.1,0.88
23998,Public Order Offences,E01000938,Camden,46.9,40.1,1.17
25859,Public Order Offences,E01002912,Kensington and Chelsea,44.2,40.0,1.1
27244,Public Order Offences,E01004395,Waltham Forest,10.3,40.0,0.26
23959,Public Order Offences,E01000898,Camden,40.6,39.8,1.02
27108,Public Order Offences,E01004235,Tower Hamlets,18.2,39.8,0.46
27684,Public Order Offences,E01033493,Islington,10.8,39.8,0.27
25928,Public Order Offences,E01002984,Kingston upon Thames,19.4,39.7,0.49
27984,Public Order Offences,E01035495,Wandsworth,51.8,39.7,1.3
25480,Public Order Offences,E01002505,Hillingdon,51.8,39.7,1.3
24504,Public Order Offences,E01001464,Enfield,12.2,39.5,0.31
27090,Public Order Offences,E01004211,Tower Hamlets,48.8,39.4,1.24
24740,Public Order Offences,E01001729,Hackney,43.6,39.4,1.11
24948,Public Order Offences,E01001953,Hammersmith and Fulham,45.7,39.4,1.16
26422,Public Order Offences,E01003496,Newham,18.0,39.4,0.46
26876,Public Order Offences,E01003981,Southwark,42.2,39.2,1.08
25958,Public Order Offences,E01003016,Lambeth,35.5,39.1,0.91
27854,Public Order Offences,E01034179,Greenwich,37.0,39.1,0.95
25370,Public Order Offences,E01002391,Havering,10.2,39.1,0.26
24798,Public Order Offences,E01001796,Hackney,25.3,38.9,0.65
26139,Public Order Offences,E01003199,Lewisham,61.1,38.7,1.58
23839,Public Order Offences,E01000769,Bromley,34.5,38.6,0.89
25775,Public Order Offences,E01002826,Kensington and Chelsea,32.5,38.6,0.84
27749,Public Order Offences,E01033862,Lambeth,38.5,38.5,1.0
24370,Public Order Offences,E01001328,Ealing,30.8,38.5,0.8
27716,Public Order Offences,E01033706,Hackney,53.5,38.5,1.39
24809,Public Order Offences,E01001808,Hackney,37.6,38.4,0.98
25488,Public Order Offences,E01002514,Hillingdon,51.4,38.2,1.35
24849,Public Order Offences,E01001851,Hammersmith and Fulham,15.4,38.1,0.4
25814,Public Order Offences,E01002866,Kensington and Chelsea,23.8,38.1,0.62
