,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49663,E01032573,Vehicle Offences,Hounslow,1802,271.9,56582.39,0.303,3.3003300330033003
38487,E01003675,Vehicle Offences,Redbridge,1724,271.6,47883.08,0.268,3.731343283582089
49509,E01004763,Vehicle Offences,Westminster,2031,271.1,40231.24,0.231,4.329004329004329
39807,E01003799,Vehicle Offences,Richmond upon Thames,1611,270.2,43664.32,0.248,4.032258064516129
52765,E01034209,Vehicle Offences,Newham,1443,267.4,63106.4,0.318,3.144654088050314
20953,E01002008,Vehicle Offences,Haringey,1386,266.1,42097.02,0.246,4.065040650406504
27993,E01002678,Vehicle Offences,Hounslow,2007,264.7,41690.25,0.245,4.081632653061225
9425,E01000899,Vehicle Offences,Camden,1583,264.6,46728.36,0.266,3.7593984962406015
26893,E01002573,Vehicle Offences,Hounslow,1564,262.5,46672.5,0.277,3.6101083032490973
29676,E01002844,Vehicle Offences,Kensington and Chelsea,1147,258.0,50000.4,0.279,3.584229390681003
845,E01000087,Vehicle Offences,Barking and Dagenham,1635,258.0,52761.0,0.289,3.4602076124567476
30171,E01002889,Vehicle Offences,Kensington and Chelsea,1566,256.9,48605.48,0.265,3.773584905660377
41655,E01003981,Vehicle Offences,Southwark,1514,256.0,51609.6,0.294,3.4013605442176873
9612,E01000916,Vehicle Offences,Camden,1872,254.8,41889.12,0.253,3.952569169960474
28114,E01002693,Vehicle Offences,Hounslow,1822,254.7,54123.75,0.285,3.5087719298245617
26244,E01002505,Vehicle Offences,Hillingdon,1775,253.9,37729.54,0.229,4.366812227074235
45384,E01004363,Vehicle Offences,Waltham Forest,1688,251.6,43023.6,0.249,4.016064257028113
30314,E01002903,Vehicle Offences,Kensington and Chelsea,1285,251.3,46716.67,0.282,3.546099290780142
29885,E01002863,Vehicle Offences,Kensington and Chelsea,1109,250.4,43419.36,0.269,3.717472118959108
8930,E01000850,Vehicle Offences,Camden,1411,248.5,41027.35,0.257,3.8910505836575875
38630,E01003689,Vehicle Offences,Redbridge,2230,247.2,37920.48,0.235,4.25531914893617
28444,E01002724,Vehicle Offences,Islington,1943,246.4,59185.28,0.311,3.215434083601286
14551,E01001381,Vehicle Offences,Ealing,1875,246.0,35497.8,0.22,4.545454545454546
54778,E01035714,Vehicle Offences,Kensington and Chelsea,2103,245.9,33466.99,0.212,4.716981132075472
25617,E01002446,Vehicle Offences,Hillingdon,1966,245.9,44114.46,0.278,3.597122302158273
20029,E01001922,Vehicle Offences,Hammersmith and Fulham,1617,244.8,36254.88,0.229,4.366812227074235
20150,E01001933,Vehicle Offences,Hammersmith and Fulham,1523,243.3,37176.24,0.237,4.219409282700422
49036,E01004715,Vehicle Offences,Westminster,1854,242.7,44681.07,0.287,3.4843205574912894
47980,E01004608,Vehicle Offences,Wandsworth,1648,242.7,36599.16,0.232,4.310344827586206
12967,E01001234,Vehicle Offences,Ealing,1328,241.8,46836.66,0.282,3.546099290780142
14188,E01001347,Vehicle Offences,Ealing,2000,241.5,39485.25,0.235,4.25531914893617
46121,E01004430,Vehicle Offences,Waltham Forest,2671,240.9,32979.21,0.213,4.694835680751174
7632,E01000728,Vehicle Offences,Bromley,1621,240.6,49852.32,0.319,3.134796238244514
54767,E01035713,Vehicle Offences,Kensington and Chelsea,2039,240.0,38688.0,0.231,4.329004329004329
26882,E01002572,Vehicle Offences,Hounslow,1592,236.8,37674.88,0.233,4.291845493562231
29599,E01002836,Vehicle Offences,Kensington and Chelsea,1297,235.8,35487.9,0.233,4.291845493562231
25628,E01002447,Vehicle Offences,Hillingdon,2048,234.4,45848.64,0.282,3.546099290780142
50763,E01033594,Vehicle Offences,Westminster,1514,234.3,36058.77,0.239,4.184100418410042
933,E01000096,Vehicle Offences,Barking and Dagenham,1672,229.4,33882.38,0.228,4.385964912280701
26915,E01002575,Vehicle Offences,Hounslow,1609,228.9,31153.29,0.211,4.739336492890995
19952,E01001915,Vehicle Offences,Hammersmith and Fulham,1441,227.8,34147.22,0.226,4.424778761061947
20040,E01001923,Vehicle Offences,Hammersmith and Fulham,1511,226.6,36595.9,0.251,3.9840637450199203
53238,E01034476,Vehicle Offences,Barking and Dagenham,1800,226.5,30713.4,0.201,4.975124378109452
50697,E01033587,Vehicle Offences,Barking and Dagenham,2445,226.4,32828.0,0.225,4.444444444444445
28103,E01002692,Vehicle Offences,Hounslow,2122,225.1,37456.64,0.239,4.184100418410042
36694,E01003500,Vehicle Offences,Newham,2031,223.6,33696.52,0.23,4.3478260869565215
49047,E01004716,Vehicle Offences,Westminster,1049,223.2,36984.24,0.257,3.8910505836575875
21173,E01002029,Vehicle Offences,Haringey,2138,219.8,34706.42,0.239,4.184100418410042
47507,E01004560,Vehicle Offences,Wandsworth,1917,219.7,29747.38,0.21,4.761904761904762
15244,E01001445,Vehicle Offences,Enfield,2797,219.6,31885.92,0.217,4.6082949308755765
1483,E01000150,Vehicle Offences,Barnet,2246,218.4,40666.08,0.212,4.716981132075472
