,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
32464,Robbery,E01033864,Lambeth,39.0,77.8,0.5
30783,Robbery,E01003062,Lambeth,55.2,77.6,0.71
32708,Robbery,E01035652,Islington,99.7,77.5,1.29
30763,Robbery,E01003042,Lambeth,37.6,76.7,0.49
29770,Robbery,E01001915,Hammersmith and Fulham,31.4,76.7,0.41
32237,Robbery,E01004690,Westminster,42.2,76.4,0.55
28144,Robbery,E01000084,Barking and Dagenham,68.4,76.3,0.9
32111,Robbery,E01004543,Wandsworth,42.3,76.2,0.56
32332,Robbery,E01032640,Southwark,39.2,76.0,0.52
32281,Robbery,E01004735,Westminster,106.2,75.6,1.4
30790,Robbery,E01003069,Lambeth,44.9,75.5,0.59
32465,Robbery,E01033865,Lambeth,57.0,75.5,0.75
31633,Robbery,E01003998,Southwark,58.7,74.8,0.78
28075,Robbery,E01000007,Barking and Dagenham,81.2,74.7,1.09
30764,Robbery,E01003043,Lambeth,38.5,74.5,0.52
30636,Robbery,E01002882,Kensington and Chelsea,33.6,74.5,0.45
29421,Robbery,E01001518,Enfield,49.4,74.4,0.66
31047,Robbery,E01003341,Lewisham,35.8,74.4,0.48
29605,Robbery,E01001735,Hackney,59.0,74.3,0.79
32546,Robbery,E01034144,Croydon,49.9,74.1,0.67
31367,Robbery,E01003689,Redbridge,103.5,74.1,1.4
29247,Robbery,E01001338,Ealing,46.9,73.9,0.63
32414,Robbery,E01033594,Westminster,93.1,73.9,1.26
28855,Robbery,E01000906,Camden,45.7,73.6,0.62
31284,Robbery,E01003593,Newham,65.8,73.4,0.9
29931,Robbery,E01002082,Haringey,49.2,73.4,0.67
32317,Robbery,E01032572,Ealing,42.6,73.3,0.58
29295,Robbery,E01001387,Ealing,44.2,73.1,0.6
30814,Robbery,E01003095,Lambeth,37.4,73.0,0.51
29684,Robbery,E01001827,Hackney,54.6,72.7,0.75
29783,Robbery,E01001928,Hammersmith and Fulham,46.3,72.5,0.64
30196,Robbery,E01002385,Havering,18.2,72.3,0.25
32242,Robbery,E01004695,Westminster,71.3,72.2,0.99
30352,Robbery,E01002573,Hounslow,42.9,72.2,0.59
30533,Robbery,E01002775,Islington,47.8,72.1,0.66
28257,Robbery,E01000206,Barnet,30.1,72.1,0.42
31281,Robbery,E01003590,Newham,48.2,72.0,0.67
31585,Robbery,E01003935,Southwark,54.2,71.9,0.75
30609,Robbery,E01002855,Kensington and Chelsea,57.7,71.9,0.8
32476,Robbery,E01033876,Southwark,39.7,71.5,0.56
29067,Robbery,E01001145,Croydon,59.1,71.4,0.83
32765,Robbery,E01035711,Camden,104.4,71.4,1.46
29638,Robbery,E01001774,Hackney,66.6,71.2,0.94
32605,Robbery,E01034221,Newham,55.4,70.8,0.78
28953,Robbery,E01001010,Croydon,60.0,70.8,0.85
31212,Robbery,E01003521,Newham,112.0,70.7,1.58
29863,Robbery,E01002011,Haringey,39.5,70.4,0.56
30575,Robbery,E01002818,Kensington and Chelsea,69.1,69.8,0.99
28812,Robbery,E01000860,Camden,31.7,69.7,0.45
31403,Robbery,E01003729,Redbridge,70.3,69.6,1.01
29953,Robbery,E01002104,Haringey,42.3,69.4,0.61
32084,Robbery,E01004516,Wandsworth,35.8,69.3,0.52
29916,Robbery,E01002066,Haringey,53.6,69.2,0.77
32178,Robbery,E01004619,Wandsworth,29.4,69.1,0.43
30905,Robbery,E01003188,Lambeth,41.8,68.9,0.61
28579,Robbery,E01000581,Brent,39.0,68.6,0.57
30844,Robbery,E01003127,Lambeth,56.7,68.5,0.83
29416,Robbery,E01001513,Enfield,53.8,68.4,0.79
29895,Robbery,E01002045,Haringey,51.0,68.3,0.75
32214,Robbery,E01004658,Westminster,106.0,68.2,1.55
30506,Robbery,E01002745,Islington,44.0,68.1,0.65
31983,Robbery,E01004409,Waltham Forest,54.7,67.8,0.81
28569,Robbery,E01000571,Brent,45.0,67.7,0.66
31606,Robbery,E01003960,Southwark,57.6,67.6,0.85
30173,Robbery,E01002356,Havering,83.8,67.3,1.25
28893,Robbery,E01000947,Camden,97.0,67.2,1.44
32763,Robbery,E01035709,Camden,54.3,67.2,0.81
30840,Robbery,E01003123,Lambeth,45.7,66.9,0.68
30737,Robbery,E01003016,Lambeth,59.4,66.9,0.89
29874,Robbery,E01002023,Haringey,23.3,66.8,0.35
32206,Robbery,E01004649,Westminster,55.4,66.8,0.83
32435,Robbery,E01033713,Hackney,57.1,66.7,0.86
32361,Robbery,E01032803,Southwark,35.4,66.7,0.53
31642,Robbery,E01004010,Southwark,91.3,66.6,1.37
29947,Robbery,E01002098,Haringey,38.7,66.6,0.58
29919,Robbery,E01002069,Haringey,86.7,66.6,1.3
30464,Robbery,E01002701,Islington,60.1,66.4,0.91
30617,Robbery,E01002863,Kensington and Chelsea,38.7,66.4,0.58
28541,Robbery,E01000543,Brent,47.7,66.4,0.72
32244,Robbery,E01004697,Westminster,40.2,66.4,0.61
32032,Robbery,E01004460,Waltham Forest,55.9,66.1,0.85
30821,Robbery,E01003102,Lambeth,86.2,66.1,1.3
31016,Robbery,E01003309,Lewisham,41.4,66.0,0.63
30782,Robbery,E01003061,Lambeth,79.1,65.9,1.2
31619,Robbery,E01003981,Southwark,73.6,65.8,1.12
32052,Robbery,E01004482,Wandsworth,23.4,65.8,0.36
28901,Robbery,E01000957,Camden,37.5,65.6,0.57
30576,Robbery,E01002819,Kensington and Chelsea,58.0,65.5,0.89
28814,Robbery,E01000862,Camden,54.3,65.3,0.83
31902,Robbery,E01004324,Tower Hamlets,31.8,65.2,0.49
32240,Robbery,E01004693,Westminster,42.4,65.2,0.65
31582,Robbery,E01003932,Southwark,69.8,65.2,1.07
30963,Robbery,E01003251,Lewisham,45.1,65.2,0.69
31458,Robbery,E01003789,Redbridge,38.9,65.0,0.6
31612,Robbery,E01003972,Southwark,49.2,64.9,0.76
32238,Robbery,E01004691,Westminster,65.3,64.8,1.01
30608,Robbery,E01002854,Kensington and Chelsea,57.4,64.8,0.89
