,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
35758,Newham,Theft,E01003517,7660,198.9,4.584739868484811e-06,33932.34,0.248
29167,Kingston upon Thames,Drug Offences,E01002968,5874,310.9,3.5648179094398433e-06,50427.98,0.247
27683,Islington,Theft,E01035652,5084,602.7,1.454374853730794e-06,104267.1,0.247
42949,Tower Hamlets,Theft,E01032771,6160,469.3,2.050926910674684e-06,75979.67,0.247
28635,Kensington and Chelsea,Theft,E01002831,6992,300.3,3.946336142598489e-06,47477.43,0.246
15183,Enfield,Violence Against the Person,E01001468,2774,364.1,2.3808706377271524e-06,91826.02,0.245
13517,Ealing,Violence Against the Person,E01034030,3668,466.7,2.710151245762892e-06,74531.99,0.245
28687,Kensington and Chelsea,Theft,E01002884,5628,307.3,2.953927550637718e-06,49168.0,0.245
5959,Brent,Theft,E01033941,5960,139.6,6.468698446899141e-06,22000.96,0.245
11159,Croydon,Theft,E01034150,5248,513.7,1.5478908226042263e-06,132123.64,0.244
9359,Camden,Violence Against the Person,E01000919,2918,389.5,2.8814061409495827e-06,61696.8,0.244
8157,Bromley,Violence Against the Person,E01034386,2448,432.3,2.177974696407588e-06,89356.41,0.243
19365,Hammersmith and Fulham,Violence Against the Person,E01001890,3364,332.6,2.9747798108143567e-06,60632.98,0.242
16872,Greenwich,Violence Against the Person,E01034187,2518,371.2,2.8264188204875465e-06,69377.28,0.239
27831,Islington,Violence Against the Person,E01002712,2740,336.0,3.39781746427821e-06,65184.0,0.239
28662,Kensington and Chelsea,Theft,E01002859,4956,361.9,2.7947736190608526e-06,59062.08,0.239
47347,Westminster,Robbery,E01004761,2434,250.9,5.105829550254025e-06,39893.1,0.238
46447,Wandsworth,Violence Against the Person,E01004570,4000,206.0,6.472491909385113e-06,32506.8,0.238
27935,Islington,Violence Against the Person,E01035652,2542,371.9,3.106895797787662e-06,62367.63,0.238
37405,Redbridge,Theft,E01003689,8920,599.7,1.729546942981761e-06,111184.38,0.235
31397,Lambeth,Violence Against the Person,E01003013,3868,484.2,1.775207674711315e-06,119645.82,0.235
2587,Barnet,Theft,E01000164,6864,210.4,5.437262354933568e-06,32675.12,0.234
895,Barking and Dagenham,Theft,E01034473,5176,590.1,1.9491988186654452e-06,88160.94,0.232
19373,Hammersmith and Fulham,Violence Against the Person,E01001898,4200,391.6,3.1544793587968042e-06,70135.56,0.232
11610,Croydon,Violence Against the Person,E01034143,2622,331.6,3.294632091844248e-06,58394.76,0.23
31419,Lambeth,Violence Against the Person,E01003035,3342,368.6,3.487207309013554e-06,55806.04,0.23
19416,Hammersmith and Fulham,Violence Against the Person,E01001943,4450,484.3,2.3560306422235366e-06,87755.16,0.229
46738,Westminster,Burglary,E01004734,3398,320.4,3.6570665962286384e-06,47419.2,0.229
25228,Hillingdon,Violence Against the Person,E01034602,2716,309.3,4.181485065711097e-06,46023.84,0.229
28910,Kensington and Chelsea,Violence Against the Person,E01002906,3570,340.6,3.27546975804629e-06,58481.02,0.228
8916,Camden,Robbery,E01000863,2958,212.4,3.3158461135713766e-06,34005.24,0.228
46762,Westminster,Burglary,E01004763,4062,333.1,3.4841531967387793e-06,49198.87,0.227
9297,Camden,Violence Against the Person,E01000855,2654,311.0,3.7103313311408422e-06,54082.9,0.227
14904,Enfield,Theft,E01001559,8508,300.3,3.990375820059142e-06,46876.83,0.227
3189,Barnet,Violence Against the Person,E01033913,3050,255.4,4.5930967969015225e-06,43085.98,0.227
35883,Newham,Theft,E01034205,6260,446.4,3.0485429338144958e-06,65040.48,0.225
46740,Westminster,Burglary,E01004736,3094,263.5,5.105189337662996e-06,38866.25,0.225
6262,Brent,Violence Against the Person,E01000601,2784,321.2,3.939771313373866e-06,51745.32,0.223
11817,Ealing,Arson and Criminal Damage,E01034030,1834,227.7,3.8354560070108456e-06,32515.56,0.222
24888,Hillingdon,Theft,E01034602,5432,398.8,2.7797678753723765e-06,57865.88,0.222
20777,Haringey,Violence Against the Person,E01002026,3560,333.1,3.1433768391461744e-06,50664.51,0.219
31164,Lambeth,Theft,E01003144,6284,155.8,6.505445379802441e-06,21921.06,0.219
40062,Southwark,Theft,E01003934,7992,345.7,3.502774344397285e-06,60082.66,0.218
47571,Westminster,Vehicle Offences,E01004734,5097,193.2,5.9959062710098426e-06,31607.52,0.218
46161,Wandsworth,Theft,E01035495,5328,381.4,3.174905848960776e-06,58087.22,0.217
7691,Bromley,Theft,E01000779,4164,229.3,5.188461767971149e-06,39691.83,0.217
23637,Havering,Violence Against the Person,E01032741,2968,395.4,3.574439385552297e-06,62473.2,0.217
16846,Greenwich,Violence Against the Person,E01033735,2540,352.5,3.1329016380761562e-06,51253.5,0.216
42174,Tower Hamlets,Drug Offences,E01035668,4142,161.6,5.825270023692888e-06,23335.04,0.216
28637,Kensington and Chelsea,Theft,E01002833,4864,362.8,3.528114663726571e-06,55907.48,0.216
47674,Westminster,Violence Against the Person,E01004714,3334,367.5,3.7800453454995655e-06,56742.0,0.215
17006,Hackney,Arson and Criminal Damage,E01033699,1409,190.0,6.179824577151219e-06,26296.0,0.215
9353,Camden,Violence Against the Person,E01000913,3258,256.6,4.534572992479578e-06,43262.76,0.215
28827,Kensington and Chelsea,Violence Against the Person,E01002819,2212,224.4,5.798469114857253e-06,34759.56,0.214
19414,Hammersmith and Fulham,Violence Against the Person,E01001941,3092,398.4,4.084760095442707e-06,57409.44,0.213
47656,Westminster,Violence Against the Person,E01004695,2112,265.4,4.420999745253153e-06,38695.32,0.213
42874,Tower Hamlets,Theft,E01004234,10288,106.9,6.874248296652356e-06,14688.06,0.213
6304,Brent,Violence Against the Person,E01033455,2228,279.9,5.685704069803662e-06,38906.1,0.213
