,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
9875,E01000942,Theft,Camden,997,1755.9,1310076.99,1.166,0.8576329331046313
49057,E01004717,Theft,Westminster,1274,1742.1,1134107.1,1.017,0.9832841691248771
54282,E01035669,Theft,Tower Hamlets,1347,1738.1,1146624.57,1.023,0.9775171065493647
8940,E01000851,Theft,Camden,1472,1727.5,1185065.0,1.043,0.9587727708533078
22228,E01002129,Theft,Harrow,2691,1662.2,903904.36,0.788,1.2690355329949239
50432,E01033327,Theft,Lewisham,2169,1608.0,846612.0,0.763,1.310615989515072
46373,E01004455,Theft,Waltham Forest,1799,1605.1,1652289.94,1.425,0.7017543859649122
47407,E01004551,Theft,Wandsworth,1551,1596.7,953708.91,0.733,1.364256480218281
45757,E01004397,Theft,Waltham Forest,2896,1596.1,697655.31,0.644,1.5527950310559007
53589,E01034602,Theft,Hillingdon,1358,1595.3,921285.75,0.889,1.124859392575928
53886,E01035495,Theft,Wandsworth,1332,1525.8,925092.54,0.868,1.1520737327188941
48870,E01004699,Theft,Westminster,1745,1520.0,880688.0,0.746,1.3404825737265416
19764,E01001898,Theft,Hammersmith and Fulham,2100,1488.5,681286.45,0.658,1.519756838905775
8995,E01000858,Theft,Camden,1992,1483.3,1458973.88,1.073,0.9319664492078286
24659,E01002356,Theft,Havering,2107,1474.9,700577.5,0.645,1.5503875968992247
41654,E01003981,Theft,Southwark,1514,1462.4,1001159.04,0.805,1.2422360248447204
28300,E01002711,Theft,Islington,2052,1455.1,927189.72,0.997,1.0030090270812437
51422,E01033874,Theft,Southwark,1143,1452.3,1175201.16,1.091,0.9165902841429882
29565,E01002833,Theft,Kensington and Chelsea,1216,1451.2,890166.08,0.866,1.1547344110854503
29840,E01002859,Theft,Kensington and Chelsea,1239,1447.6,940505.72,0.955,1.0471204188481675
44569,E01004277,Theft,Tower Hamlets,1578,1430.7,637662.99,0.672,1.488095238095238
30170,E01002889,Theft,Kensington and Chelsea,1566,1423.3,596647.36,0.64,1.5625
49233,E01004733,Theft,Westminster,2116,1413.6,1131586.8,1.215,0.8230452674897119
53138,E01034394,Theft,Lewisham,1248,1408.4,600823.44,0.656,1.524390243902439
51059,E01033735,Theft,Greenwich,1270,1400.2,697579.64,0.685,1.4598540145985401
31963,E01003055,Theft,Lambeth,1618,1384.8,689214.96,0.711,1.4064697609001406
41247,E01003934,Theft,Southwark,1998,1382.9,957381.67,0.873,1.145475372279496
18356,E01001760,Theft,Hackney,1925,1372.7,668093.09,0.715,1.3986013986013988
42512,E01004067,Theft,Southwark,2212,1371.9,530376.54,0.591,1.6920473773265652
39630,E01003783,Theft,Redbridge,2549,1366.4,777754.88,0.811,1.2330456226880393
49365,E01004748,Theft,Westminster,1234,1365.2,1757148.92,1.942,0.5149330587023687
36242,E01003456,Theft,Merton,1610,1355.9,653679.39,0.618,1.6181229773462784
47990,E01004609,Theft,Wandsworth,2194,1330.1,553587.62,0.59,1.6949152542372883
54711,E01035708,Theft,Camden,1930,1327.6,1377517.76,1.175,0.851063829787234
29587,E01002835,Theft,Kensington and Chelsea,1404,1322.3,685215.86,0.794,1.2594458438287153
49002,E01004712,Theft,Westminster,1494,1321.4,902119.78,1.034,0.9671179883945841
9996,E01000956,Theft,Camden,1515,1297.6,710046.72,0.84,1.1904761904761905
26243,E01002505,Theft,Hillingdon,1775,1265.9,588770.09,0.72,1.3888888888888888
19324,E01001857,Theft,Hammersmith and Fulham,1551,1265.6,583315.04,0.635,1.574803149606299
44019,E01004208,Theft,Tower Hamlets,1977,1263.4,584448.84,0.691,1.4471780028943562
51356,E01033868,Theft,Southwark,1398,1245.1,844675.84,1.057,0.946073793755913
53039,E01034385,Theft,Bromley,1439,1235.7,1431805.59,1.803,0.5546311702717693
30115,E01002884,Theft,Kensington and Chelsea,1407,1229.1,782936.7,0.979,1.0214504596527068
31534,E01003016,Theft,Lambeth,1214,1224.4,641585.6,0.799,1.2515644555694618
26386,E01002521,Theft,Hillingdon,2055,1219.1,485689.44,0.585,1.7094017094017095
14341,E01001361,Theft,Ealing,2271,1212.2,510093.76,0.651,1.5360983102918586
15078,E01001429,Theft,Enfield,2294,1209.8,463111.44,0.501,1.996007984031936
47418,E01004552,Theft,Wandsworth,1964,1201.6,585659.84,0.744,1.3440860215053763
29543,E01002831,Theft,Kensington and Chelsea,1748,1201.4,756161.16,0.983,1.017293997965412
16453,E01001559,Theft,Enfield,2127,1201.4,746309.68,0.908,1.1013215859030836
51290,E01033862,Theft,Lambeth,1422,1199.2,628140.96,0.794,1.2594458438287153
6278,E01000601,Theft,Brent,1392,1195.1,615835.03,0.746,1.3404825737265416
54128,E01035655,Theft,Islington,1747,1137.4,535829.14,0.691,1.4471780028943562
