,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
18801,Hammersmith and Fulham,E01001899,Theft,6544,496.7,134.2,3.7
38562,Richmond upon Thames,E01003876,Theft,7508,522.6,134.0,3.9
33194,Lewisham,E01033327,Theft,8676,402.0,131.4,3.06
32645,Lewisham,E01003304,Theft,8880,130.0,131.0,0.99
29851,Lambeth,E01003016,Theft,4856,306.1,130.8,2.34
31538,Lambeth,E01033862,Theft,5688,299.8,130.7,2.29
19178,Hammersmith and Fulham,E01001941,Theft,6184,256.7,130.4,1.97
47225,Westminster,E01004727,Theft,6192,255.0,129.8,1.96
28151,Kensington and Chelsea,E01002835,Theft,5616,330.6,129.3,2.56
5730,Brent,E01000601,Theft,5568,298.8,128.6,2.32
40692,Sutton,E01004089,Theft,4059,71.0,128.2,0.55
24233,Hillingdon,E01002457,Theft,4788,143.5,127.2,1.13
36196,Newham,E01034222,Theft,5920,95.9,126.2,0.76
28434,Kensington and Chelsea,E01002865,Theft,5780,168.1,125.3,1.34
16531,Greenwich,E01033735,Theft,5080,350.0,124.3,2.82
7928,Bromley,E01000824,Theft,4188,62.5,124.3,0.5
30229,Lambeth,E01003055,Theft,6472,346.2,124.2,2.79
27403,Islington,E01002770,Theft,7576,253.2,124.1,2.04
46829,Westminster,E01004682,Theft,5168,276.6,123.8,2.23
30092,Lambeth,E01003041,Theft,6188,278.2,123.3,2.26
27014,Islington,E01002726,Theft,6856,232.9,122.9,1.9
35316,Newham,E01003569,Theft,9900,206.1,122.5,1.68
45531,Wandsworth,E01004552,Theft,7856,300.4,121.6,2.47
17291,Hackney,E01001760,Theft,7700,343.2,121.4,2.83
34245,Merton,E01003456,Theft,6440,339.0,120.3,2.82
34838,Newham,E01003520,Theft,8028,184.9,120.0,1.54
40383,Southwark,E01033867,Theft,6204,216.6,119.8,1.81
29949,Lambeth,E01003026,Theft,6144,115.0,118.7,0.97
23260,Havering,E01002356,Theft,8428,368.7,118.5,3.11
27927,Islington,E01035655,Theft,6988,284.4,117.5,2.42
42411,Tower Hamlets,E01004293,Theft,8124,218.4,116.8,1.87
24660,Hillingdon,E01002505,Theft,7100,316.5,116.0,2.73
27848,Islington,E01033490,Theft,5624,223.2,116.0,1.92
12684,Ealing,E01001310,Theft,8736,105.1,115.8,0.91
26854,Islington,E01002710,Theft,6440,98.2,115.8,0.85
11577,Croydon,E01034148,Theft,6536,157.4,115.5,1.36
41814,Tower Hamlets,E01004208,Theft,7908,315.8,115.4,2.74
18401,Hammersmith and Fulham,E01001857,Theft,6204,316.4,115.0,2.75
7597,Bromley,E01000786,Theft,2938,176.8,114.8,1.54
10207,Croydon,E01001062,Theft,4548,145.4,114.7,1.27
9753,Croydon,E01001010,Theft,6860,209.6,114.3,1.83
18791,Hammersmith and Fulham,E01001898,Theft,8400,372.1,114.2,3.26
46887,Westminster,E01004691,Theft,4828,261.7,113.6,2.3
27838,Islington,E01033489,Theft,5684,216.3,113.2,1.91
8888,Camden,E01000921,Theft,7468,153.8,113.0,1.36
40948,Sutton,E01004119,Theft,2924,161.3,113.0,1.43
6571,Bromley,E01000672,Theft,3348,104.5,111.7,0.94
22445,Havering,E01002269,Theft,3728,141.4,111.5,1.27
42305,Tower Hamlets,E01004277,Theft,6312,357.7,111.2,3.22
20679,Haringey,E01002093,Theft,5421,135.1,111.0,1.22
13049,Ealing,E01001348,Theft,6720,155.3,110.2,1.41
46457,Wandsworth,E01035491,Theft,4844,202.6,110.2,1.84
20069,Haringey,E01002029,Theft,8552,246.7,109.4,2.26
44033,Waltham Forest,E01004397,Theft,11584,399.0,109.0,3.66
12847,Ealing,E01001327,Theft,5769,145.4,108.6,1.34
30933,Lambeth,E01003129,Theft,7156,61.5,108.3,0.57
820,Barking and Dagenham,E01000095,Theft,8916,216.4,108.1,2.0
40335,Southwark,E01032640,Theft,4020,160.8,108.0,1.49
42639,Tower Hamlets,E01004322,Theft,4128,280.7,107.5,2.61
39101,Southwark,E01003935,Theft,5164,215.4,107.5,2.0
30688,Lambeth,E01003102,Theft,7084,254.6,106.7,2.39
33280,Lewisham,E01034394,Theft,4992,352.1,106.4,3.31
9055,Camden,E01000939,Theft,5784,248.5,106.4,2.34
15277,Enfield,E01033927,Theft,6588,192.2,106.4,1.81
8261,Camden,E01000853,Theft,5720,268.2,105.8,2.53
47110,Westminster,E01004715,Theft,7416,248.0,105.7,2.35
27083,Islington,E01002734,Theft,9452,208.2,105.5,1.97
28600,Kensington and Chelsea,E01002882,Theft,4272,134.7,105.5,1.28
19956,Haringey,E01002017,Theft,6400,118.8,105.2,1.13
18248,Hackney,E01035641,Theft,5612,278.7,105.1,2.65
25950,Hounslow,E01002630,Theft,8264,70.9,105.1,0.67
13174,Ealing,E01001361,Theft,9084,303.1,104.9,2.89
11362,Croydon,E01001183,Theft,7192,148.4,104.6,1.42
28668,Kensington and Chelsea,E01002889,Theft,6264,355.8,104.5,3.4
34476,Merton,E01034581,Theft,5996,280.2,104.0,2.69
46023,Wandsworth,E01004609,Theft,8776,332.5,103.8,3.2
14685,Enfield,E01001513,Theft,7920,226.3,103.8,2.18
27711,Islington,E01002801,Theft,5816,222.4,103.6,2.15
7019,Bromley,E01000722,Theft,5652,107.5,103.3,1.04
40126,Southwark,E01004059,Theft,8200,102.4,102.7,1.0
26017,Hounslow,E01002637,Theft,7760,213.3,102.7,2.08
28346,Kensington and Chelsea,E01002856,Theft,5680,143.0,102.7,1.39
9840,Croydon,E01001020,Theft,1625,76.4,102.3,0.75
6608,Bromley,E01000677,Theft,7596,217.8,102.2,2.13
357,Barking and Dagenham,E01000045,Theft,6916,135.8,102.1,1.33
22519,Havering,E01002277,Theft,3244,133.3,101.9,1.31
