,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
20198,Haringey,Public Order Offences,E01002034,7413,51.2,0.00012065430346149958,1920.0,0.044
2140,Barnet,Public Order Offences,E01000141,5583,52.5,9.667532587560534e-05,1905.75,0.05
37192,Redbridge,Public Order Offences,E01033589,5790,49.4,8.371891474835936e-05,1901.9,0.058
17693,Hackney,Public Order Offences,E01001830,5751,50.4,0.00010373376190591285,1895.04,0.054
32585,Lewisham,Public Order Offences,E01033327,8676,54.0,0.00010711110635061749,1890.0,0.047
47227,Westminster,Public Order Offences,E01004765,7448,49.8,0.00012463185308496863,1847.58,0.05
27349,Islington,Public Order Offences,E01002734,7089,51.8,0.0001052717569350928,1844.08,0.051
42597,Tower Hamlets,Public Order Offences,E01004309,8529,51.5,9.200646879080775e-05,1828.25,0.05
32528,Lewisham,Public Order Offences,E01003303,5229,49.9,0.00013098697242868316,1751.49,0.05
24536,Hillingdon,Public Order Offences,E01002521,8220,49.3,0.00013894523890244377,1636.76,0.042
5470,Brent,Public Order Offences,E01000524,7152,49.0,0.00014595919272889686,1621.9,0.044
8839,Camden,Public Order Offences,E01000918,5415,50.7,0.00013350591197554704,1607.19,0.046
27327,Islington,Public Order Offences,E01002711,6156,43.7,0.00015652173640831761,1472.69,0.048
27321,Islington,Public Order Offences,E01002704,7023,45.7,0.00013970558445132726,1471.54,0.046
20193,Haringey,Public Order Offences,E01002029,8552,44.0,0.00016196970712961496,1386.0,0.04
30738,Lambeth,Public Order Offences,E01003076,7980,38.9,0.00018649218457877478,1229.24,0.043
12541,Ealing,Public Order Offences,E01001202,7437,40.2,0.00018500001387500105,1105.5,0.041
21522,Harrow,Public Order Offences,E01002129,10764,37.3,0.00016975239745554735,1096.62,0.036
30849,Lambeth,Public Order Offences,E01032582,9124,38.5,0.0001974891622884965,1047.2,0.035
26041,Hounslow,Public Order Offences,E01002641,8184,33.6,0.0002706348959341167,819.84,0.034
42644,Tower Hamlets,Public Order Offences,E01035670,13140,25.8,0.0003917710834546844,516.0,0.026
