,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
23555,Havering,Violence Against the Person,E01002309,3528,74.9,5.2336448206830295e-05,4261.81,0.08
44719,Waltham Forest,Violence Against the Person,E01004422,5256,83.7,5.232974921647975e-05,4469.58,0.077
16782,Greenwich,Violence Against the Person,E01001644,5310,78.2,5.223293444260069e-05,3636.3,0.064
25186,Hillingdon,Violence Against the Person,E01002508,4406,84.4,5.220379086179949e-05,4591.36,0.078
11583,Croydon,Violence Against the Person,E01001173,5516,81.3,5.219036707781542e-05,4251.99,0.072
15125,Enfield,Violence Against the Person,E01001409,4100,78.9,5.1964513226059876e-05,4434.18,0.078
37731,Redbridge,Violence Against the Person,E01003686,4054,78.1,5.190780923921631e-05,4311.12,0.08
44649,Waltham Forest,Violence Against the Person,E01004352,3834,74.0,5.181081116508473e-05,3959.0,0.082
23590,Havering,Violence Against the Person,E01002344,3952,84.8,5.178197035678968e-05,4876.0,0.081
44695,Waltham Forest,Violence Against the Person,E01004398,4070,78.9,5.1584284930130894e-05,4465.74,0.086
36198,Newham,Violence Against the Person,E01003587,4988,80.7,5.15076415449305e-05,3825.18,0.071
33246,Lewisham,Violence Against the Person,E01003326,3650,78.8,5.1466441024064834e-05,4137.0,0.076
15113,Enfield,Violence Against the Person,E01001397,4280,75.7,5.139906454730505e-05,4163.5,0.071
46519,Wandsworth,Violence Against the Person,E01004645,4282,83.4,5.1342925560972805e-05,4336.8,0.078
3089,Barnet,Violence Against the Person,E01000226,3500,68.2,5.1319648846329165e-05,3648.7,0.08
13365,Ealing,Violence Against the Person,E01001243,4734,76.9,5.130039051396271e-05,4029.56,0.078
44702,Waltham Forest,Violence Against the Person,E01004405,3452,84.2,5.124702985026745e-05,4622.58,0.084
25167,Hillingdon,Violence Against the Person,E01002487,3828,74.8,5.117647028719723e-05,3829.76,0.075
