,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2014-03-01,3805.0886,8.244357109069824,8.404900799662414,-0.16054369059258988,0.12094685238683134,-0.2814905429794212,-1.2830997491082508,Train,-1.2636669874191284,-0.019432761689122335,-0.2772273213216643,-0.004263221657756944,-0.15628046893483294,-0.004263221657756944,8.248620330727581,-0.004263221657756944,3803.4970396975577,1.5915833493172613
2014-04-01,3282.5989,8.096694946289062,8.397961670215242,-0.3012667239261795,0.051745572962383884,-0.3530122968885634,-1.6091126358122683,Train,-1.2728195190429688,-0.3362931167692995,-0.279235233097987,-0.07377706379057641,-0.2274896601356031,-0.07377706379057639,8.170472010079639,-0.07377706379057614,3517.502517333578,-234.903640380453
2014-05-01,3203.0896,8.072183609008789,8.39102254076807,-0.3188389317592808,0.0454029861687791,-0.3642419179280599,-1.6602998756600098,Train,-1.2880659103393555,-0.37223396532065434,-0.28258003537659343,-0.08166188255146645,-0.23717704920781432,-0.08166188255146647,8.153845491560256,-0.081661882551467,3459.485715298352,-256.3961156889768
2014-06-01,2975.92,7.9986443519592285,8.384083411320898,-0.3854390593616692,0.008284852347586616,-0.39372391170925586,-1.7946857005743093,Train,-1.2832049131393433,-0.511480787434966,-0.2815136142022429,-0.11221029750701295,-0.2732287618546563,-0.11221029750701295,8.11085464946624,-0.11221029750701206,3313.8690389685526,-337.94911709355256
2014-07-01,3214.448,8.075721740722656,8.377144281873724,-0.3014225411510676,0.105324429131593,-0.4067469702826606,-1.8540478482731018,Train,-1.2263538837432861,-0.6276939645298156,-0.2690414528252672,-0.1377055174573934,-0.1637170236936742,-0.1377055174573934,8.21342725818005,-0.1377055174573929,3671.9337365320134,-457.4857384851384
2014-08-01,2987.2786,8.002452850341797,8.370205152426552,-0.36775230208475485,0.02354970071608066,-0.3913020028008355,-1.7836460731684807,Train,-1.1462186574935913,-0.6374274156748894,-0.2514611295772246,-0.13984087322361088,-0.22791142886114396,-0.13984087322361088,8.142293723565407,-0.13984087322361027,3419.740990059661,-432.4624256065358
2014-09-01,3623.353,8.195430755615234,8.36326602297938,-0.16783526736414522,-0.0670402154033809,-0.10079505196076433,-0.4594474276589274,Train,-1.1029335260391235,0.6434860983801962,-0.24196509845063308,0.14117004648986875,-0.309005313854014,0.14117004648986875,8.054260709125366,0.14117004648986864,3131.4773494076735,491.8756779360765
2014-10-01,4327.5786,8.372994422912598,8.356326893532207,0.016667529380390178,0.13783556813467257,-0.12116803875428239,-0.552312267687531,Train,-0.8975163698196411,0.34520410213211006,-0.19690002312683424,0.07573198437255185,-0.059064454992161675,0.07573198437255185,8.297262438540045,0.07573198437255257,3993.1304914934112,334.4481217878388
2014-11-01,4123.126,8.324609756469727,8.349387764085035,-0.024778007615308795,0.18038203553350485,-0.20516004314881364,-0.9351674734967039,Train,-0.7674657702445984,-0.16770170325210554,-0.16836910500092822,-0.03679093814788542,0.012012930532576627,-0.03679093814788542,8.361400694617611,-0.03679093814788459,4257.70090722553,-134.5749306630296
2014-12-01,5622.4443,8.634699821472168,8.342448634637863,0.29225118683430473,0.30760548390462783,-0.015354297070323097,-0.06998847815681465,Train,-0.7204859256744385,0.6504974475176238,-0.15806251584733044,0.14270821877700735,0.1495429680572974,0.14270821877700735,8.49199160269516,0.1427082187770079,4851.796178635121,770.6481573023793
2015-01-01,5247.6147,8.565719604492188,8.33550950519069,0.23021009930149816,0.1793647360706121,0.050845363230886065,0.23176506078798262,Train,-0.5577551126480103,0.7895201734359929,-0.12236210755863132,0.17320747078951737,0.05700262851198078,0.17320747078951737,8.39251213370267,0.17320747078951726,4392.277806772395,855.3369393213552
2015-02-01,3680.1455,8.210979461669922,8.328570375743517,-0.11759091407359534,0.0974195118800889,-0.21501042595368425,-0.9800678228007077,Train,-0.3791978657245636,-0.6008699570761441,-0.08318964538308839,-0.13182078057059587,0.014229866497000518,-0.13182078057059587,8.342800242240518,-0.13182078057059599,4179.219303203104,-499.07379539060366
2015-03-01,4350.2954,8.378229141235352,8.321631246296345,0.056597894939006466,0.12094685238683134,-0.06434895744782487,-0.2933176023704559,Train,-0.41617724299430847,0.12285964062385257,-0.09130229990892381,0.026953342461098942,0.029644552477907524,0.026953342461098942,8.351275798774253,0.026953342461098373,4214.799556462596,135.49585369365377
2015-04-01,4191.277,8.340999603271484,8.314692116849173,0.0263074864223114,0.051745572962383884,-0.025438086540072485,-0.11595274964440687,Train,-0.36580970883369446,0.24985695918928758,-0.0802525085351359,0.05481442199506341,-0.02850693557275201,0.05481442199506341,8.286185181276421,0.054814421995063256,3949.1306293094503,242.14622615929966
2015-05-01,4043.6165,8.305142402648926,8.307752987402,-0.0026105847530750736,0.0454029861687791,-0.048013570921854175,-0.21885708895067962,Train,-0.29748013615608215,0.07862304720540253,-0.06526214747556859,0.017248576553714416,-0.01985916130678949,0.017248576553714416,8.287893826095212,0.01724857655371359,3955.8857689665047,87.73068611162034
2015-06-01,3464.3345,8.150564193725586,8.300813857954829,-0.1502496642292428,0.008284852347586616,-0.1585345165768294,-0.7226374154232195,Train,-0.25277918577194214,-0.4698582296512773,-0.055455509446005566,-0.10307900713082384,-0.04717065709841895,-0.10307900713082385,8.25364320085641,-0.10307900713082319,3822.6546069420656,-358.3201342858156
2015-07-01,3680.1455,8.210979461669922,8.293874728507655,-0.08289526683773296,0.105324429131593,-0.18821969596932597,-0.8579494078887366,Train,-0.30301031470298767,-0.554939093185749,-0.06647537580253496,-0.12174432016679101,0.03884905332905804,-0.121744320166791,8.332723781836712,-0.12174432016679049,4137.308997297305,-457.1634894848048
2015-08-01,3793.7302,8.241368293762207,8.286935599060483,-0.045567305298275684,0.02354970071608066,-0.06911700601435634,-0.3150514832131233,Train,-0.38924774527549744,0.07419626206237412,-0.08539442022903178,0.016277414214675434,-0.06184471951295112,0.016277414214675434,8.225090879547531,0.016277414214675545,3715.0242521703103,78.70597243906468
