,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal,Purpose
2010-04-01,142.75517,4.968111515045166,4.920229581991832,0.047881933053334436,-0.20448535900210865,0.25236729205544306,0.37738517721775633,0.37738517721775633,0.0,0.25236729205544306,0.0,0.04788193305333441,2.7755575615628914e-17,4.968111515045166,0.0,161.75769357897076,-19.00252084947857,Train
2010-05-01,214.13277,5.371255397796631,4.929610397210761,0.4416450005858694,-0.06979626417160034,0.5114412647574698,0.7647993952186496,0.7647993952186496,0.0,0.5114412647574698,0.0,0.4416450005858694,0.0,5.371255397796631,0.0,242.57050164632878,-28.437734922695967,Train
2010-06-01,142.75517,4.968111515045166,4.938991212429692,0.029120302615473825,-0.09449906924470741,0.12361937186018124,0.18485802251566386,0.18485802251566386,0.0,0.12361937186018124,0.0,0.029120302615473825,0.0,4.968111515045166,0.0,161.75769357897076,-19.00252084947857,Train
2010-07-01,190.34024,5.254053115844727,4.948372027648622,0.3056810881961045,-0.13822283322106985,0.4439039214171744,0.6638053556277568,0.3332011784724955,0.3306041771552613,0.2228203019014325,0.22108361951574187,0.08459746868036266,0.22108361951574185,5.032969496328985,0.22108361951574196,172.66367624698617,17.676564231529454,Train
2010-08-01,118.96265,4.787180423736572,4.957752842867553,-0.17057241913098053,-0.04877151800787112,-0.12180090112310941,-0.18213871647649466,0.5546563509452602,-0.7367950674217549,0.37091314063095837,-0.4927140417540678,0.32214162262308726,-0.4927140417540678,5.27989446549064,-0.4927140417540681,221.30393070363186,-102.34128421925686,Train
2010-09-01,118.96265,4.787180423736572,4.967133658086483,-0.1799532343499104,-0.3568871715391239,0.17693393718921352,0.26458359440381596,0.14749963722231263,0.11708395718150333,0.09863684710509041,0.07829709008412311,-0.2582503244340335,0.07829709008412311,4.708883333652449,0.07829709008412333,124.59147417443295,-5.628827690057946,Train
2010-10-01,95.17012,4.5661187171936035,4.9765144733054125,-0.410395756111809,0.22570362738601116,-0.6360993834978201,-0.9512107397684972,0.30614444307580146,-1.2573551828442988,0.20472675860366715,-0.8408261421014873,0.4304303859896783,-0.8408261421014873,5.406944859295091,-0.8408261421014878,251.42038614368877,-156.25026590443096,Train
2010-11-01,118.96265,4.787180423736572,4.985895288524343,-0.198714864787771,0.1984344829212534,-0.39714934770902444,-0.5938894685851741,-0.17284103772855886,-0.42104843085661525,-0.1155833013082018,-0.2815660464008226,0.0828511816130516,-0.2815660464008226,5.068746470137395,-0.2815660464008225,178.98931849558574,-60.026672011210735,Train
2010-12-01,142.75517,4.968111515045166,4.995276103743273,-0.027164588698107117,0.5994784637200566,-0.6266430524181638,-0.9370699248028959,-0.13339956841530587,-0.80367035638759,-0.08920776404238578,-0.537435288375778,0.5102706996776709,-0.537435288375778,5.505546803420944,-0.5374352883757778,277.5779300083856,-134.8227572788934,Train
2011-01-01,166.5477,5.121268272399902,5.004656918962204,0.11661135343769846,0.10101877998195029,0.015592573455748174,0.023316833369934665,-0.2891300888875825,0.3124469222575172,-0.19334881704218557,0.20894139049793375,-0.09233003706023528,0.20894139049793375,4.9123268819019685,0.2089413904979338,152.92691613274792,13.620782841861455,Train
2011-02-01,214.13277,5.371255397796631,5.014037734181134,0.3572176636154971,-0.042768558508020374,0.3999862221235175,0.5981316758258128,0.06278527273688914,0.5353464030889237,0.041986146298555876,0.3580000758249616,-0.0007824122094644975,0.3580000758249616,5.013255321971669,0.35800007582496196,169.2735666557939,44.85920006783891,Train
2011-03-01,166.5477,5.121268272399902,5.023418549400064,0.09784972299983874,-0.1356835711007741,0.23353329410061283,0.34922118021952026,0.3174253245467722,0.03179585567274806,0.21227057770598604,0.02126271639462679,0.07658700660521195,0.02126271639462679,5.100005556005276,0.021262716394626402,184.70448005678242,-18.15678108217304,Train
2011-04-01,166.5477,5.121268272399902,5.032799364618994,0.08846890778090799,-0.20448535900210865,0.2929542667830166,0.4380781557949205,0.15624712107895117,0.2818310347159693,0.10448651727357391,0.1884677495094427,-0.09999884172853474,0.18846774950944273,4.932800522890459,0.18846774950944312,156.1108426196062,10.436856355003187,Train
2011-05-01,261.71783,5.571080684661865,5.042180179837924,0.528900504823941,-0.06979626417160034,0.5986967689955414,0.8952795920060966,0.13847681814524315,0.7568027738608535,0.09260305310720818,0.5060937158883332,0.022806788935607836,0.5060937158883332,5.064986968773532,0.5060937158883334,178.31391878578557,83.40391568687068,Train
2011-06-01,166.5477,5.121268272399902,5.051560995056855,0.06970727734304738,-0.09449906924470741,0.1642063465877548,0.24555100109282807,0.31049889903276673,-0.06494789793993866,0.20763869665681417,-0.04343235006905938,0.11313962741210676,-0.04343235006905938,5.1647006224689616,-0.04343235006905921,197.11579040082168,-30.568091426212305,Train
2011-07-01,47.58506,3.8833160400390625,5.060941810275785,-1.1776257702367223,-0.13822283322106985,-1.0394029370156526,-1.5543030889285492,0.14275868872530464,-1.697061777653854,0.095466451429285,-1.1348693884449377,-0.04275638179178484,-1.1348693884449375,5.018185428484,-1.1348693884449377,170.11510621092788,-122.53004609129897,Train
2011-08-01,237.9253,5.476150989532471,5.070322625494715,0.405828364037756,-0.04877151800787112,0.4545998820456271,0.6797998886926675,-0.480434235158399,1.1602341238510665,-0.32127887966223057,0.7758787617078577,-0.37005039767010167,0.7758787617078577,4.700272227824613,0.7758787617078573,123.51463573816868,114.41065723058132,Train
2011-09-01,214.13277,5.371255397796631,5.079703440713645,0.2915519570829854,-0.3568871715391239,0.6484391286221094,0.9696633564393168,0.21449419204659503,0.7551691643927217,0.14343784991106007,0.5050012787110494,-0.21344932162806385,0.5050012787110493,4.866254119085582,0.5050012787110489,145.99596778763222,68.13679893600059,Train
2011-10-01,214.13277,5.371255397796631,5.089084255932575,0.28217114186405556,0.22570362738601116,0.056467514478044406,0.08444043118575512,0.3964413244906849,-0.3120008933049298,0.2651106338044057,-0.2086431193263613,0.4908142611904168,-0.20864311932636126,5.5798985171229925,-0.2086431193263616,299.0801346309816,-84.94736790734879,Train
2011-11-01,190.34024,5.254053115844727,5.098465071151506,0.15558804469322052,0.1984344829212534,-0.042846438228032885,-0.06407173668243629,0.22738713896218987,-0.29145887564462614,0.1520596991413116,-0.19490613736934448,0.350494182062565,-0.19490613736934448,5.448959253214071,-0.1949061373693448,262.2516162285533,-71.91137575003768,Train
2011-12-01,404.473,6.005054473876953,5.107845886370436,0.8972085875065172,0.5994784637200566,0.2977301237864606,0.4452198801718473,0.09402434772737382,0.3511955324444735,0.06287652895689892,0.23485359482956164,0.6623549926769555,0.2348535948295617,5.770200879047391,0.2348535948295618,361.98151726682136,42.49147467653802,Train
2012-01-01,237.9253,5.476150989532471,5.117226701589367,0.35892428794310405,0.10101877998195029,0.25790550796115375,0.38566691838169315,-0.00039163581781076484,0.3860585541995039,-0.00026189706639110223,0.25816740502754487,0.10075688291555919,0.25816740502754487,5.217983584504926,0.2581674050275451,207.9582814610368,29.96701150771321,Train
2012-02-01,71.37759,4.281896591186523,5.1266075168082965,-0.8447109256217731,-0.042768558508020374,-0.8019423671137527,-1.1992091362820612,0.17042192538325798,-1.3696310616653191,0.1139655779088294,-0.9159079450225821,0.07119701940080903,-0.9159079450225821,5.197804536209105,-0.9159079450225818,203.78396076267398,-132.4063743979279,Train
2012-03-01,166.5477,5.121268272399902,5.135988332027226,-0.014720059627324034,-0.1356835711007741,0.12096351147345005,0.18088650015811536,-0.0852653598580051,0.26615186001612046,-0.057019165755631505,0.17798267722908157,-0.1927027368564056,0.17798267722908157,4.943285595170821,0.1779826772290818,157.76682755024336,8.780871424366012,Train
2012-04-01,214.13277,5.371255397796631,5.145369147246157,0.22588625055047373,-0.20448535900210865,0.43037160955258236,0.6435693976730188,0.08955744234302997,0.5540119553299888,0.059889393044392565,0.3704822165081898,-0.1445959659577161,0.3704822165081898,5.000773181288441,0.37048221650819,167.16139766102907,46.97136906260374,Train
2012-05-01,214.13277,5.371255397796631,5.154749962465087,0.21650543533154387,-0.06979626417160034,0.2863016995031442,0.42813003509583986,0.07836436630482302,0.34976566879101684,0.052404291720704314,0.2338974077824399,-0.017391972450896027,0.2338974077824399,5.137357990014191,0.23389740778243961,191.77217039143684,22.360596332195968,Train
2012-06-01,166.5477,5.121268272399902,5.164130777684017,-0.042862505284114505,-0.09449906924470741,0.05163656396059291,0.0772163210314245,0.3497774139634837,-0.2725610929320592,0.23390526208501758,-0.18226869812442467,0.13940619284031017,-0.18226869812442467,5.303536970524327,-0.1822686981244246,226.6223754482098,-60.07467647360042,Train
2012-07-01,95.17012,4.5661187171936035,5.173511592902948,-0.6073928757093441,-0.13822283322106985,-0.4691700424882742,-0.7015878253779474,0.34567937705482893,-1.0472672024327763,0.2311647981245486,-0.7003348406128228,0.09294196490347875,-0.7003348406128228,5.266453557806426,-0.7003348406128227,218.3359549197128,-123.16583468045499,Train
2012-08-01,71.37759,4.281896591186523,5.1828924081218775,-0.900995816935354,-0.04877151800787112,-0.8522242989274829,-1.2743997665488667,-0.39109075701113033,-0.8833090095377363,-0.2615325700454363,-0.5906917288820466,-0.3103040880533074,-0.5906917288820466,4.87258832006857,-0.5906917288820468,146.93002492106848,-75.55243855632239,Train
2012-09-01,0.0,0.0,5.192273223340808,-5.192273223340808,-0.3568871715391239,-4.8353860518016845,-7.230742966780938,-0.5874857502805322,-6.643257216500406,-0.39286701457781126,-4.442519037223873,-0.7497541861169352,-4.442519037223873,4.442519037223873,-4.442519037223873,95.22315974862242,-95.22315974862242,Train
2012-10-01,214.13277,5.371255397796631,5.201654038559738,0.1696013592368928,0.22570362738601116,-0.05610226814911837,-0.08389424887564975,-2.048945143040008,1.9650508941643583,-1.3701829550681934,1.314080686919075,-1.1444793276821823,1.314080686919075,4.057174710877556,1.314080686919075,64.45256934401212,149.6801973796207,Train
2012-11-01,237.9253,5.476150989532471,5.211034853778669,0.2651161357538019,0.1984344829212534,0.06668165283254848,0.0997144565225819,0.082418977296628,0.017295479225953897,0.0551157156401171,0.011565937192431382,0.2535501985613705,0.011565937192431375,5.464585052340039,0.011565937192431264,266.39743965004703,-28.472146681297033,Train
2012-12-01,333.0954,5.811426639556885,5.220415668997599,0.5910109705592861,0.5994784637200566,-0.008467493160770556,-0.01266212582875246,0.03579351579720774,-0.0484556416259602,0.023936055786507,-0.03240354894727755,0.6234145195065637,-0.032403548947277594,5.843830188504162,-0.03240354894727737,389.71610644875267,-56.62070849953392,Train
2013-01-01,285.51035,5.657774448394775,5.2297964842165285,0.42797796417824685,0.10101877998195029,0.32695918419629655,0.48892845291451126,0.206569640203061,0.28235881271145025,0.13813849580221632,0.18882068839408023,0.23915727578416662,0.18882068839408023,5.468953760000695,0.18882068839408017,267.5681763342286,17.942169124755765,Train
2013-02-01,142.75517,4.968111515045166,5.239177299435459,-0.2710657843902933,-0.042768558508020374,-0.22829722588227291,-0.3413912648750692,0.4517488583350528,-0.7931401232101221,0.30209622144584625,-0.5303934473281191,0.2593276629378259,-0.5303934473281191,5.498504962373286,-0.5303934473281195,275.6231193168104,-132.86794658731822,Train
2013-03-01,71.37759,4.281896591186523,5.248558114654389,-0.9666615234678657,-0.1356835711007741,-0.8309779523670916,-1.2426283900102555,-0.6632758224228982,-0.5793525675873573,-0.4435498087783346,-0.387428143588757,-0.5792333798791087,-0.387428143588757,4.66932473477528,-0.38742814358875677,119.72023632369812,-48.34264995895202,Train
2013-04-01,214.13277,5.371255397796631,5.25793892987332,0.11331646792331096,-0.20448535900210865,0.3178018269254196,0.47523471761161395,-0.8501602478427266,1.3253949654543407,-0.5685242890116309,0.8863261159370505,-0.7730096480137395,0.8863261159370505,4.48492928185958,0.8863261159370506,99.39177877165498,114.74098795197783,Train
2013-05-01,261.71783,5.571080684661865,5.26731974509225,0.3037609395696155,-0.06979626417160034,0.3735572037412158,0.558610231883287,0.46775428030635363,0.09085595157693332,0.31279946376946083,0.06075773997175499,0.2430031995978605,0.06075773997175499,5.5103229446901105,0.06075773997175471,278.91164001495036,-17.193805542294115,Train
2013-06-01,237.9253,5.476150989532471,5.27670056031118,0.19945042922129108,-0.09449906924470741,0.2939494984659985,0.439566406043183,0.2684118794767802,0.1711545265664028,0.17949401107500576,0.11445548739099273,0.08499494183029835,0.11445548739099273,5.361695502141478,0.11445548739099287,240.2530878323627,-2.327794863612695,Train
2013-07-01,166.5477,5.121268272399902,5.28608137553011,-0.16481310313020803,-0.13822283322106985,-0.02659026990913818,-0.039762576363198174,-0.37220404822480857,0.3324414718616104,-0.24890253622327188,0.2223122663141337,-0.3871253694443417,0.2223122663141337,4.898956006085768,0.22231226631413392,150.88247688273037,15.665222091879002,Train
