Borough,geometry
Barking and Dagenham,"MULTIPOLYGON (((545613.1500000004 181721.94999999925, 545635.25 181748.34999999963, 545500.4000000004 181866.44999999925, 545473 182080, 545498.9400000004 182213.44999999925, 545345.8304000003 182413.44329999946, 545288.79 182487.94999999925, 545313.75 182718.05000000075, 545230.0499999998 182942.44999999925, 545119.25 182868.69999999925, 545065.8499999996 182931.44999999925, 545000 182950.59999999963, 544926.3737000003 182914.87010000087, 544789.2999999998 182848.34999999963, 544616.75 182968.19999999925, 544458.3563000001 183030.95419999957, 544453.2723000003 183035.9623000007, 544423.5499 183065.2407000009, 544280.4978 183206.15589999966, 544244.0999999996 183242.00999999978, 544163.2643999998 183250.86180000007, 544126.5700000003 183254.88000000082, 544099.7681999998 183342.68989999965, 544099.3587999996 183344.03119999915, 544055.9500000002 183486.25, 544044.7648999998 183500.56790000014, 543997.7394000003 183560.76479999907, 543946.7000000002 183626.09999999963, 543971.8499999996 183691.94999999925, 543902 183742.75, 543749.8420000002 184068.86900000088, 543749.7368999999 184069.0943, 543747.9726999998 184074.68090000004, 543684.6500000004 184275.19999999925, 543631.9000000004 184238.75, 543616.7999999998 184259.69999999925, 543637.3441000003 184425.48090000078, 543642.7000000002 184468.69999999925, 543592.7479999997 184559.87939999998, 543569.7000000002 184601.94999999925, 543596.6500000004 184654.19999999925, 543589.2375999996 184741.8180999998, 543586.9000000004 184769.44999999925, 543598.9395000003 184786.87590000033, 543618.1781000001 184814.72169999965, 543617.7087000003 184826.34410000034, 543617.6931999996 184826.7285999991, 543701.5099 184802.2706000004, 543741.9809999997 184782.57200000063, 543941.8559999997 184816.5460000001, 544109.4809999997 184898.64599999972, 544159.9060000004 184893.76099999994, 544190.5926000001 184845.23460000008, 544288.1825000001 184902.91149999946, 544338.2615999999 184927.98900000006, 544438.1909999996 184975.43700000085, 544435.2254999997 185014.8412999995, 544664.3536 185164.01359999925, 544671.6449999996 185169.78399999999, 544755.25 185232.95299999975, 544909.9369999999 185268.0639999993, 545115.3130000001 185335.93700000085, 545127.8760000002 185426.2190000005, 545184.6880000001 185487.48399999924, 545184.0007999996 185463.71859999932, 545172.6880000001 185370.85899999924, 545230.0520000001 185136.66599999927, 545261.0015000002 185065.44449999928, 545342.2340000002 185120.15000000037, 545428.9220000003 185170.94700000063, 545702.7589999996 185379.34500000067, 545757.8865 185411.74300000072, 545852.2668000003 185460.9377999995, 546026.3625999996 185555.02610000037, 546126.2756000003 185665.01799999923, 546136.7626999998 185678.92039999925, 546167.3011999996 185720.03050000034, 546189.0155999996 185749.76710000075, 546207.3616000004 185774.25100000016, 546269.7879999997 185810.0089999996, 546276.0630000001 185861.14100000076, 546514.5 185860.0309999995, 546615.9749999996 186050.60500000045, 546705.6789999995 186165.45900000073, 546562.0049999999 186296.61999999918, 546591.1871999996 186338.56650000066, 546601.3059999999 186386.58100000024, 546867.625 186346.85799999908, 546864.7445 186401.97000000067, 546990 186401.15699999966, 547093.6135 186537.0150000006, 547044.2340000002 186548.14699999988, 546883 186600.14100000076, 546954.7350000003 186783.09720000066, 546984.5379999997 186859.38000000082, 547029.7340000002 186974.92500000075, 546968.2000000002 186999.59999999963, 546978.2000000002 187037.1009999998, 547063.2659999998 187065.74400000088, 547179.4292000001 187105.27199999988, 547373.4349999996 187171.99899999984, 547386.9764999999 187180.91200000048, 547426.8880000003 187220.84600000083, 547566.6880000001 187393.29700000025, 547626.2419999996 187425.75, 547682.875 187443.17200000025, 547704.2609999999 187598.06200000085, 547699.5650000004 187618.60300000012, 547700.9309999999 187707.66599999927, 547721.5801999997 187758.95639999956, 547746.4408 187885.65279999934, 547715.1654000003 187914.5438000001, 547700.2750000004 188007.69349999912, 547764.824 188024.10700000077, 547817.9380000001 188037.5940000005, 547767.625 188214.73399999924, 547701.8099999996 188170.09899999946, 547662.6535999998 188271.81939999945, 547656.5860000001 188376.21499999985, 547655.1210000003 188431.35920000076, 547642.3913000003 188528.6626999993, 547696.983 188556.9321999997, 547804.3600000003 188626.83000000007, 547778.2599999998 188711.11700000055, 547735.4735000003 188840.82379999943, 547770.6623999998 188886.76219999976, 547921.6220000004 188943.1919999998, 547882.6100000003 189049.42899999954, 547856.8130000001 189093.68700000085, 547813.7473999998 189096.5245999992, 547514.5410000002 189119.70500000007, 547515.102 189127.60500000045, 547533.1390000004 189227.09050000086, 547536.875 189301.01600000076, 547510.0630000001 189373.9059999995, 547482.0630000001 189374.0940000005, 547433.0345999999 189612.06039999984, 547412.2455000002 189680.6724999994, 547519.7224000003 189711.40179999918, 547728.5601000004 189781.12890000083, 547618.1880000001 190059.89100000076, 547973.4645999996 190348.16699999943, 548453.8130000001 190810.125, 548767.375 191138.98399999924, 548877.6870999997 191097.3007999994, 548845.6880000001 190846.7809999995, 548881.5630000001 190845.2650000006, 548881.125 190802.51600000076, 549000.7259999998 190873.46419999935, 549089.4380000001 190714.06200000085, 549084.2253 190584.47440000065, 549071.8229 190312.53229999915, 549116.5 190074.76600000076, 549120.966 189772.29399999976, 549120.7887000004 189640.22479999997, 549102.4380000001 189324.625, 548954.5168000003 189063.2410000004, 548889.693 189065.75, 548874.1880000001 188496.18700000085, 548952.5 188492.2650000006, 548954.4189999998 188246.31000000052, 548946.4534999998 188214.1964999996, 549019.0630000001 188228.25, 549051.6880000001 187899.81200000085, 549085.6106000002 187836.67799999937, 548972.6874000002 187816.67799999937, 548871.0630000001 187799.01600000076, 548880.2769999998 187766.34200000018, 548881.1880000001 187727.43700000085, 548919.2674000002 187717.7921999991, 549019.5135000004 187715.0120000001, 549057.8669999996 187664.75599999912, 549099.6339999996 187656.07599999942, 549161.375 187625.60899999924, 549210.2939999998 187648.61119999923, 549418.6798 187442.41220000014, 549561.5416000001 187325.45739999972, 549819.9236000003 187080.69859999977, 549950.75 186961.06200000085, 550250.8859999999 187148.6099999994, 550392.6645999998 187189.06540000066, 550500.4599000001 187258.35899999924, 550519.0379999997 187269.9910000004, 550739.3181999996 187373.77380000055, 550978.7539999997 187347.25599999912, 551129.6699999999 187363.30650000088, 551430.5993999997 187345.30920000002, 551551.5630000001 187445.1559999995, 551550.0564000001 187364.70500000007, 551478 187263.67200000025, 551441.7695000004 187136.98369999975, 551397.1657999996 186966.8303999994, 551528.3909999998 186852.1640000008, 551546.7460000003 186751.6439999994, 551525.75 186602.7190000005, 551572.25 186477.14100000076, 551554.375 186432.75, 551619.415 186429.6989999991, 551740 186318.45299999975, 551779.9380000001 186178.42200000025, 551943.7814999996 186027.6144999992, 551905.8676000005 185894.16420000046, 551765 185746.52999999933, 551670.8271000003 185446.8440000005, 551643.6972000003 185404.1140999999, 551422.4380000001 185230.1559999995, 551297.9369999999 185055.06200000085, 551246.6260000002 184889.60899999924, 551242.4390000002 184701.75100000016, 551207.0097000003 184613.10339999944, 550904.6200000001 184378.38199999928, 550858.8130000001 184298.59300000034, 550820.9616 184205.00760000013, 550817.0039999997 184195.99899999984, 550738.1909999996 184016.5889999997, 550725.3770000003 183899.3350000009, 550606.7450000001 183693.64499999955, 550345.1138000004 183322.1816000007, 550277.7620000001 183178.65000000037, 550249.5590000004 183138.21499999985, 550111.3989000004 182551.78490000032, 549906.6880000001 181615.92200000025, 549891.8173000002 181465.94669999927, 549849.9800000004 181438.31000000052, 549405.7999999998 181507.94999999925, 549044.2000000002 181647.65000000037, 549037.5999999996 181683, 548993.6399999997 181671.1799999997, 548939.0899999999 181703.05000000075, 548987.5999999996 181688.84999999963, 548967.3499999996 181761.34999999963, 548880 181798.75, 548845.4000000004 181748.44999999925, 548812.0714999996 181779.98289999925, 548810.5615999997 181781.41139999963, 548527.7999999998 182024.19999999925, 548316.0999999996 182122.44999999925, 548131.5968000004 182167.49259999953, 548101.0499999998 182174.94999999925, 548048.3499999996 182145.25, 547651.1500000004 182216, 547368.7000000002 182153.90000000037, 547136.2845000001 182050.1456000004, 547118.1500000004 182042.05000000075, 546798.7000000002 181791.94999999925, 546811.7000000002 181765.55000000075, 546425.5999999996 181579, 546274.2999999998 181550.75, 545936.4000000004 181611.15000000037, 545885.96 181595.13000000082, 545745.2000000002 181646.44999999925, 545693.8579000002 181694.15249999985, 545639.4000000004 181744.75, 545613.1500000004 181721.94999999925)), ((543862.5690000001 183404.28500000015, 543766.5130000003 183656.32799999975, 543640.3130000001 183945.81200000085, 543565.8399999999 183951.89609999955, 543527.852 183943.45900000073, 543597.0475000003 184077.04649999924, 543538.8490000004 184165.29399999976, 543439.8130000001 184352.98399999924, 543419.4469999997 184495.93700000085, 543519.7456 184848.26180000044, 543522.4632000001 184862.50879999995, 543591.9397999998 184835.75329999998, 543591.9415999996 184835.44549999945, 543592.0118000004 184823.2485000007, 543546.1500000004 184604.55000000075, 543577.3600000003 184529.05000000075, 543540.7400000002 184454.55000000075, 543607.9500000002 184404.69999999925, 543588.8499999996 184243.75, 543689.6500000004 184204.34999999963, 543728.8903000001 184065.10730000027, 543730.5891000004 184059.07919999957, 543731.5025000004 184057.21030000038, 543871.7000000002 183770.34999999963, 543871.3499999996 183656.65000000037, 543960.2070000004 183531.59569999948, 544006.7396 183466.10730000027, 544048.6600000001 183407.1099999994, 544066.8025000002 183300.17320000008, 544080.6791000003 183242.37450000085, 544070.5082 183241.12480000034, 544069.5515999999 183241.1512000002, 544057.7982999999 183260.80150000006, 543880.2769999998 183202.79099999927, 543868.8760000002 183355.50999999978, 543862.5690000001 183404.28500000015)))"
Barnet,"POLYGON ((521041.31520000007 188221.77779999934, 521047.45299999975 188390.9110000003, 521200.3849999998 188570.7109999992, 521230.5939999996 188625.42200000025, 521320.31819999963 188647.2048000004, 521462.61120000016 188731.87299999967, 521357.3370000003 188886.99860000052, 521345.6830000002 188904.8010000009, 521324.90490000043 188936.57919999957, 521179.30649999995 189139.26779999956, 521153.65299999993 189177.84979999997, 521004.8959999997 189348.71299999952, 520956.0175000001 189402.91980000027, 520893.9042999996 189474.35859999992, 520831.87590000033 189545.4673999995, 520799.52720000036 189581.2645999994, 520761.73060000036 189633.73790000007, 520730.7801999999 189677.56739999913, 520641.0445999997 189803.7921999991, 520622.2580000004 189828.0309999995, 520598.9129999997 189858.18700000085, 520571.10759999976 189894.0828000009, 520461.67700000014 190033.29499999993, 520455.56400000025 190040.7848000005, 520390.8650000002 190116.91699999943, 520291.54310000036 190232.57850000076, 520173.6244999999 190393.8599999994, 520113.0965 190480.7218999993, 519964.13460000046 190671.10879999958, 519828.62799999956 190833.09200000018, 519819.51800000016 190844.0025999993, 519762.4160000002 190912.24300000072, 519628.7280000001 191080.43200000003, 519605.68620000035 191119.8114, 519560.07320000045 191197.95099999942, 519539.74399999995 191228.2620000001, 519498.09470000025 191287.74300000072, 519488.9793999996 191300.6911999993, 519242.1560000004 191611.75100000016, 519121.85500000045 191780.5, 519105.2444000002 191804.52659999952, 519077.60479999986 191843.91479999945, 518957.82919999957 191994.1121999994, 518916.63900000043 192036.25699999928, 518911.83160000015 192041.0496999994, 518743.2520000003 192207.4269999992, 518628.88599999994 192369.8389999997, 518572.0083999997 192453.12140000053, 518544.6169999996 192488.6919999998, 518450.4249999998 192609.65499999933, 518382.0865000002 192696.875, 518340.88800000027 192750.4149999991, 518203.1200000001 192934.69099999964, 517776.0039999997 193494.67500000075, 517484.4380000001 193878.9059999995, 517378.5 194090.60899999924, 517364.6880000001 194202.43700000085, 517435.23199999984 194421.07719999924, 517498.0630000001 194434.92200000025, 517555.90500000026 194400.00200000033, 517576.8119999999 194424.79800000042, 517755.4060000004 194363, 517938.5 194364.3110000007, 518006.03000000026 194337.22000000067, 518134.24700000044 194359.4210000001, 518306.1880000001 194455.5940000005, 518588.5 194466, 518745.5939999996 194518.125, 518855.8439999996 194614.93700000085, 519026.3130000001 194680.29700000025, 519218.5939999996 194682.29700000025, 519365.0939999996 194746.4059999995, 519556.6869999999 194729.29900000058, 519524.6560000004 194775.39100000076, 519597.46300000045 194996.29900000058, 519594.4060000004 195015.20500000007, 519609.3130000001 195107.79700000025, 519791.49899999984 195109.0940000005, 519925.15500000026 195151.375, 519914.9060000004 195307.29700000025, 520113.5939999996 195334.4059999995, 520194.59499999974 195290.5979999993, 520276.6210000003 195424.9140000008, 520399.5630000001 195315.3440000005, 520445.68900000025 195195.39100000076, 520608.69400000013 195123.70299999975, 520681.78199999966 195107.40699999966, 520757.6880000001 195293.89100000076, 520805.7139999997 195267.61099999957, 520903.00100000016 195374.125, 521065.08359999955 195797.5650999993, 521165 196541.29700000025, 521099.7810000004 196561.4059999995, 521067.0410000002 196636.59999999963, 521110.9060000004 196700.5, 521196.2341 196702.62810000032, 521300.96499999985 196614.99799999967, 521590.4380000001 196782.23399999924, 521745.34499999974 196843.35899999924, 521772.0769999996 196803.0075000003, 521919.3099999996 196882.6559999995, 521978.59300000034 196914.10899999924, 521956.25 196964.7809999995, 522079.9380000001 197031.98399999924, 522201.0939999996 197054.26600000076, 522236.2810000004 196971.82799999975, 522628.625 197171.98399999924, 522662.09300000034 197019.85899999924, 522776.3080000002 196863.5979999993, 522803.9380000001 196915.89100000076, 523109.8660000004 197164.50599999912, 523265.5 197280.2809999995, 523291.8439999996 197198.73399999924, 523658.7460000003 197459.66899999976, 523753.7056999998 197351.99829999916, 524043.2050000001 197526.8825000003, 523931.23539999966 197761.85720000044, 523809.8724999996 197978.47499999963, 523897.75 198048.25, 524030.4060000004 197943.7809999995, 524185.6880000001 198170.82799999975, 524423.3119999999 198088.17200000025, 524393 198255.40300000086, 524339.3710000003 198344.3554999996, 524579.8885000004 198355.15550000034, 524645.1880000001 198138.26600000076, 524810.6919999998 198135.69299999997, 524841.0669999998 198179.0610000007, 524932.0300000003 198156.38299999945, 524815.5839999998 197841.11950000003, 525058.3772999998 197780.61700000055, 525159.3875000002 197739.7100000009, 525209.949 197678.44849999994, 525421.625 198121.0309999995, 525557.1880000001 198194.57799999975, 525814.1220000004 198211.51400000043, 525742.5251000002 198020.1314000003, 525597.1519999998 197642.58999999985, 525568.5630000001 197563.5309999995, 526280.7510000002 197332.23699999973, 526289.7703999998 197329.49320000038, 527023.2510000002 197087.0940000005, 527110.233 197083.93099999987, 527178.6150000002 197062.7229999993, 527365.0389999999 196922.8509999998, 527740.1880000001 196805.43700000085, 527746 196749.60899999924, 527813.9683999997 196704.31790000014, 527836.1689999998 196559.9224999994, 527797.1969999997 196541.9729999993, 527799.4447999997 196476.50650000013, 527837.125 196492.43700000085, 527851.7350000003 196456.77899999917, 527909.3109999998 196345.84600000083, 527930.3119999999 196177.5979999993, 527963.3269999996 196185.98200000077, 528020.6141999997 196197.49599999934, 528095.8054999998 196064.52850000001, 528077.1399999997 196053.5889999997, 527935.1880000001 195970.6559999995, 527928.7520000003 195932.39800000004, 527934.2290000003 195929.23399999924, 528020.8700000001 195886.03299999982, 527948.7034999998 195730.35950000025, 527988.4890000001 195712.3169999998, 527978.8265000004 195679.84300000034, 528158.1229999997 195671.05299999937, 528173.4249999998 195541.2410000004, 528253.125 195321.81200000085, 528454.9566000002 195371.31149999984, 528651.7110000001 195046.5661999993, 528648.3770000003 195023.74599999934, 528923.5817999998 194720.5739999991, 528925.5323999999 194718.8719999995, 529143.3640000001 194569.46780000068, 529181.0555999996 194537.81200000085, 529217.5 194493.75, 529197.7649999997 194421.54099999927, 529239.8130000001 194453.14100000076, 529243.875 194404.51600000076, 529374.0005999999 194319.87560000084, 529578.9134999998 194263.55299999937, 529552.25 194167.74000000022, 529465.4239999996 194008.64499999955, 529448.875 193970.1559999995, 529496.875 193939.7809999995, 529455.0120000001 193905.42200000025, 529354.4220000003 193676.3479999993, 529292.5630000001 193597.04700000025, 529246.8442000002 193343.98399999924, 529173.6664000005 193134.17720000073, 529173.8596000001 193131.88939999975, 529177.0010000002 193086.98399999924, 529008.4932000004 192879.9299999997, 528973.4589999998 192835.82169999927, 528882.6229999997 192708.96499999985, 528825.6960000005 192626.74799999967, 528783.7110000001 192617.18099999987, 528735.2608000003 192452.9480000008, 528613.7554000001 192388.72880000062, 528562.3203999996 192369.92760000005, 528734.6469999999 192106.8080000002, 528753.1059999997 192078.45299999975, 528975.4208000004 191791.63519999944, 528663.8021 191637.8348999992, 528661.7879999997 191515.63099999912, 528728.9450000003 191241.35799999908, 528767.8505999995 191059.8083999995, 528720.4544000002 190957.61400000006, 528681.3119999999 190880.64100000076, 528663.6739999996 190838.23200000077, 528607.2240000004 190705.2349999994, 528608.5630000001 190662.18700000085, 528571.176 190638.80700000003, 528438.0630000001 190554.375, 528274.966 190436.29900000058, 528172.4035 190372.66950000077, 528139.2548000002 190352.2530000005, 528099.9500000002 190422.16000000015, 528017.0732000005 190561.71800000034, 528011.0640000002 190590.03399999999, 527987.7193999998 190709.01799999923, 527987.3470000001 190864.0270000007, 527955.8716000002 190989.12920000032, 527787.7300000004 191195.27449999936, 527797.75 191233.23399999924, 527771.693 191223.01799999923, 527734.5 191146.4299999997, 527619.5779999997 190861.6135000009, 527543.3200000003 190656.36700000055, 527431.3361999998 190383.11360000074, 527421.5630000001 190286.23399999924, 527482.375 190044.43700000085, 527579.244 189761.38800000027, 527637.0038000001 189769.3870000001, 527627.3480000002 189707.09899999946, 527594.625 189685.54700000025, 527578.9270000001 189588.7572000008, 527575.6140000001 189571.50500000082, 527577.8130000001 189482.625, 527549.4670000002 189478.0429999996, 527554.8405999998 189291.20179999992, 527662.8322000001 189288.2025000006, 527666.1880000001 189140.60899999924, 527750.3875000002 189131.07349999994, 527769.3710000003 189091.5859999992, 527716 189089.3440000005, 527713.125 189039.0979999993, 527605.4419999998 188899.4269999992, 527537.0800000001 188956.02099999972, 527497.9380000001 188997.4059999995, 527479.4979999997 188983.90499999933, 527183.125 188748.375, 527157.1880000001 188609.6559999995, 527125.3210000005 188604.55299999937, 527083.8640000001 188531.95900000073, 527116.9989999998 188237.70900000073, 527039.2125000004 188040.98650000058, 526950.5 188093.5, 526938.0539999995 187954.5850000009, 526950.8130000001 187712.31200000085, 526834.25 187666.95299999975, 526830.483 187543.61199999973, 526830.307 187535.4489999991, 526683.1279999996 187383.57599999942, 526630.193 187182.10500000045, 526365.0939999996 187301.2929999996, 526349.875 187256.2809999995, 526166.5039999997 187211.57799999975, 526176.8624999998 187185.9375, 525991.3760000002 187022.31299999915, 525975.8760000002 186965.4059999995, 525756.7889 186845.1765999999, 525564.1880000001 186683.375, 525534.2340000002 186427.8256000001, 525499.5 186317.95299999975, 525391.8569999998 186278.6439999994, 525331.6859999998 186235.5700000003, 525248.1090000002 186189.76999999955, 525110.7275 186181.6559999995, 525084.9539999999 186175.62700000033, 525097.3178000003 186018.37780000083, 525000.3666000003 185989.41420000046, 524906.3130000001 185768.4690000005, 524925.7801000001 185681.30939999968, 524603.6770000001 185608.47800000012, 524510.6270000003 185573.6799999997, 524487.1160000004 185570.16300000064, 524477.8370000003 185651.07100000046, 524467.6919999998 185697.76700000092, 524290.8490000004 185624.2070000004, 524270.76099999994 185614.22399999946, 524192.3130000001 185727.67200000025, 524132.36760000046 185691.97000000067, 524081.1160000004 185660.6980000008, 523983.42200000025 185569.3870000001, 523954.4780000001 185541.50799999945, 523906.1880000001 185606.65799999982, 523879.65199999977 185640.62299999967, 523817.6189000001 185715.76349999942, 523720.02969999984 185831.02930000052, 523638.65950000007 185935.03309999965, 523516.3530000001 186116.97800000012, 523479.7485999996 186182.46719999984, 523471.8392000003 186196.52490000054, 523438.5630000001 186253.4360000007, 523344.1540000001 186394.2100000009, 523328.82940000016 186413.30739999935, 523231.96499999985 186532.22399999946, 523014.2189999996 186801.79399999976, 522979.0049999999 186835.74400000088, 522813.81900000013 187004.13299999945, 522610.6160000004 187267.27749999985, 522524.2189999996 187379.42200000025, 522450.7189999996 187357.625, 522375.1880000001 187410.29700000025, 522383.5939999996 187442.3289999999, 522350.66750000045 187411.9059999995, 522230.25 187426.95299999975, 522227.3130000001 187387.59300000034, 522195.4950000001 187383.27800000086, 522219.125 187353.35899999924, 522191.09860000014 187355.48860000074, 522148.6560000004 187400.7190000005, 522068.79399999976 187382.88350000046, 522067.4060000004 187414.45299999975, 521991.4060000004 187380.79700000025, 521971.6560000004 187442.4690000005, 521908.4380000001 187458.01600000076, 521894.7810000004 187416.75, 521826.199 187401.50100000016, 521787 187392.4690000005, 521767.5939999996 187424.92200000025, 521712.1880000001 187350.3900000006, 521653.9380000001 187382.70299999975, 521608.2810000004 187316.8440000005, 521656.11450000014 187244.7145000007, 521620.9380000001 187122.125, 521655.5939999996 187120.2809999995, 521620.5310000004 187021.5309999995, 521566.0939999996 187020.7809999995, 521587.7483999999 186989.7960000001, 521569.5 186960.45299999975, 521488.2189999996 186966.95299999975, 521378.9578 187063.0064000003, 521257.1913999999 187249.27219999954, 521189 187310.25, 521164.44299999997 187420.45199999958, 521279.6490000002 187478.73900000006, 521187.125 187674.92200000025, 521115.4060000004 187934.32799999975, 521041.31520000007 188221.77779999934))"
