,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataRolled,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2018-05-01,765.15594,6.641385555267334,6.657556589520103,-0.016171034252769445,0.009524982979129145,-0.025696017231898592,0.02671704801113184,0.17238610071087718,Train,0.2988346517086029,-0.12644855099772573,0.04239702729615514,-0.06809304452805373,0.051922010275284286,-0.06809304452805373,6.709478599795387,-0.06809304452805343,848.0141570069752,-82.85821218275646
2018-06-01,647.4397,6.474568843841553,6.657172880575728,-0.18260403673417525,-0.08460706881614022,-0.09799696791803503,-0.009448863807699296,-0.11926780149617076,Train,0.18407312035560608,-0.30334092185177686,0.02816627162411184,-0.12616323954214687,-0.05644079719202838,-0.12616323954214687,6.6007320833837,-0.12616323954214703,760.5298303252001,-113.09013305957512
2018-07-01,706.29785,6.5614519119262695,6.6567891716313525,-0.095337259705083,-0.032423911599270945,-0.06291334810581206,-0.009501442515563478,-0.11969181362666566,Train,0.027479175478219986,-0.14717098910488563,0.008748177921467074,-0.07166152602727914,-0.023675733677803873,-0.07166152602727913,6.633113437953549,-0.07166152602727927,785.5927941891407,-79.2949426266407
2018-08-01,1000.58856,6.9093427658081055,6.656405462686978,0.2529373031211275,0.08454032699154417,0.16839697612958332,0.013040324279189202,0.0620924665890394,Train,-0.08020102977752686,0.14229349636656624,-0.00460447321209581,0.17300144934167913,0.07993585377944835,0.17300144934167916,6.736341316466427,0.17300144934167871,871.1300718610321,129.45849015068666
2018-09-01,529.7234,6.274240970611572,6.6560217537426025,-0.38178078313103025,-0.1845094190978166,-0.19727136403321366,-0.024516679162238854,-0.2407796596210509,Validate,-0.05665396526455879,-0.18412569435649212,-0.0016845703672376915,-0.19558679366597598,-0.18619398946505428,-0.19558679366597598,6.469827764277548,-0.1955867936659761,667.0914234167908,-137.3680347449158
2018-10-01,824.0141,6.715400695800781,6.655638044798228,0.05976265100255329,-0.05834061944687621,0.1181032704494295,0.011968339060956911,0.05344762241721544,Validate,-0.12789839506149292,0.18134601747870838,-0.010519081910270837,0.12862235235970035,-0.06885970135714706,0.12862235235970035,6.586778343441081,0.12862235235970054,749.9774350222989,74.03666409879486
2018-11-01,588.58154,6.37941312789917,6.6552543358538525,-0.2758412079546826,0.004654669392518362,-0.28049587734720094,-0.012931670278056178,-0.14735430745238556,Validate,-0.05059391260147095,-0.09676039485091462,-0.0009331066337776167,-0.27956277071342334,0.003721562758740745,-0.27956277071342334,6.658975898612593,-0.27956277071342317,806.2013648714224,-217.61982190267236
2018-12-01,1294.8794,7.166944980621338,6.654870626909477,0.5120743537118608,0.24365870290520847,0.26841565080665236,0.028521319954528657,0.18693634779355622,Validate,-0.06296505779027939,0.2499014055838356,-0.0024671637563145193,0.27088281456296687,0.24119153914889396,0.27088281456296687,6.896062166058371,0.2708828145629667,1022.168462485092,272.71093204615795
2019-01-01,706.29785,6.5614519119262695,6.6544869179651025,-0.09303500603883297,-0.2866998866234278,0.19366488058459486,0.017099971916155497,0.09483081094042779,Validate,0.11665733903646469,-0.0218265280960369,0.01980652336106682,0.17385835722352805,-0.266893363262361,0.17385835722352805,6.387593554702741,0.17385835722352816,614.349756556024,91.94809500647602
2019-02-01,529.7234,6.274240970611572,6.654103209020727,-0.3798622384091548,-0.22500003429637347,-0.15486220411278132,0.010485696186302523,0.04149109876758158,Validate,0.1923036277294159,-0.1508125289618343,0.029186877903173827,-0.18404908201595516,-0.19581315639319963,-0.18404908201595516,6.458290052627527,-0.18404908201595482,659.4274744519631,-129.70408578008812
2019-03-01,941.7304,6.848780155181885,6.6537195000763525,0.19506065510553228,-0.007246075343675284,0.20230673044920755,0.026515766867027404,0.17076290283844883,Validate,0.17193356156349182,-0.001170658725042989,0.026660931872190936,0.17564579857701662,0.019414856528515653,0.17564579857701662,6.673134356604868,0.17564579857701634,817.7113812529407,124.01902646190308
2019-04-01,529.7234,6.274240970611572,6.653335791131977,-0.3790948205204048,-0.07949870055936221,-0.2995961199610426,0.044634096622065966,0.3168751203598001,Validate,0.24935472011566162,0.06752040024413847,0.0362613753153298,-0.3358574952763724,-0.04323732524403241,-0.3358574952763724,6.610098465887945,-0.33585749527637265,767.6961187125661,-237.9727300406911
2019-05-01,1118.3049,7.020462989807129,6.652952082187602,0.3675109076195273,0.009524982979129145,0.3579859246403982,0.11368091265730934,0.8736915344606998,Validate,0.38023054599761963,0.4934609884630802,0.052490349254116386,0.3054955753862818,0.06201533223324553,0.3054955753862818,6.7149674144208475,0.30549557538628136,852.6870509216918,265.6178807189332
2019-06-01,588.58154,6.37941312789917,6.652568373243227,-0.2731552453440571,-0.08460706881614022,-0.1885481765279169,0.043951213551546305,0.3113681248977228,Validate,0.7732636332511902,-0.4618955083534674,0.10122756781327236,-0.28977574434118925,0.016620498997132138,-0.28977574434118925,6.669188872240359,-0.28977574434118925,814.4875323040678,-225.90598933531783
2019-07-01,824.0141,6.715400695800781,6.652184664298852,0.06321603150192967,-0.032423911599270945,0.09563994310120061,0.037848785073396264,0.262156118644222,Validate,0.19444507360458374,0.06771104503963826,0.029452423270816944,0.06618751983038366,-0.0029714883284540014,0.06618751983038368,6.649213175970398,0.0661875198303834,798.3592244373644,25.654874683729304
2019-08-01,824.0141,6.715400695800781,6.651800955354477,0.06359974044630423,0.08454032699154417,-0.020940586545239934,-0.15454600798237042,-1.2893792730285139,Validate,-0.25491863489151,-1.0344606381370038,-0.026269952233404715,0.005329365688164781,0.058270374758139454,0.005329365688164778,6.7100713301126165,0.005329365688164778,848.5175426088058,-24.503443487712047
2019-09-01,882.87225,6.784312725067139,6.651417246410102,0.1328954786570371,-0.1845094190978166,0.3174048977548537,-0.15322053912543646,-1.2786902527622692,Validate,-1.3551808595657349,0.07649060680346564,-0.1627055915100919,0.4801104892649456,-0.3472150106079085,0.4801104892649456,6.304202235802193,0.4801104892649457,565.1162790375819,317.7559743803869
2019-10-01,1177.1631,7.071712017059326,6.651033537465726,0.42067847959360005,-0.05834061944687621,0.47901909904047624,-0.14984414544725125,-1.2514618948388507,Validate,-1.4065111875534058,0.15504929271455503,-0.16907069789675666,0.6480897969372329,-0.22741131734363287,0.6480897969372329,6.423622220122093,0.6480897969372332,636.9242088734402,540.2388770640598
2019-11-01,470.8652,6.156693458557129,6.650649828521352,-0.49395636996422265,0.004654669392518362,-0.498611039356741,-0.21989187720392245,-1.816350025129215,Validate,-1.598580241203308,-0.21776978392590696,-0.19288780579369622,-0.30572323356304476,-0.18823313640117786,-0.30572323356304476,6.462416692120174,-0.30572323356304487,662.158451553528,-191.29324769610616
2019-12-01,1118.3049,7.020462989807129,6.650266119576976,0.3701968702301528,0.24365870290520847,0.12653816732494433,-0.23762673272162615,-1.959369779275805,Validate,-2.033454418182373,0.07408463890656813,-0.24681343825702062,0.37335160558196495,-0.0031547353518121546,0.37335160558196495,6.647111384225164,0.37335160558196456,796.6809021777376,321.6240294628874
2020-01-01,58.85815,4.091977596282959,6.6498824106326015,-2.5579048143496426,-0.2866998866234278,-2.271204927726215,-0.2630434247485913,-2.164338409625652,Validate,-2.4033865928649902,0.2390481832393383,-0.2926860780786615,-1.9785188496475534,-0.5793859647020894,-1.9785188496475532,6.070496445930512,-1.9785188496475534,447.1346329418188,-388.27648245964104
2020-02-01,765.15594,6.641385555267334,6.649498701688226,-0.008113146420892114,-0.22500003429637347,0.21688688787548135,-0.3149298773943933,-2.5827679645511785,Validate,-2.6556601524353027,0.07289218788412422,-0.3239687156178827,0.540855603493364,-0.5489687499142561,0.540855603493364,6.10052995177397,0.5408556034933643,460.797837003314,304.35810782090476
2020-03-01,588.58154,6.37941312789917,6.649114992743851,-0.2697018648446807,-0.007246075343675284,-0.26245578950100545,-0.3390052362763237,-2.776919639756392,Validate,-2.816758871078491,0.03983923132209899,-0.3439454140556088,0.08148962455460335,-0.3511914893992841,0.08148962455460335,6.297923503344567,0.08148962455460307,561.5729219179293,27.008621050820693
2020-04-01,470.8652,6.156693458557129,6.648731283799476,-0.4920378252423472,-0.07949870055936221,-0.412539124682985,-0.37353891873941375,-3.055410703341163,Validate,-2.8245041370391846,-0.23090656630197826,-0.34490584902194427,-0.06763327566104071,-0.42440454958130647,-0.06763327566104071,6.224326734218169,-0.06763327566104049,521.6562569608815,-50.7910531034596
2020-05-01,529.7234,6.274240970611572,6.648347574855101,-0.3741066042435284,0.009524982979129145,-0.3836315872226575,-0.2990057010595504,-2.454350127590358,Validate,-2.782545804977417,0.3281956773870589,-0.33970289673525117,-0.04392869048740633,-0.33017791375612204,-0.04392869048740633,6.318169661098978,-0.04392869048740611,573.0789453961532,-43.355556724278244
2020-06-01,588.58154,6.37941312789917,6.647963865910726,-0.26855073801155616,-0.08460706881614022,-0.18394366919541594,-0.35541885554583974,-2.9092845067968125,Validate,-2.5615885257720947,-0.34769598102471777,-0.31230356686173705,0.1283598976663211,-0.39691063567787727,0.1283598976663211,6.2510532302328485,0.1283598976663214,535.8133696386811,52.76817333006886
2020-07-01,412.00705,6.023464679718018,6.647580156966351,-0.624115477248333,-0.032423911599270945,-0.5916915656490621,-0.20486198434692124,-1.6951439865961069,Validate,-2.5503315925598145,0.8551876059637076,-0.31090767518730716,-0.28078389046175495,-0.3433315867865781,-0.28078389046175495,6.304248570179772,-0.28078389046175456,565.1425102907083,-153.1354607301614
2020-08-01,882.87225,6.784312725067139,6.647196448021975,0.1371162770451635,0.08454032699154417,0.05257595005361933,-0.2690208304006237,-2.212542190363235,Validate,-2.1940925121307373,-0.018449678232497657,-0.2667330179249702,0.3193089679785895,-0.182192690933426,0.3193089679785895,6.4650037570885495,0.3193089679785892,663.8763066953335,218.99594672263527
2020-09-01,706.29785,6.5614519119262695,6.646812739077601,-0.08536082715133109,-0.1845094190978166,0.09914859194648551,-0.2584024122139668,-2.126911746012258,Validate,-2.1770901679992676,0.050178421987009614,-0.26462467898652653,0.36377327093301204,-0.4491340980843431,0.36377327093301204,6.197678640993257,0.36377327093301215,507.9124013801311,198.3854501823689
2020-10-01,1000.58856,6.9093427658081055,6.646429030133225,0.2629137356748803,-0.05834061944687621,0.3212543551217565,-0.24433988107628676,-2.0135068330721957,Validate,-2.1180152893066406,0.10450845623444494,-0.25729922632726815,0.5785535814490246,-0.3156398457741444,0.5785535814490247,6.330789184359081,0.5785535814490244,580.3694526111161,420.21910940060263
2020-11-01,470.8652,6.156693458557129,6.64604532118885,-0.4893518626317208,0.004654669392518362,-0.49400653202423916,-0.27263796205115304,-2.241711939102273,Validate,-2.0650477409362793,-0.17666419816599355,-0.2507310999654194,-0.24327543205881974,-0.24607643057290107,-0.24327543205881974,6.399968890615948,-0.24327543205881952,622.0122315571376,-151.14702769971575
2020-12-01,529.7234,6.274240970611572,6.645661612244475,-0.3714206416329029,0.24365870290520847,-0.6150793445381113,-0.25026738800620135,-2.0613082139727807,Validate,-2.1449146270751953,0.08360641310241457,-0.26063482057223003,-0.3544445239658813,-0.016976117667021562,-0.35444452396588133,6.628685494577454,-0.35444452396588133,782.1175057049766,-252.39411703310157
2021-01-01,353.14893,5.869717597961426,6.6452779033001,-0.7755603053386739,-0.2866998866234278,-0.4888604187152461,-0.20413028621269855,-1.6892433302777294,Validate,-2.099912643432617,0.41066931315488775,-0.2550544468492186,-0.23380597186602753,-0.5417543334726465,-0.23380597186602747,6.103523569827454,-0.23380597186602792,462.18235466979297,-109.03342888854297
2021-02-01,529.7234,6.274240970611572,6.644894194355725,-0.3706532237441529,-0.22500003429637347,-0.1456531894477794,-0.12149165653039784,-1.022818025127905,Validate,-1.915200114250183,0.892382089122278,-0.23214956886989782,0.08649637942211841,-0.4571496031662713,0.08649637942211841,6.187744591189454,0.08649637942211807,502.8818683915942,26.841520280280804
