,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2012-05-01,676.1325,6.517867088317871,6.677432801814149,-0.1595657134962778,-0.05271222472029254,-0.10685348877598524,-0.27167199124108266,Train,0.3895515501499176,-0.6612235413910003,0.1532176430903168,-0.26007113186630204,0.10050541837002425,-0.26007113186630204,6.777938220184173,-0.2600711318663018,914.8750778762492,-238.74257055203043
2012-06-01,946.5855,6.853917121887207,6.68129204731471,0.17262507457249665,-0.0447955792347301,0.21742065380722675,0.5527858999585832,Train,0.34941571950912476,0.20337018044945843,0.13743149778583072,0.07998915602139603,0.09263591855110062,0.07998915602139603,6.773927965865811,0.07998915602139611,911.2095406707917,35.37596958311451
2012-07-01,709.93915,6.566586971282959,6.685151292815273,-0.11856432153231378,-0.07358657293534704,-0.04497774859696674,-0.11435466134845533,Train,0.31029456853866577,-0.4246492298871211,0.1220444442768217,-0.16702219287378844,0.04845787134147467,-0.16702219287378844,6.733609164156747,-0.16702219287378828,875.1619265220121,-165.22277857279335
2012-08-01,743.7458,6.613042831420898,6.689010538315835,-0.0759677068949367,0.06694918618334235,-0.14291689307827904,-0.36336218282927063,Train,0.2618134617805481,-0.6251756446098187,0.102975951521421,-0.24589284459970004,0.16992513770476336,-0.24589284459970007,6.858935676020598,-0.24589284459969996,992.1457526113577,-248.39996403713894
2012-09-01,743.7458,6.613042831420898,6.6928697838163975,-0.07982695239549908,0.020883479903416588,-0.10071043229891567,-0.25605344284786447,Train,0.16516341269016266,-0.4212168555380271,0.0649617459034655,-0.16567217820238117,0.08584522580688209,-0.16567217820238117,6.77871500962328,-0.16567217820238156,915.5867963561966,-171.84100778197785
2012-10-01,845.16565,6.740715026855469,6.69672902931696,0.04398599753850885,0.05908218208185376,-0.01509618454334491,-0.038381624802456535,Train,0.060664959251880646,-0.09904658405433718,0.02386062145347935,-0.03895680599682426,0.0829428035353331,-0.03895680599682426,6.779671832852293,-0.038956805996824606,916.464227600714,-71.29857818665153
2012-11-01,709.93915,6.566586971282959,6.700588274817522,-0.1340013035345633,-0.13578992276319105,0.001788619228627747,0.0045475141053381895,Train,0.0061048101633787155,-0.001557296058040526,0.0024011318255227772,-0.0006125125968950303,-0.13338879093766826,-0.0006125125968950429,6.567199483879854,-0.0006125125968949874,740.8456785941577,-30.906530644938925
2012-12-01,439.48615,6.087879180908203,6.704447520318085,-0.6165683394098815,-0.11891178034649483,-0.4976565590633867,-1.2652778108010738,Train,-0.04832831025123596,-1.2169495005498379,-0.019008395136361995,-0.4786481639270247,-0.13792017548285682,-0.4786481639270247,6.566527344835228,-0.4786481639270246,740.3472226830928,-300.86107766356156
2013-01-01,642.32587,6.466651439666748,6.708306765818647,-0.241655326151899,-0.30920148010120746,0.06754615394930846,0.17173419749126156,Train,-0.40675175189971924,0.5784859493909809,-0.1599827923286354,0.22752894627794387,-0.46918427242984284,0.22752894627794384,6.2391224933888045,0.2275289462779435,533.357051191898,108.96881550732076
2013-02-01,777.5524,6.657436370849609,6.712166011319209,-0.05472964046960005,-0.22439797119614127,0.16966833072654122,0.4313769609868783,Train,-0.30631500482559204,0.7376919658124703,-0.12047921017003853,0.29014754089657974,-0.3448771813661798,0.29014754089657974,6.367288829953029,0.2901475408965801,606.4261398189935,171.12628938022522
