,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2010-04-01,5077.238,8.532719612121582,8.663208007448501,-0.13048839532691936,-0.24519349993583703,0.11470510460891767,0.18680051714083057,Train,0.18680051714083057,0.0,0.11470510460891767,0.0,-0.13048839532691936,0.0,8.532719612121582,0.0,5098.016494107591,-20.778701138840916
2010-05-01,5315.7656,8.578620910644531,8.65967380872273,-0.08105289807819815,-0.2830742773300606,0.20202137925186242,0.3289975476367585,Train,0.3289975476367585,0.0,0.20202137925186242,0.0,-0.08105289807819815,0.0,8.578620910644531,0.0,5337.522745942369,-21.7571209423686
2010-06-01,4986.3696,8.514663696289062,8.656139609996957,-0.14147591370789492,-0.11578788038498973,-0.025688033322905188,-0.041833691058562696,Train,-0.041833691058562696,0.0,-0.025688033322905188,0.0,-0.14147591370789492,0.0,8.514663696289062,0.0,5006.775282111993,-20.405653205742965
2010-07-01,5758.746,8.658648490905762,8.652605411271187,0.006043079634574511,0.024136200524180588,-0.018093120889606077,-0.029465160686556052,Train,-0.029465160686556052,0.0,-0.018093120889606077,0.0,0.006043079634574511,0.0,8.658648490905762,0.0,5782.312154228389,-23.566060478388863
2010-08-01,5452.0674,8.603933334350586,8.649071212545415,-0.045137878194829284,-0.04268536288494638,-0.0024525153098829064,-0.003993990762171494,Train,-0.003993990762171494,0.0,-0.0024525153098829064,0.0,-0.045137878194829284,0.0,8.603933334350586,0.0,5474.378463515818,-22.31108070331811
2010-09-01,5281.69,8.572190284729004,8.645537013819643,-0.07334672909063933,-0.03982731924950675,-0.03351940984113258,-0.05458730990157016,Train,-0.05458730990157016,0.0,-0.03351940984113258,0.0,-0.07334672909063933,0.0,8.572190284729004,0.0,5303.302848824687,-21.612907418437317
2010-10-01,6065.425,8.710524559020996,8.642002815093871,0.06852174392712485,0.15228652550010177,-0.08376478157297693,-0.1364133232724877,Train,0.03239741176366806,-0.16881073503615576,0.01989367354164276,-0.10365845511461969,0.17218019904174453,-0.10365845511461969,8.814183014135615,-0.10365845511461913,6755.5410415300785,-690.1162368425785
2010-11-01,5929.123,8.687800407409668,8.6384686163681,0.04933179104156871,0.11276492977008491,-0.0634331387285162,-0.10330266607360433,Train,-0.051978699862957,-0.05132396621064733,-0.03191758939682723,-0.03151554933168898,0.08084734037325769,-0.031515549331688986,8.719315956741356,-0.03151554933168832,6144.0324361152325,-214.90938924023249
2010-12-01,6042.708,8.706772804260254,8.634934417642327,0.07183838661792663,0.30806630087578407,-0.23622791425785744,-0.38470386036365545,Train,-0.09571848809719086,-0.2889853722664646,-0.05877606421141891,-0.17745185004643854,0.24929023666436517,-0.17745185004643854,8.884224654306692,-0.17745185004643815,7245.747293535453,-1203.0392857229526
2011-01-01,6235.802,8.7382230758667,8.631400218916557,0.10682285695014215,-0.03484115945883592,0.14166401640897808,0.2307038698553863,Train,-0.302853524684906,0.5335573945402923,-0.18596760738072074,0.3276316237896988,-0.22080876683955666,0.3276316237896988,8.410591452077,0.32763162378969923,4511.807732024184,1723.9940257883163
2011-02-01,5508.8594,8.614294052124023,8.627866020190785,-0.013571968066761642,-0.1223395091172972,0.10876754105053556,0.1771310264320788,Train,0.1191091239452362,0.05802190248684258,0.07313911508989365,0.035628425960641905,-0.049200394027403546,0.035628425960641905,8.578665626163382,0.03562842596064186,5337.761466094055,171.09790890594468
2011-03-01,5849.614,8.674302101135254,8.624331821465013,0.049970279670240814,-0.12519666226474999,0.1751669419349908,0.28526433458210915,Train,0.31793513894081116,-0.03267080435870201,0.19522849256119768,-0.020061550626206875,0.07003183029644769,-0.020061550626206875,8.69436365176146,-0.02006155062620607,5992.596902586507,-142.98313305525699
2011-04-01,5849.614,8.674302101135254,8.620797622739241,0.0535044783960128,-0.24519349993583703,0.29869797833184986,0.48643813203908853,Train,0.38573363423347473,0.1007044978056138,0.2368602482645781,0.06183773006727175,-0.008333251671258923,0.06183773006727172,8.612464371067983,0.061837730067271224,5521.288931184652,328.32483834659797
2011-05-01,6167.651,8.727235794067383,8.61726342401347,0.10997237005391369,-0.2830742773300606,0.39304664738397427,0.6400876163456111,Train,0.49036431312561035,0.14972330322000071,0.3011088550207164,0.09193779236325789,0.018034577690655806,0.09193779236325789,8.635298001704125,0.09193779236325739,5648.833447602101,518.8174313041491
2011-06-01,6542.4805,8.786224365234375,8.613729225287699,0.1724951399466761,-0.11578788038498973,0.2882830203316658,0.46947707745422435,Train,0.6464558243751526,-0.17697874692092824,0.39695705394697756,-0.10867403361531175,0.28116917356198784,-0.10867403361531175,8.894898398849687,-0.10867403361531203,7323.511502266254,-781.031033516254
2011-07-01,6565.1978,8.789690017700195,8.610195026561927,0.1794949911382684,0.024136200524180588,0.1553587906140878,0.2530061981812568,Train,0.4945451021194458,-0.241538903938189,0.30367607403180813,-0.14831728341772032,0.3278122745559887,-0.14831728341772032,8.938007301117915,-0.14831728341772,7646.1678670662495,-1080.9701131599995
2011-08-01,5258.973,8.56788158416748,8.606660827836155,-0.03877924366867447,-0.04268536288494638,0.0039061192162719097,0.00636122596375367,Train,-0.05369756370782852,0.060058789671582194,-0.03297306001410518,0.03687917923037709,-0.07565842289905156,0.03687917923037709,8.531002404937103,0.03687917923037709,5089.267940039896,169.70520449135438
2011-09-01,4815.9927,8.479905128479004,8.603126629110383,-0.12322150063137904,-0.03982731924950675,-0.0833941813818723,-0.1358097903470188,Train,-0.39470648765563965,0.25889669730862086,-0.24237004077577315,0.15897585939390085,-0.2821973600252799,0.15897585939390085,8.320929269085102,0.1589758593939017,4124.789245817397,691.2034299638526
