,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2013-01-01,642.32587,6.466651439666748,6.701821701038131,-0.2351702613713833,-0.12131444001683533,-0.11385582135454797,-0.3585170305746213,Train,-0.4861542880535126,0.12763725747889126,-0.15439014342680546,0.04053432207225749,-0.2757045834436408,0.04053432207225749,6.42611711759449,0.04053432207225782,622.0089114239165,20.316955275302234
2013-02-01,777.5524,6.657436370849609,6.703561048324744,-0.04612467747513449,-0.0452775340800291,-0.0008471433951053875,-0.0026675433093430847,Train,-0.6911452412605286,0.6884776979511855,-0.21949001695367457,0.21864287355856918,-0.26476755103370364,0.21864287355856915,6.43879349729104,0.21864287355856948,629.9566769589736,147.59575224024513
2013-03-01,980.39215,6.888972282409668,6.705300395611356,0.1836718867983116,-0.028071187396915387,0.21174307419522698,0.6667511357967305,Train,-0.8852221965789795,1.55197333237571,-0.2811238844392889,0.49286695863451585,-0.30919507183620426,0.49286695863451585,6.396105323775152,0.492866958634516,603.5890849957681,376.8030658831382
2013-04-01,709.93915,6.566586971282959,6.70703974289797,-0.1404527716150108,0.1311907096815281,-0.2716434812965389,-0.8553696519927448,Train,-1.0302839279174805,0.17491427592473563,-0.32719177288014256,0.05554829158360364,-0.19600106319861446,0.055548291583603665,6.511038679699356,0.055548291583603415,677.2272337693169,32.711914179901896
2013-05-01,405.6795,6.008025169372559,6.708779090184582,-0.7007539208120237,0.10911404566992615,-0.8098679664819498,-2.550167879395984,Train,-1.1323111057281494,-1.4178567736678347,-0.35959298994785566,-0.45027497653409415,-0.2504789442779295,-0.4502749765340942,6.4583001459066525,-0.4502749765340939,642.3853539658438,-236.70584957131257
2013-06-01,608.5193,6.412670612335205,6.710518437471196,-0.2978478251359906,0.07070729844706097,-0.3685551235830516,-1.1605316876911729,Train,-1.230599045753479,0.07006735806230613,-0.390806720918723,0.02225159733567139,-0.320099422471662,0.02225159733567139,6.390419014999534,0.02225159733567139,600.1609606998542,8.358326409520828
2013-07-01,574.71265,6.3556084632873535,6.712257784757808,-0.3566493214704547,0.033727300983446104,-0.3903766224539008,-1.2292447221657323,Train,-1.318191409111023,0.08894668694529062,-0.4186238108306719,0.028247188376771093,-0.3848965098472258,0.028247188376771093,6.327361274910582,0.028247188376771426,563.4235698777975,11.28907660657751
2013-08-01,811.359,6.699942588806152,6.713997132044422,-0.014054543238269268,0.14211153505330565,-0.15616607829157492,-0.4917464737374434,Train,-1.379841685295105,0.8880952115576616,-0.4382023586626204,0.2820362803710455,-0.29609082360931477,0.2820362803710455,6.417906308435107,0.2820362803710452,616.9144476039717,194.44456118509083
2013-09-01,473.29276,6.161824703216553,6.715736479331034,-0.5539117761144814,0.045194808031593925,-0.5991065841460753,-1.8865079623544048,Train,-1.4031596183776855,-0.4833483439767192,-0.4456075366513827,-0.15349904749469262,-0.40041272861978877,-0.15349904749469262,6.315323750711245,-0.15349904749469268,556.6700369545472,-83.37728182759406
2013-10-01,439.48615,6.087879180908203,6.7174758266176475,-0.6295966457094444,0.22731182880986145,-0.8569084745193059,-2.698292262125237,Train,-1.3103463649749756,-1.3879458971502614,-0.41613242585450844,-0.4407760486647974,-0.188820597044647,-0.4407760486647974,6.528655229573,-0.44077604866479714,689.2811198666666,-249.79497484713534
2013-11-01,507.0994,6.230677127838135,6.71921517390426,-0.4885380460661253,-0.058151051630285555,-0.4303869944358397,-1.3552321296122272,Train,-1.0243194103240967,-0.3309127192881305,-0.32529759494251453,-0.10508939949332519,-0.3834486465728001,-0.10508939949332519,6.33576652733146,-0.10508939949332508,568.1876862070538,-61.08829045510072
2013-12-01,540.906,6.295092582702637,6.720954521190873,-0.4258619384882367,-0.011157164511380824,-0.4147047739768559,-1.3058508766830208,Train,-0.8523826599121094,-0.4534682167709114,-0.2706948891580422,-0.14400988481881372,-0.281852053669423,-0.14400988481881372,6.43910246752145,-0.14400988481881338,630.1516539083178,-89.24564804894283
2014-01-01,540.906,6.295092582702637,6.722693868477486,-0.42760128577484924,-0.12131444001683533,-0.3062868457580139,-0.964457057520879,Train,-0.7551375031471252,-0.2093195543737537,-0.2398123194277193,-0.0664745263302946,-0.36112675944455463,-0.0664745263302946,6.361567109032931,-0.06647452633029438,583.0641450289147,-42.15813916953971
2014-02-01,777.5524,6.657436370849609,6.724433215764099,-0.06699684491448998,-0.0452775340800291,-0.02171931083446088,-0.06839125776669892,Train,-0.8237028121948242,0.7553115544281253,-0.26158690448869126,0.23986759365423038,-0.30686443856872037,0.23986759365423038,6.417568777195379,0.23986759365423005,616.7059173691404,160.84651183007838
2014-03-01,743.7458,6.613042831420898,6.726172563050712,-0.11312973162981343,-0.028071187396915387,-0.08505854423289805,-0.2678381864060969,Train,-0.7412470579147339,0.473408871508637,-0.23540106998615307,0.15034252575325502,-0.26347225738306845,0.15034252575325502,6.462700305667643,0.15034252575325535,645.2225898790857,98.52319869513303
2014-04-01,473.29276,6.161824703216553,6.727911910337325,-0.5660872071207725,0.1311907096815281,-0.6972779168023007,-2.1956365976119936,Train,-0.6318607330322266,-1.563775864579767,-0.2006627763980021,-0.49661514040429855,-0.06947206671647399,-0.49661514040429855,6.658439843620851,-0.4966151404042982,784.9424325864092,-311.64967745945603
