,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataRolled,DataNormalised,ConfLowerNormalised,ConfUpperNormalised,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal,ConfLowerSeasons,ConfUpperSeasons,ConfLowerLinear,ConfUpperLinear,ConfLowerLog,ConfUpperLog,ConfLowerOriginal,ConfUpperOriginal,Purpose
2010-04-01,142.75517,4.968111515045166,4.920229581991832,0.047881933053334436,-0.20448535900210865,0.25236729205544306,0.23107748102606207,1.03052392070466,0.0,0.0,1.03052392070466,0.0,0.23107748102606207,0.02128981102938099,0.02659212202395342,0.021289811029381017,4.946821704015785,0.02128981102938088,161.10048101618779,-18.345308286695598,0.0023015500064149405,0.0023015500064149405,-0.20218380899569371,-0.20218380899569371,4.718045772996138,4.718045772996138,127.95202875977407,127.95202875977407,Train
2010-05-01,214.13277,5.371255397796631,4.929610397210761,0.4416450005858694,-0.06979626417160034,0.5114412647574698,0.10719507180836463,0.4724941249811011,0.0,0.0,0.4724941249811011,0.0,0.10719507180836463,0.40424619294910513,0.037398807636764286,0.40424619294910513,4.967009204847526,0.40424619294910524,164.40613883292875,49.726627890704066,0.0023015500064149405,0.0023015500064149405,-0.0674947141651854,-0.0674947141651854,4.862115683045576,4.862115683045576,147.9350604702059,147.9350604702059,Train
2010-06-01,142.75517,4.968111515045166,4.938991212429692,0.029120302615473825,-0.09449906924470741,0.12361937186018124,0.044152019368690995,0.18851594037153838,0.0,0.0,0.18851594037153838,0.0,0.044152019368690995,0.07946735249149024,-0.05034704987601642,0.07946735249149024,4.888644162553676,0.0794673524914904,151.93895497419092,-9.183782244698733,0.0023015500064149405,0.0023015500064149405,-0.09219751923829247,-0.09219751923829247,4.846793693191399,4.846793693191399,145.67047228669279,145.67047228669279,Train
2010-07-01,190.34024,5.254053115844727,4.948372027648622,0.3056810881961045,-0.13822283322106985,0.4439039214171744,-0.030380766385403976,-0.14721788553409926,-1960.1116031305119,1959.8171673010697,-0.14721791472117113,2.918707187049563e-08,-0.03038077286492318,0.4742846942820976,-0.16860360608599304,0.4742846942820975,4.779768421562629,0.4742846942820975,136.16205550796562,54.17818497055001,-435.14175275003095,435.08099120430114,-435.279975583252,434.9427683710801,-430.33160355560335,439.89114039872874,-1.0,1.2697021291589744e+191,Train
2010-08-01,118.96265,4.787180423736572,4.957752842867553,-0.17057241913098053,-0.04877151800787112,-0.12180090112310941,-0.025783432401288765,-0.1265091395528959,-1960.0908943537017,1959.8378760778803,-0.1265091379107516,-1.6421442816660914e-09,-0.025783432036733337,-0.09601746908637608,-0.07455495004460445,-0.09601746908637608,4.883197892822948,-0.09601746908637576,151.10827228735047,-32.145625802975474,-435.1371554092028,435.0855885451293,-435.1859269272107,435.03681702712146,-430.22817408434315,439.994569869989,-1.0,1.4080584930772908e+191,Train
2010-09-01,118.96265,4.787180423736572,4.967133658086483,-0.1799532343499104,-0.3568871715391239,0.17693393718921352,0.012922899828239076,0.047843997455405185,-1959.916541199769,1960.0122292318126,0.04784401602193441,-1.8566529223773554e-08,0.01292290395000173,0.1640110332392118,-0.3439642675891222,0.1640110332392118,4.6231693904973605,0.16401103323921173,116.27998176113864,2.682664723236357,-435.0984490732161,435.124294881116,-435.45533624475524,434.76740770957684,-430.48820258666876,439.7345413676633,-1.0,1.0856547898640543e+191,Train
2010-10-01,95.17012,4.5661187171936035,4.9765144733054125,-0.410395756111809,0.22570362738601116,-0.6360993834978201,0.03130709935093689,0.13065584434291833,-1959.833729368442,1960.0950410631397,0.13065584734879404,-3.005875715000883e-09,0.03130710001824019,-0.6674064835160604,0.25701072740425135,-0.6674064835160604,5.233525200709664,-0.6674064835160607,214.9225746724967,-119.75245443323888,-435.08006487714783,435.14267907718425,-434.85436124976184,435.36838270457025,-429.8778467764564,440.3448971778757,-1.0,1.9987842248340313e+191,Train
2010-11-01,118.96265,4.787180423736572,4.985895288524343,-0.198714864787771,0.1984344829212534,-0.39714934770902444,0.03468934724490135,0.14589122048125872,-1959.818493997258,1960.1102764343236,0.1458912185327827,1.9484760194199424e-09,0.03468934681234039,-0.4318386945213648,0.2331238297335938,-0.4318386945213648,5.219019118257937,-0.4318386945213648,211.81299245711028,-92.85034597273528,-435.07668263035373,435.14606132397836,-434.8782481474325,435.3444958068996,-429.89235285890817,440.3303910954239,-1.0,1.969998981385633e+191,Train
2010-12-01,142.75517,4.968111515045166,4.995276103743273,-0.027164588698107117,0.5994784637200566,-0.6266430524181638,0.04196063926474065,0.17864484245309886,-1959.7857403681621,1960.1430300634195,0.1786448476287317,-5.175632838971822e-09,0.04196064041372923,-0.668603692831893,0.6414391041337859,-0.668603692831893,5.636715207877059,-0.6686036928318932,322.14783111935316,-179.39265838986097,-435.06941133675235,435.15333261757974,-434.4699328730323,435.7528110812998,-429.474656769289,440.74808718504306,-1.0,2.9913629369711226e+191,Train
2011-01-01,166.5477,5.121268272399902,5.004656918962204,0.11661135343769846,0.10101877998195029,0.015592573455748174,0.04534288715870511,0.19388021859143925,-1959.7705049969404,1960.1582654346412,0.19388021885046566,-2.5902641143105143e-10,0.04534288721620888,-0.02975031376046071,0.14636166719815918,-0.029750313760460723,5.1510185861603635,-0.02975031376046111,197.82266132328002,-31.27496234867064,-435.0660290899499,435.1567148643822,-434.96501030996797,435.2577336443641,-429.96035339100575,440.26239056332633,-1.0,1.840491201974785e+191,Train
