,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2010-04-01,142.75517,4.968111515045166,4.810990661075435,0.1571208539697313,0.03292116152986492,0.12419969243986638,0.214460041577611,Train,0.214460041577611,0.0,0.1241996924398664,-1.3877787807814457e-17,0.1571208539697313,0.0,4.968111515045166,0.0,155.75412946869767,-12.998956739205482
2010-05-01,214.13277,5.371255397796631,4.823057595692571,0.5481978021040597,0.18146389606827334,0.3667339060357863,0.6332525241512509,Train,0.6332525241512509,0.0,0.3667339060357863,0.0,0.5481978021040597,0.0,5.371255397796631,0.0,233.58603467674985,-19.453267953117034
2010-06-01,142.75517,4.968111515045166,4.835124530309707,0.13298698473545922,-0.05721624223335178,0.190203226968811,0.3284307002907976,Train,0.3284307002907976,0.0,0.19020322696881103,-2.7755575615628914e-17,0.13298698473545925,-2.7755575615628914e-17,4.968111515045166,0.0,155.75412946869767,-12.998956739205482
2010-07-01,190.34024,5.254053115844727,4.847191464926843,0.4068616509178833,-0.2749089758176374,0.6817706267355207,1.1772376733290644,Train,1.1772376733290644,0.0,0.6817706267355207,0.0,0.4068616509178833,0.0,5.254053115844727,0.0,207.6420541804919,-17.301813701976272
2010-08-01,118.96265,4.787180423736572,4.85925839954398,-0.07207797580740749,-0.07348256326680493,0.0014045874593974356,0.0024253512953553535,Train,0.0024253512953553535,0.0,0.0014045874593974356,0.0,-0.07207797580740749,0.0,4.787180423736572,0.0,129.8102018995315,-10.847555415156506
2010-09-01,118.96265,4.787180423736572,4.871325334161115,-0.08414491042454308,-0.6436635980448256,0.5595186876202826,0.9661408869316942,Train,0.9661408869316942,0.0,0.5595186876202826,0.0,-0.08414491042454308,0.0,4.787180423736572,0.0,129.8102018995315,-10.847555415156506
2010-10-01,95.17012,4.5661187171936035,4.883392268778252,-0.3172735515846483,0.13788045738549304,-0.45515400897014135,-0.7859306715692046,Train,0.02713840827345848,-0.8130690798426631,0.015716596602688274,-0.4708706055728296,0.1535970539881813,-0.4708706055728296,5.036989322766433,-0.4708706055728298,166.9315290563441,-71.76140881708628
2010-11-01,118.96265,4.787180423736572,4.895459203395388,-0.10827877965881605,0.12718562169108638,-0.23546440134990243,-0.40658478544942267,Train,0.019255567342042923,-0.4258403527914656,0.011151427203148198,-0.24661582855305064,0.1383370488942346,-0.24661582855305064,5.033796252289623,-0.24661582855305042,166.39616702799793,-47.43352054362293
2010-12-01,142.75517,4.968111515045166,4.907526138012525,0.06058537703264122,0.45163041822171623,-0.391045041189075,-0.6752314288759752,Train,0.006003663409501314,-0.6812350922854765,0.003476886153184377,-0.3945219273422594,0.4551073043749006,-0.3945219273422594,5.362633442387425,-0.3945219273422591,231.57213868262846,-88.81696595313628
2011-01-01,166.5477,5.121268272399902,4.91959307262966,0.20167519977024195,0.1864656514016687,0.015209548368573245,0.026262869991245642,Train,-0.008212213404476643,0.034475083395722285,-0.004755918032951779,0.019965466401525023,0.18170973336871693,0.019965466401525023,5.101302805998377,0.01996546640152541,178.08665850521243,-11.538959530603051
2011-02-01,214.13277,5.371255397796631,4.931660007246797,0.439595390549834,-0.05539167275327872,0.4949870633031127,0.8547118281131174,Train,-0.014487345702946186,0.8691991738160636,-0.008390019265779074,0.5033770825688918,-0.0637816920190578,0.5033770825688918,4.867878315227739,0.5033770825688917,140.80392926841375,73.32883745521906
2011-03-01,166.5477,5.121268272399902,4.943726941863933,0.177541330535969,-0.14157930772975957,0.31912063826572856,0.551036995392543,Train,-0.0031559481285512447,0.5541929435210943,-0.0018276961248298023,0.32094833439055837,-0.14340700385458938,0.32094833439055837,4.800319938009344,0.32094833439055837,131.5403260180562,35.00737295655318
2011-04-01,166.5477,5.121268272399902,4.955793876481069,0.1654743959188334,0.03292116152986492,0.1325532343889685,0.22888440059598894,Train,0.006524600554257631,0.2223598000417313,0.0037785751423465947,0.1287746592466219,0.03669973667221151,0.12877465924662188,4.992493613153281,0.12877465924662168,159.62309916255973,6.9245998120496495
2011-05-01,261.71783,5.571080684661865,4.967860811098205,0.6032198735636598,0.18146389606827334,0.42175597749538646,0.7282610986581913,Train,0.014090904034674168,0.7141701946235172,0.008160429021799212,0.41359554847358726,0.18962432509007254,0.41359554847358726,5.157485136188278,0.41359554847358737,188.43617200781352,73.28166246484273
2011-06-01,166.5477,5.121268272399902,4.979927745715342,0.14134052668456043,-0.05721624223335178,0.1985567689179122,0.3428550593091739,Train,0.02061687409877777,0.32223818521039616,0.011939797284861504,0.18661697163305072,-0.04527644494849028,0.18661697163305072,4.934651300766852,0.18661697163305035,150.59588199009764,15.951816984511737
2011-07-01,47.58506,3.8833160400390625,4.9919946803324775,-1.108678640293415,-0.2749089758176374,-0.8337696644757776,-1.4396998365853473,Train,0.024009231477975845,-1.4637090680633231,0.01390440449114164,-0.8476740689669192,-0.26100457132649574,-0.8476740689669193,4.730990109005981,-0.8476740689669189,122.66262821030577,-75.07756809067686
2011-08-01,237.9253,5.476150989532471,5.004061614949614,0.4720893745828567,-0.07348256326680493,0.5455719378496616,0.9420585363483539,Train,0.009804829955101013,0.9322537063932529,0.005678245960835735,0.5398936918888259,-0.0678043173059692,0.539893691888826,4.936257297643645,0.5398936918888255,150.83954010782568,87.08575286092432
