,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal,Purpose
2010-04-01,470.8652,6.156693458557129,5.990414299517783,0.16627915903934554,0.07169353493253716,0.09458562410680837,0.3788186523712656,0.3788186523712656,0.0,0.09458562410680837,0.0,0.16627915903934554,0.0,6.156693458557129,0.0,479.0644772775938,-8.199273420171949,Train
2010-05-01,382.57797,5.949542999267578,5.99039687274984,-0.04085387348226188,4.313155114803951e-05,-0.04089700503340992,-0.16379390080761802,-0.16379390080761802,0.0,-0.04089700503340992,0.0,-0.04085387348226188,0.0,5.949542999267578,0.0,389.24313316574427,-6.665160753634893,Train
2010-06-01,412.00705,6.023464679718018,5.990379445981897,0.033085233736120934,-0.03962500890096058,0.0727102426370815,0.2912070030670158,0.2912070030670158,0.0,0.0727102426370815,0.0,0.03308523373612093,6.938893903907228e-18,6.023464679718018,0.0,419.1835517158114,-7.176502155264529,Train
2010-07-01,470.8652,6.156693458557129,5.990362019213952,0.1663314393431765,0.016482507876884336,0.1498489314662922,0.6001500842584058,0.6001500842584058,0.0,0.1498489314662922,0.0,0.1663314393431765,0.0,6.156693458557129,0.0,479.0644772775938,-8.199273420171949,Train
2010-08-01,412.00705,6.023464679718018,5.990344592446009,0.03312008727200855,0.07441387380294964,-0.041293786530941096,-0.16538302424577264,-0.16538302424577264,0.0,-0.041293786530941096,0.0,0.03312008727200855,0.0,6.023464679718018,0.0,419.1835517158114,-7.176502155264529,Train
2010-09-01,294.29077,5.687960624694824,5.990327165678066,-0.30236654098324145,-0.21632779347598052,-0.08603874750726093,-0.34458811991986515,-0.34458811991986515,0.0,-0.08603874750726093,0.0,-0.30236654098324145,0.0,5.687960624694824,0.0,299.4218304977505,-5.131059013375477,Train
2010-10-01,206.00352,5.332736015319824,5.990309738910122,-0.6575737235902981,-0.17794929416775385,-0.47962442942254424,-1.920912207472627,0.0271416156249904,-1.9480538230976174,0.006776874995692664,-0.4864013044182369,-0.1711724191720612,-0.4864013044182369,5.819137319738061,-0.48640130441823715,341.5317258815218,-135.52820110124838,Train
2010-11-01,470.8652,6.156693458557129,5.990292312142178,0.16640114641495085,0.15815482302606265,0.0082463233888882,0.033026806586048785,-0.1939226193442758,0.22694942593032458,-0.04841971709758573,0.05666604048647393,0.10973510592847692,0.05666604048647393,6.100027418070655,0.05666604048647361,452.61752274424913,18.247681113172746,Train
2010-12-01,647.4397,6.474568843841553,5.990274885374235,0.48429395846731804,0.26505929231643655,0.2192346661508815,0.8780423195237256,0.048397897803310386,0.8296444217204152,0.012084266021561084,0.2071504001293204,0.27714355833799764,0.2071504001293204,6.2674184437122324,0.2071504001293203,535.2740982518656,112.16559901375945,Train
2011-01-01,441.43613,6.092296123504639,5.990257458606291,0.10203866489834734,0.02786137894689844,0.0741772859514489,0.2970825616052919,-0.027607882352330804,0.3246904439576227,-0.006893295159086581,0.08107058111053549,0.02096808378781186,0.08107058111053549,6.0112255423941034,0.08107058111053522,414.07221053335047,27.363916175633904,Train
2011-02-01,412.00705,6.023464679718018,5.990240031838348,0.03322464787966961,-0.2207728180110492,0.2539974658907188,1.0172685187950528,0.04080215702737511,0.9764663617676776,0.010187717693361954,0.24380974819735685,-0.21058510031768723,0.24380974819735685,5.7796549315206605,0.24380974819735712,328.2712553811511,83.73579417939578,Train
2011-03-01,735.72687,6.602217197418213,5.990222605070405,0.6119945923478083,0.025595970031613624,0.5863986223161947,2.3485464937815834,-0.27471925157343224,2.623265745355016,-0.06859348583174302,0.6549921081479377,-0.04299751580012939,0.6549921081479377,5.947225089270275,0.6549921081479377,388.33963222744967,347.3872354483316,Train
2011-04-01,529.7234,6.274240970611572,5.99020517830246,0.2840357923091119,0.07169353493253716,0.21234225737657475,0.8504379871726868,0.44755103332369917,0.40288695384898765,0.11174712106066313,0.10059513631591162,0.1834406559932003,0.1005951363159116,6.173645834295661,0.10059513631591166,487.2720833263259,42.45130534554909,Train
2011-05-01,353.14893,5.869717597961426,5.990187751534517,-0.12047015357309121,4.313155114803951e-05,-0.12051328512423926,-0.48265981955192566,0.47129285262064124,-0.9539526721725669,0.11767511531748097,-0.23818840044172024,0.11771824686862901,-0.23818840044172024,6.107905998403146,-0.23818840044171985,456.2055003629636,-103.05657458171362,Train
2011-06-01,353.14893,5.869717597961426,5.990170324766574,-0.12045272680514785,-0.03962500890096058,-0.08082771790418727,-0.3237177685282625,0.2345957872875586,-0.5583135558158211,0.05857522805311822,-0.13940294595730549,0.018950219152157638,-0.13940294595730549,6.009120543918732,-0.13940294595730585,413.19940311443713,-60.05047733318713,Train
2011-07-01,382.57797,5.949542999267578,5.99015289799863,-0.04060989873105214,0.016482507876884336,-0.05709240660793648,-0.22865703679692753,-0.22741933164280928,-0.0012377051541182515,-0.05678336925264872,-0.00030903735528775567,-0.040300861375764385,-0.00030903735528775567,5.9498520366228655,-0.0003090373552874226,389.3637515083637,-6.785779096254316,Train
2011-08-01,529.7234,6.274240970611572,5.990135471230687,0.28410549938088536,0.07441387380294964,0.20969162557793572,0.8398221163638311,0.5811441857131466,0.25867793065068445,0.1451034291940013,0.06458819638393443,0.21951730299695094,0.06458819638393443,6.209652774227638,0.06458819638393454,505.1736226568598,24.549766015015223,Train
2011-09-01,323.71985,5.782962799072266,5.990118044462743,-0.20715524539047703,-0.21632779347598052,0.009172548085503496,0.03673636810428309,0.5733108776303191,-0.536574509526036,0.14314756369161044,-0.13397501560610695,-0.07318022978437008,-0.13397501560610695,5.916937814678373,-0.13397501560610703,376.72438092350166,-53.004532290689156,Train
2011-10-01,264.8617,5.582976341247559,5.990100617694799,-0.4071242764472407,-0.17794929416775385,-0.22917498227948685,-0.9178536248414392,0.03290048856141675,-0.9507541134028559,0.008214783576577029,-0.2373897658560639,-0.1697345105911768,-0.2373897658560639,5.820366107103623,-0.2373897658560642,341.952883242018,-77.0911889060805,Train
2011-11-01,500.29428,6.217193126678467,5.990083190926856,0.22710993575161087,0.15815482302606265,0.06895511272554822,0.2761675796239804,-0.31349869990844714,0.5896662795324276,-0.07827616196272262,0.14723127468827085,0.07987866106334003,0.14723127468827085,6.069961851990196,0.1472312746882709,439.1822369163601,61.11204408949925,Train
2011-12-01,559.15247,6.328208923339844,5.990065764158913,0.3381431591809312,0.26505929231643655,0.07308386686449464,0.29270338084808406,0.3461886400368812,-0.05348525918879715,0.0864383745932448,-0.013354507728750159,0.3514976669096813,-0.013354507728750131,6.341563431068594,-0.013354507728750242,576.5473295993354,-17.3948637790229,Train
2012-01-01,441.43613,6.092296123504639,5.990048337390968,0.10224778611367036,0.02786137894689844,0.07438640716677192,0.297920099209119,0.6415657053587552,-0.34364560614963624,0.1601898224045463,-0.08580341523777438,0.18805120135144474,-0.08580341523777438,6.178099538742413,-0.08580341523777424,489.45155262855513,-48.01542591957076,Train
2012-02-01,382.57797,5.949542999267578,5.990030910623025,-0.040487911355446826,-0.2207728180110492,0.18028490665560237,0.7220472035479093,0.24386595760455657,0.47818124594335276,0.06088985759820809,0.11939504905739429,-0.1598829604128411,0.11939504905739429,5.830147950210184,0.11939504905739451,345.3240557986601,37.25391661344929,Train
2012-03-01,294.29077,5.687960624694824,5.990013483855082,-0.30205285916025737,0.025595970031613624,-0.327648829191871,-1.3122447422383006,-0.45141466131977803,-0.8608300809185225,-0.11271181396329112,-0.2149370152285799,-0.0871158439316775,-0.2149370152285799,5.902897639923404,-0.2149370152285801,371.45812072255904,-77.16734923818404,Train
2012-04-01,412.00705,6.023464679718018,5.989996057087138,0.03346862263087935,0.07169353493253716,-0.03822491230165781,-0.1530920782292699,0.16258202646130981,-0.3156741046905797,0.04059441726306896,-0.07881932956472677,0.11228795219560612,-0.07881932956472677,6.102284009282744,-0.07881932956472681,453.64230788542744,-41.63525832488057,Train
2012-05-01,323.71985,5.782962799072266,5.989978630319195,-0.20701583124692924,4.313155114803951e-05,-0.20705896279807728,-0.8292782120884015,0.6600750258031175,-1.4893532378915189,0.16481133619502117,-0.3718702989930984,0.16485446774616921,-0.3718702989930984,6.154833098065364,-0.3718702989930982,478.1722145131034,-154.45236588029093,Train
2012-06-01,470.8652,6.156693458557129,5.989961203551251,0.1667322550058783,-0.03962500890096058,0.20635726390683887,0.8264678840828561,0.0160781609831514,0.8103897230997047,0.00401448788638494,0.20234277602045392,-0.03561052101457564,0.20234277602045392,5.954350682536675,0.20234277602045392,391.1238157886571,79.74138806876476,Train
2012-07-01,412.00705,6.023464679718018,5.989943776783307,0.03352090293471033,0.016482507876884336,0.017038395057825992,0.06823935365787022,-0.014724987294093439,0.08296434095196366,-0.003676619681893717,0.02071501473971971,0.012805888194990619,0.02071501473971971,6.002749664978298,0.020715014739719706,410.56897682072866,1.4380727398182103,Train
2012-08-01,353.14893,5.869717597961426,5.989926350015364,-0.1202087520539381,0.07441387380294964,-0.19462262585688775,-0.7794702582372274,-0.26105351494425144,-0.5184167432929759,-0.06518134595990922,-0.1294412798969785,0.00923252784304042,-0.1294412798969785,5.999158877858404,-0.1294412798969784,409.0937704009971,-55.94484461974707,Train
2012-09-01,441.43613,6.092296123504639,5.9899089232474205,0.10238720025721815,-0.21632779347598052,0.31871499373319867,1.2764644263507696,0.6983790829381914,0.5780853434125782,0.1743753139117072,0.14433967982149146,-0.04195247956427331,0.14433967982149146,5.947956443683148,0.1443396798214911,388.62448163582457,52.81164507315981,Train
2012-10-01,382.57797,5.949542999267578,5.989891496479477,-0.04034849721189904,-0.17794929416775385,0.1376007969558548,0.5510958875649793,-0.07488607561886518,0.6259819631838445,-0.018697986899489014,0.15629878385534382,-0.19664728106724286,0.15629878385534382,5.793244215412234,0.1562987838553438,332.7763571724244,49.80161523968496,Train
