,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataNormalised,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal,Purpose
2010-04-01,5077.238,8.532719612121582,8.595025105884622,-0.06230549376303962,-0.03559095344057223,-0.026714540322467388,-0.15419552177111598,-0.15419552177111598,0.0,-0.026714540322467385,-3.469446951953614e-18,-0.06230549376303962,0.0,8.532719612121582,0.0,5096.403788284118,-19.16599531536758,Train
2010-05-01,5315.7656,8.578620910644531,8.592739128608239,-0.01411821796370738,-0.04658669240496533,0.03246847444125795,0.1874070561255874,0.1874070561255874,0.0,0.03246847444125795,0.0,-0.01411821796370738,0.0,8.578620910644531,0.0,5335.834289603567,-20.068664603567413,Train
2010-06-01,4986.3696,8.514663696289062,8.590453151331854,-0.07578945504279133,-0.08835797839694631,0.012568523354154981,0.07254513808184392,0.07254513808184392,0.0,0.01256852335415498,1.734723475976807e-18,-0.07578945504279133,0.0,8.514663696289062,0.0,5005.19143386019,-18.821804953940045,Train
2010-07-01,5758.746,8.658648490905762,8.58816717405547,0.07048131685029091,0.004028446216270175,0.06645287063402074,0.38356396692267314,0.38356396692267314,0.0,0.06645287063402074,0.0,0.07048131685029091,0.0,8.658648490905762,0.0,5780.483020864952,-21.736927114951868,Train
2010-08-01,5452.0674,8.603933334350586,8.585881196779086,0.018052137571499927,-0.08239943437003047,0.1004515719415304,0.579803446411032,0.579803446411032,0.0,0.10045157194153038,1.3877787807814457e-17,0.018052137571499913,1.3877787807814457e-17,8.603933334350586,0.0,5472.646722748939,-20.579339936439283,Train
2010-09-01,5281.69,8.572190284729004,8.583595219502703,-0.011404934773699082,-0.14972358963554866,0.13831865486184958,0.7983711080053468,0.4652075391767131,0.33316356882863374,0.08059770751383853,0.057720947348011045,-0.06912588212171013,0.057720947348011045,8.514469337380993,0.057720947348011364,5004.218530508795,277.4714108974549,Train
2010-10-01,6065.425,8.710524559020996,8.581309242226318,0.1292153167946779,0.0504990417317166,0.0787162750629613,0.45434796776211017,0.7370287719194109,-0.2826808041573007,0.12769102902668053,-0.048974753963719225,0.17819007075839713,-0.048974753963719225,8.759499312984715,-0.04897475396371931,6393.965561906557,-328.540757219057,Train
2010-11-01,5929.123,8.687800407409668,8.579023264949935,0.1087771424597328,0.08839235695976044,0.020384785499972358,0.11766036766565645,0.5030581422625076,-0.3853977745968511,0.08715536528982834,-0.06677057978985598,0.17554772224958878,-0.06677057978985598,8.754570987199523,-0.06677057978985523,6362.5266225336045,-433.4035756586045,Train
2010-12-01,6042.708,8.706772804260254,8.57673728767355,0.13003551658670354,0.21096265316009455,-0.08092713657339101,-0.4671089937819994,0.21791552205176823,-0.6850245158337676,0.037754099041765965,-0.11868123561515698,0.2487167522018605,-0.11868123561515698,8.82545403987541,-0.11868123561515631,6829.963802613464,-787.2557948009644,Train
2011-01-01,6235.802,8.7382230758667,8.574451310397167,0.16377176546953187,0.07806875315528927,0.0857030123142426,0.49467520465014164,-0.3106063601819163,0.8052815648320579,-0.053812886640194006,0.1395158989544366,0.024255866515095266,0.1395158989544366,8.598707176912262,0.1395158989544374,5444.115203259913,791.686554552587,Train
2011-02-01,5508.8594,8.614294052124023,8.572165333120783,0.04212871900324089,-0.00852962320602213,0.05065834220926302,0.2923984247802172,0.21329492240589065,0.07910350237432656,0.03695357517352418,0.013704767035738842,0.028423951967502047,0.013704767035738842,8.600589285088285,0.01370476703573864,5454.373149357379,54.48622564262132,Train
2011-03-01,5849.614,8.674302101135254,8.5698793558444,0.10442274529085438,0.01034456512993187,0.09407818016092251,0.5430164210982263,0.100238920168355,0.44277750092987134,0.017366500946071724,0.07671167921485078,0.027711066076003595,0.07671167921485078,8.597590421920403,0.076711679214851,5438.037737826978,411.5760317042723,Train
2011-04-01,5849.614,8.674302101135254,8.567593378568017,0.1067087225672374,-0.03559095344057223,0.14229967600780963,0.8213494421025611,0.6495892328119004,0.17176020929066071,0.11254203464321902,0.02975764136459061,0.07695108120264679,0.02975764136459061,8.644544459770664,0.029757641364589915,5699.513147371095,150.10062216015467,Train
2011-05-01,6167.651,8.727235794067383,8.565307401291632,0.1619283927757511,-0.04658669240496533,0.20851508518071643,1.2035427886269412,0.8333272827871323,0.3702155058398089,0.14437484981486118,0.06414023536585525,0.09778815740989585,0.06414023536585525,8.663095558701528,0.06414023536585489,5806.250921152206,361.3999577540444,Train
2011-06-01,6542.4805,8.786224365234375,8.563021424015249,0.22320294121912632,-0.08835797839694631,0.31156091961607263,1.7983202399812768,1.1187035522946125,0.6796166876866643,0.19381659605538643,0.1177443235606862,0.10545861765844011,0.1177443235606862,8.66848004167369,0.11774432356068587,5837.60429996795,704.8761687820497,Train
2011-07-01,6565.1978,8.789690017700195,8.560735446738864,0.22895457096133143,0.004028446216270175,0.22492612474506124,1.2982668144902039,1.6175028787170103,-0.3192360642268064,0.2802341169112146,-0.05530799216615334,0.28426256312748477,-0.05530799216615334,8.844998009866348,-0.055307992166152786,6964.781095460664,-399.5833415544139,Train
2011-08-01,5258.973,8.56788158416748,8.55844946946248,0.009432114704999606,-0.08239943437003047,0.09183154907503008,0.5300489341665854,1.062335935017488,-0.5322870008509025,0.18405084561506962,-0.09221929654003955,0.10165141124503915,-0.09221929654003955,8.66010088070752,-0.0922192965400388,5788.8860886313105,-529.9129441000605,Train
