,DataOriginal,DataLog,Linear,DataLinear,MonthlyAverage,DataSeasons,DataRolled,DataNormalised,Purpose,ModelledNormalised,ResidualsNormalised,ModelledSeasons,ResidualsSeasons,ModelledLinear,ResidualsLinear,ModelledLog,ResidualsLog,ModelledOriginal,ResidualsOriginal
2012-09-01,0.0,0.0,6.2373912888467835,-6.2373912888467835,-0.7257714811076776,-5.511619807739105,-0.564480686291414,-2.401987232640509,Train,-2.35880708694458,-0.043180145695929095,-0.5541925238338601,-4.957427283905245,-1.2799640049415377,-4.957427283905246,4.957427283905246,-4.957427283905246,163.85434870268853,-163.85434870268853
2012-10-01,642.3983,6.466763973236084,6.247465020109211,0.21929895312687275,0.19495671567326056,0.024342237453612192,-0.6591313798615652,-2.7992428898525574,Train,-2.62351655960083,-0.17572633025172735,-0.6172625763973385,0.6416048138509507,-0.42230586072407794,0.6416048138509507,5.825159159385134,0.6416048138509503,391.60115525185233,250.79716017783517
2012-11-01,713.7759,6.571969032287598,6.257538751371638,0.3144302809159596,0.18624572540433304,0.12818455551162655,-0.6554627042547215,-2.7838451987810777,Train,-3.011530876159668,0.22768567737859025,-0.7097114151003167,0.8378959706119432,-0.5234656896959836,0.8378959706119432,5.734073061675654,0.8378959706119433,357.4209475133508,356.3549313928992
2012-12-01,999.2862,6.908041477203369,6.267612482634066,0.6404289945693034,0.5135604500096729,0.12686854455963048,-0.6460921303235088,-2.7445162370472787,Train,-2.8746352195739746,0.13011898252669596,-0.6770944627489981,0.8039630073086286,-0.16353401273932522,0.8039630073086286,6.10407846989474,0.8039630073086288,517.9012186593905,481.3849751882658
2013-01-01,856.53107,6.75405740737915,6.2776862138964935,0.4763711934826569,0.24990602931700856,0.22646516416564832,-0.5927983710630513,-2.52083855903193,Train,-2.630463123321533,0.10962456428960321,-0.6189176744737465,0.8453828386393948,-0.3690116451567379,0.8453828386393948,5.908674568739755,0.8453828386393951,425.7974880043656,430.73357889016563
2013-02-01,428.26553,6.062075614929199,6.28775994515892,-0.22568433022972112,0.008908228173142074,-0.2345925584028632,-0.5074988489895267,-2.162830430163049,Train,-2.245021343231201,0.08219091306815196,-0.5270817719406077,0.2924892135377445,-0.5181735437674656,0.2924892135377445,5.769586401391455,0.2924892135377446,370.3783916454719,57.887141801793746
2013-03-01,214.13277,5.371255397796631,6.297833676421348,-0.9265782786247172,-0.07539784294829399,-0.8511804356764232,-0.005524539611957363,-0.05600874028758946,Train,-1.7212140560150146,1.6652053157274251,-0.4022787083919187,-0.4489017272845045,-0.4776765513402127,-0.4489017272845045,5.820157125081136,-0.44890172728450484,389.642254135149,-175.5094874115162
2013-04-01,642.3983,6.466763973236084,6.307907407683775,0.1588565655523091,0.08976414710619648,0.06909241844611261,0.045297864773802446,0.15729648647652159,Train,0.057040609419345856,0.10025587705717573,0.021410758005980444,0.04768166044013217,0.11117490511217692,0.04768166044013217,6.419082312795952,0.04768166044013178,710.031958755288,-67.63364332560047
2013-05-01,785.15344,6.667151927947998,6.317981138946203,0.34917078900179543,0.2409306226681776,0.10824016633361783,0.04308521581969076,0.1480098422767755,Train,0.09246000647544861,0.055549835801326886,0.029849833539163366,0.07839033279445445,0.270780456207341,0.07839033279445445,6.588761595153543,0.07839033279445484,841.5193759931899,-56.3659336103774
2013-06-01,713.7759,6.571969032287598,6.32805487020863,0.24391416207896732,0.0035593204354270234,0.2403548416435403,0.03221532816540595,0.1023881547745743,Train,0.21217946708202362,-0.10979131230744932,0.05837436119417961,0.1819804804493607,0.061933681629606635,0.1819804804493607,6.389988551838237,0.18198048044936055,689.6433930749939,24.132485831256076
2013-07-01,499.6431,6.215893268585205,6.338128601471057,-0.12223533288585209,-0.2135928677056624,0.09135753481981032,0.01843759540412927,0.044562035635612465,Train,0.3196167051792145,-0.275054669543602,0.08397250917909943,0.0073850256407108905,-0.12962035852656298,0.0073850256407108905,6.208508242944494,0.007385025640711085,575.0205331927007,-75.37743626887254
2013-08-01,571.0207,6.349174976348877,6.348202332733485,0.0009726436153920659,-0.00912495179876475,0.010097595414156816,0.09575870764788802,0.36908421399656977,Train,0.4079093635082245,-0.03882514951165472,0.10500924256797697,-0.09491164715382015,0.09588429076921222,-0.09491164715382015,6.444086623502697,-0.09491164715382006,728.0349611370494,-157.0142702190807
2013-09-01,499.6431,6.215893268585205,6.358276063995913,-0.14238279541070753,-0.7257714811076776,0.5833886856969701,0.1958295635699998,0.7890886760626282,Train,0.5202383399009705,0.26885033616165777,0.13177290302334807,0.451615782673622,-0.5939985780843295,0.451615782673622,5.764277485911583,0.45161578267362223,368.411999476581,131.23109744724712
2013-10-01,785.15344,6.667151927947998,6.368349795258339,0.2988021326896586,0.19495671567326056,0.10384541701639805,0.21033465495357276,0.8499675707981578,Train,0.6588914394378662,0.19107613136029156,0.16480858621265815,-0.0609631691962601,0.3597653018859187,-0.0609631691962601,6.728115097144258,-0.06096316919625977,967.5016264201004,-182.34818403728787
2013-11-01,713.7759,6.571969032287598,6.378423526520767,0.1935455057668305,0.18624572540433304,0.007299780362497454,0.23590238049272286,0.9572771237381417,Train,0.7892383933067322,0.1680387304314095,0.1958652354118895,-0.18856545504939204,0.38211096081622253,-0.18856545504939204,6.76053448733699,-0.18856545504939248,999.4143591979388,-285.6384802916888
